ST,PUMA,YEAR,Telework
36,4302,2006,0.036748716
12,2605,2005,0.054553265
12,2608,2005,0.048327868
12,3200,2005,0.034239863
12,702,2005,0.016065418
12,2502,2005,0.063214972
12,2603,2005,0.053742802
12,3502,2005,0.031131446
12,3508,2005,0.050499021
12,2104,2005,0.01859994
12,4008,2005,0.020880296
12,3602,2005,0.016233568
42,3702,2005,0.037295061
42,400,2005,0.025396102
42,2501,2005,0.015270974
42,3802,2005,0.043260818
27,800,2005,0.050664049
27,900,2005,0.046205003
28,300,2005,0.010744085
34,905,2006,0.019280558
34,306,2006,0.069473923
34,502,2006,0.031090622
39,3300,2008,0.033370222
39,1103,2008,0.020841278
39,4602,2009,0.046929631
39,202,2009,0.034258462
39,1300,2009,0.039866151
6,5000,2009,0.071418077
6,4700,2009,0.05809195
6,5421,2009,0.034837527
6,8103,2009,0.054272792
6,5500,2009,0.021552523
6,1504,2009,0.040977291
6,7802,2009,0.051517872
6,6110,2009,0.038146845
6,2703,2009,0.026254307
6,5900,2009,0.031239355
12,3505,2009,0.053663082
12,2207,2009,0.053595279
27,1203,2009,0.041952383
39,300,2012,0.04871982
39,3700,2012,0.020964565
39,5506,2012,0.027177049
39,5600,2012,0.05118123
40,1005,2012,0.01167027
41,705,2012,0.071449
41,100,2012,0.046365162
41,1103,2012,0.016502031
41,1104,2012,0.043725102
41,1317,2012,0.039693035
41,1301,2012,0.063044936
34,800,2012,0.073426159
34,906,2012,0.030424542
17,105,2013,0.027188385
17,3420,2013,0.035915231
45,700,2013,0.024553461
45,602,2013,0.035383778
47,3203,2013,0.018726673
47,2002,2013,0.057374302
47,2505,2013,0.079353398
47,3205,2013,0.017362942
48,1905,2013,0.11295776
48,5202,2013,0.094422599
48,4701,2013,0.027708041
48,4200,2013,0.012127764
48,3304,2013,0.040912472
48,3400,2013,0.067657292
48,2512,2013,0.023048864
48,6500,2013,0.009896611
48,2311,2013,0.059585945
48,4615,2013,0.030646894
48,3100,2013,0.013510956
48,4613,2013,0.067595928
48,4903,2013,0.043597688
48,4902,2013,0.03962483
48,2508,2013,0.030392157
48,6807,2013,0.023760452
48,1501,2013,0.040442331
48,4634,2013,0.019228972
6,3300,2014,0.085122338
6,8501,2014,0.064811646
6,9501,2014,0.047675932
6,8104,2014,0.062187476
6,3743,2014,0.017145112
6,11106,2014,0.075030892
6,3708,2014,0.037906048
6,11104,2014,0.075507657
6,7114,2014,0.074317074
6,8702,2014,0.09213309
6,6708,2014,0.061705659
6,5917,2014,0.012215982
6,6513,2014,0.063715181
48,4901,2014,0.030606055
48,4608,2014,0.037847622
48,3000,2014,0.016188294
48,2800,2014,0.029596836
48,3303,2014,0.041925002
48,2309,2014,0.0688737
48,5800,2014,0.074399077
48,2501,2014,0.072743916
48,4634,2014,0.054977861
48,6702,2014,0.017741038
48,5912,2014,0.015600133
48,2507,2014,0.043607067
49,49002,2014,0.05411389
49,3001,2014,0.038952816
51,51165,2014,0.029823617
51,51084,2014,0.06581741
51,51020,2014,0.035487785
51,51044,2014,0.013969714
51,59309,2014,0.043480238
36,3206,2015,0.021559593
36,3105,2015,0.058800981
36,3312,2015,0.019973893
36,401,2015,0.030861134
36,3204,2015,0.021572957
36,1101,2015,0.032149477
36,3803,2015,0.05010863
36,1102,2015,0.0306218
37,1802,2016,0.027781139
37,4100,2016,0.019238311
37,400,2016,0.023404809
37,700,2016,0.039960283
37,1703,2016,0.057573303
39,1804,2016,0.029004487
39,4110,2016,0.042862877
39,4900,2016,0.036029765
39,1803,2016,0.007518295
39,5503,2016,0.046117852
6,11101,2016,0.047705552
6,3762,2016,0.028454136
6,10702,2016,0.01797933
6,3719,2016,0.082640794
6,3100,2016,0.049477099
6,8507,2016,0.06626789
6,3743,2016,0.010089729
6,8506,2016,0.062782162
6,9904,2016,0.03646968
6,1308,2016,0.026166619
6,4702,2016,0.020932363
54,600,2015,0.036315949
51,1302,2018,0.08643326
51,51246,2018,0.034104571
51,51165,2018,0.038916093
51,10703,2018,0.096896515
51,59309,2018,0.075214137
27,800,2018,0.058816084
27,1502,2018,0.044451128
27,1102,2018,0.015623399
27,1407,2018,0.066627946
36,3206,2016,0.03322455
36,4014,2016,0.04161177
36,1802,2016,0.043532276
36,3101,2016,0.057661043
36,3210,2016,0.060757711
36,3701,2016,0.045002155
36,3702,2016,0.01821383
36,1206,2016,0.0346635
1,2500,2016,0.016667517
1,1304,2016,0.02258234
4,207,2016,0.061203733
4,205,2016,0.054324752
4,122,2016,0.030634866
4,807,2016,0.053194452
48,4608,2005,0.037658721
48,5000,2005,0.036184152
48,4620,2005,0.027477936
48,4609,2005,0.019523151
48,3504,2005,0.022976119
48,5900,2005,0.014707754
48,5611,2005,0.041154974
48,4300,2005,0.013056483
48,1000,2005,0.042831948
48,2313,2005,0.022525028
48,3703,2005,0.031228481
48,4200,2005,0.016497714
48,2700,2005,0.045484764
12,2502,2006,0.062378491
12,1200,2006,0.0381518
12,900,2006,0.03451609
12,2404,2006,0.023618578
12,2703,2006,0.043690228
12,2202,2006,0.06178831
12,4008,2006,0.057581049
13,1304,2006,0.053053139
17,101,2007,0.04621784
17,800,2007,0.048784935
17,3513,2007,0.017890928
17,3412,2007,0.015567424
17,3005,2007,0.038425207
17,200,2007,0.048837118
55,1900,2010,0.029064113
55,800,2010,0.062462699
55,900,2010,0.046067931
55,1600,2010,0.045195267
56,400,2010,0.03223958
1,2500,2010,0.020826805
1,700,2010,0.032725041
6,8105,2011,0.058009315
6,3901,2011,0.007989977
6,2105,2011,0.121641815
6,5419,2011,0.049471246
6,8103,2011,0.041169537
6,3502,2011,0.026458267
6,2304,2011,0.073142495
6,4401,2011,0.044398306
6,5414,2011,0.050233427
6,2302,2011,0.024233577
51,1300,2011,0.045972045
51,302,2011,0.024171121
51,2700,2011,0.016802332
53,2002,2011,0.056347002
53,1801,2011,0.067127608
53,1001,2011,0.042673941
53,2009,2011,0.058934002
13,2200,2009,0.019359643
13,3800,2009,0.012222618
13,2700,2009,0.009781147
13,2500,2009,0.023583593
42,4301,2010,0.063186388
17,1800,2011,0.022689312
6,2602,2009,0.035902928
48,5905,2014,0.060722439
36,500,2015,0.040789954
6,3720,2016,0.056376438
6,8102,2016,0.022635432
6,6510,2016,0.034781839
51,51135,2018,0.012874388
28,400,2018,0.041778359
28,300,2016,0.008327368
1,2703,2016,0.06505834
4,120,2016,0.074166902
48,4605,2005,0.01940847
12,3605,2006,0.04585708
12,3606,2006,0.030540522
13,1900,2006,0.067414216
