,YEAR,STATE,COUNTY,LNMILES,Data_cat
219,2000,8.0,1.0,5188.412,1
220,2000,8.0,3.0,1652.09,1
221,2000,8.0,5.0,4893.39,1
222,2000,8.0,7.0,1723.38,1
223,2000,8.0,9.0,4205.38,1
224,2000,8.0,11.0,1783.5,1
225,2000,8.0,13.0,3849.77,1
226,2000,8.0,15.0,1423.18,1
227,2000,8.0,17.0,2515.16,1
228,2000,8.0,19.0,854.97,1
229,2000,8.0,21.0,1626.18,1
230,2000,8.0,23.0,3248.19,1
231,2000,8.0,25.0,1118.44,1
232,2000,8.0,27.0,946.9,1
233,2000,8.0,29.0,2031.79,1
234,2000,8.0,31.0,4103.96,1
235,2000,8.0,33.0,1317.43,1
236,2000,8.0,35.0,3379.25,1
237,2000,8.0,37.0,1922.79,1
238,2000,8.0,39.0,2871.43,1
239,2000,8.0,41.0,8267.096,1
240,2000,8.0,43.0,1972.86,1
241,2000,8.0,45.0,2648.77,1
242,2000,8.0,47.0,461.62,1
243,2000,8.0,49.0,2094.7,1
244,2000,8.0,51.0,2504.77,1
245,2000,8.0,53.0,587.3,1
246,2000,8.0,55.0,1862.52,1
247,2000,8.0,57.0,1381.44,1
248,2000,8.0,59.0,6110.968,1
249,2000,8.0,61.0,2667.72,1
250,2000,8.0,63.0,4947.64,1
251,2000,8.0,65.0,540.91,1
252,2000,8.0,67.0,2398.9,1
253,2000,8.0,69.0,5181.98,1
254,2000,8.0,71.0,3998.72,1
255,2000,8.0,73.0,3553.59,1
256,2000,8.0,75.0,4500.318,1
257,2000,8.0,77.0,4581.47,1
258,2000,8.0,79.0,632.84,1
259,2000,8.0,81.0,4143.22,1
260,2000,8.0,83.0,2725.25,1
261,2000,8.0,85.0,3452.258,1
262,2000,8.0,87.0,2841.98,1
263,2000,8.0,89.0,1975.88,1
264,2000,8.0,91.0,644.57,1
265,2000,8.0,93.0,4102.35,1
266,2000,8.0,95.0,2284.54,1
267,2000,8.0,97.0,839.028,1
268,2000,8.0,99.0,3025.05,1
269,2000,8.0,101.0,4636.78,1
270,2000,8.0,103.0,2735.6,1
271,2000,8.0,105.0,1581.4,1
272,2000,8.0,107.0,2196.75,1
273,2000,8.0,109.0,2584.96,1
274,2000,8.0,111.0,444.09,1
275,2000,8.0,113.0,1658.98,1
276,2000,8.0,115.0,1551.75,1
277,2000,8.0,117.0,976.73,1
278,2000,8.0,119.0,1417.42,1
279,2000,8.0,121.0,5224.38,1
280,2000,8.0,123.0,9239.47,1
281,2000,8.0,125.0,5159.73,1
282,2000,9.0,1.0,9061.29,1
283,2000,9.0,3.0,8969.0,1
284,2000,9.0,5.0,5072.97,1
285,2000,9.0,7.0,2884.62,1
286,2000,9.0,9.0,8235.96,1
287,2000,9.0,11.0,4590.58,1
288,2000,9.0,13.0,2767.31,1
289,2000,9.0,15.0,2892.94,1
290,2000,10.0,1.0,2872.33,1
291,2000,10.0,3.0,4936.112,1
292,2000,10.0,5.0,4749.76,1
293,2000,11.0,1.0,1531.311,1
294,2000,11.0,2.0,715.024,1
295,2000,11.0,3.0,571.402,1
296,2000,11.0,4.0,138.977,1
297,2000,11.0,5.0,816.682,1
298,2000,12.0,1.0,3814.679,1
299,2000,12.0,3.0,2017.868,1
300,2000,12.0,5.0,3195.886,1
301,2000,12.0,7.0,1177.352,1
302,2000,12.0,9.0,7983.895,1
303,2000,12.0,11.0,11693.873,1
304,2000,12.0,13.0,1271.124,1
305,2000,12.0,15.0,4931.38,1
306,2000,12.0,17.0,4968.674,1
307,2000,12.0,19.0,2274.912,1
308,2000,12.0,21.0,3816.852,1
309,2000,12.0,23.0,2994.192,1
310,2000,12.0,27.0,1046.354,1
311,2000,12.0,29.0,1058.758,1
312,2000,12.0,31.0,9039.483,1
313,2000,12.0,33.0,5233.619,1
314,2000,12.0,35.0,1906.498,1
315,2000,12.0,37.0,956.742,1
316,2000,12.0,39.0,2070.979,1
317,2000,12.0,41.0,1249.896,1
318,2000,12.0,43.0,767.982,1
319,2000,12.0,45.0,750.99,1
320,2000,12.0,47.0,1425.344,1
321,2000,12.0,49.0,1365.061,1
322,2000,12.0,51.0,1088.724,1
323,2000,12.0,53.0,3696.31,1
324,2000,12.0,55.0,3353.394,1
325,2000,12.0,57.0,11662.494,1
326,2000,12.0,59.0,1757.436,1
327,2000,12.0,61.0,1820.414,1
328,2000,12.0,63.0,3509.356,1
329,2000,12.0,65.0,1502.55,1
330,2000,12.0,67.0,991.24,1
331,2000,12.0,69.0,4451.49,1
332,2000,12.0,71.0,9508.709,1
333,2000,12.0,73.0,3190.811,1
334,2000,12.0,75.0,2775.774,1
335,2000,12.0,77.0,1714.042,1
336,2000,12.0,79.0,1822.209,1
337,2000,12.0,81.0,3161.501,1
338,2000,12.0,83.0,7850.483,1
339,2000,12.0,85.0,1679.535,1
340,2000,12.0,87.0,1291.942,1
341,2000,12.0,89.0,2154.836,1
342,2000,12.0,91.0,3227.041,1
343,2000,12.0,93.0,1016.176,1
344,2000,12.0,95.0,8916.785,1
345,2000,12.0,97.0,2860.646,1
346,2000,12.0,99.0,9308.906,1
347,2000,12.0,101.0,4214.192,1
348,2000,12.0,103.0,9022.412,1
349,2000,12.0,105.0,8952.346,1
350,2000,12.0,107.0,4037.232,1
351,2000,12.0,109.0,2229.782,1
352,2000,12.0,111.0,3681.798,1
353,2000,12.0,113.0,3766.726,1
354,2000,12.0,115.0,4944.096,1
355,2000,12.0,117.0,3150.7,1
356,2000,12.0,119.0,1582.966,1
357,2000,12.0,121.0,2925.202,1
358,2000,12.0,123.0,1930.302,1
359,2000,12.0,125.0,594.782,1
360,2000,12.0,127.0,7560.043,1
361,2000,12.0,129.0,2104.7,1
362,2000,12.0,131.0,2947.244,1
363,2000,12.0,133.0,2540.508,1
364,2000,13.0,1.0,2237.83,1
365,2000,13.0,3.0,1040.18,1
366,2000,13.0,5.0,1238.9,1
367,2000,13.0,7.0,714.22,1
368,2000,13.0,9.0,1202.12,1
369,2000,13.0,11.0,923.01,1
370,2000,13.0,13.0,1125.54,1
371,2000,13.0,15.0,2428.44,1
372,2000,13.0,17.0,1031.3,1
373,2000,13.0,19.0,1724.84,1
374,2000,13.0,21.0,2465.17,1
375,2000,13.0,23.0,870.54,1
376,2000,13.0,25.0,1302.12,1
377,2000,13.0,27.0,1651.5,1
378,2000,13.0,29.0,933.61,1
379,2000,13.0,31.0,3042.49,1
380,2000,13.0,33.0,2134.83,1
381,2000,13.0,35.0,845.8,1
382,2000,13.0,37.0,700.88,1
383,2000,13.0,39.0,1252.1,1
384,2000,13.0,43.0,1046.78,1
385,2000,13.0,45.0,2886.74,1
386,2000,13.0,47.0,1125.15,1
387,2000,13.0,49.0,894.04,1
388,2000,13.0,51.0,2810.63,1
389,2000,13.0,53.0,244.0,1
390,2000,13.0,55.0,1117.13,1
391,2000,13.0,57.0,2456.88,1
392,2000,13.0,59.0,1307.26,1
393,2000,13.0,61.0,539.68,1
394,2000,13.0,63.0,2215.25,1
395,2000,13.0,65.0,1140.68,1
396,2000,13.0,67.0,6085.69,1
397,2000,13.0,69.0,2356.83,1
398,2000,13.0,71.0,2354.6,1
399,2000,13.0,73.0,1484.62,1
400,2000,13.0,75.0,1177.14,1
401,2000,13.0,77.0,2310.96,1
402,2000,13.0,79.0,841.23,1
403,2000,13.0,81.0,1467.88,1
404,2000,13.0,83.0,743.36,1
405,2000,13.0,85.0,726.71,1
406,2000,13.0,87.0,2139.43,1
407,2000,13.0,89.0,5462.45,1
408,2000,13.0,91.0,1874.14,1
409,2000,13.0,93.0,1624.16,1
410,2000,13.0,95.0,1741.19,1
411,2000,13.0,97.0,1588.69,1
412,2000,13.0,99.0,1463.72,1
413,2000,13.0,101.0,543.28,1
414,2000,13.0,103.0,1435.52,1
415,2000,13.0,105.0,1389.93,1
416,2000,13.0,107.0,2517.06,1
417,2000,13.0,109.0,749.34,1
418,2000,13.0,111.0,1211.838,1
419,2000,13.0,113.0,1676.58,1
420,2000,13.0,115.0,2315.51,1
421,2000,13.0,117.0,1873.65,1
422,2000,13.0,119.0,1372.958,1
423,2000,13.0,121.0,8348.42,1
424,2000,13.0,123.0,1144.17,1
425,2000,13.0,125.0,455.9,1
426,2000,13.0,127.0,1483.7,1
427,2000,13.0,129.0,1622.3,1
428,2000,13.0,131.0,1678.38,1
429,2000,13.0,133.0,1207.7,1
430,2000,13.0,135.0,5993.6,1
431,2000,13.0,137.0,1440.17,1
432,2000,13.0,139.0,2819.48,1
433,2000,13.0,141.0,1188.87,1
434,2000,13.0,143.0,1357.74,1
435,2000,13.0,145.0,1434.99,1
436,2000,13.0,147.0,1402.26,1
437,2000,13.0,149.0,884.28,1
438,2000,13.0,151.0,2367.1,1
439,2000,13.0,153.0,2065.94,1
440,2000,13.0,155.0,1214.2,1
441,2000,13.0,157.0,1728.53,1
442,2000,13.0,159.0,1203.59,1
443,2000,13.0,161.0,1303.9,1
444,2000,13.0,163.0,1680.4,1
445,2000,13.0,165.0,1043.18,1
446,2000,13.0,167.0,1076.4,1
447,2000,13.0,169.0,1169.07,1
448,2000,13.0,171.0,864.04,1
449,2000,13.0,173.0,659.5,1
450,2000,13.0,175.0,3335.33,1
451,2000,13.0,177.0,1048.34,1
452,2000,13.0,179.0,1062.4,1
453,2000,13.0,181.0,722.8,1
454,2000,13.0,183.0,653.42,1
455,2000,13.0,185.0,2758.64,1
456,2000,13.0,187.0,958.45,1
457,2000,13.0,189.0,1045.65,1
458,2000,13.0,191.0,672.42,1
459,2000,13.0,193.0,1221.14,1
460,2000,13.0,195.0,1385.44,1
461,2000,13.0,197.0,900.24,1
462,2000,13.0,199.0,1687.39,1
463,2000,13.0,201.0,992.92,1
464,2000,13.0,205.0,1888.43,1
465,2000,13.0,207.0,1393.5,1
466,2000,13.0,209.0,918.2,1
467,2000,13.0,211.0,1251.6,1
468,2000,13.0,213.0,1198.6,1
469,2000,13.0,215.0,2234.14,1
470,2000,13.0,217.0,1740.02,1
471,2000,13.0,219.0,914.56,1
472,2000,13.0,221.0,1146.86,1
473,2000,13.0,223.0,1629.24,1
474,2000,13.0,225.0,807.89,1
475,2000,13.0,227.0,969.6,1
476,2000,13.0,229.0,1498.94,1
477,2000,13.0,231.0,890.38,1
478,2000,13.0,233.0,1413.38,1
479,2000,13.0,235.0,823.57,1
480,2000,13.0,237.0,1187.45,1
481,2000,13.0,239.0,383.96,1
482,2000,13.0,241.0,1085.62,1
483,2000,13.0,243.0,1046.52,1
484,2000,13.0,245.0,2516.32,1
485,2000,13.0,247.0,1179.68,1
486,2000,13.0,249.0,470.7,1
487,2000,13.0,251.0,1631.8,1
488,2000,13.0,253.0,966.02,1
489,2000,13.0,255.0,1402.31,1
490,2000,13.0,257.0,1046.77,1
491,2000,13.0,259.0,883.7,1
492,2000,13.0,261.0,1594.71,1
493,2000,13.0,263.0,915.55,1
494,2000,13.0,265.0,491.3,1
495,2000,13.0,267.0,1915.53,1
496,2000,13.0,269.0,1144.61,1
497,2000,13.0,271.0,1265.45,1
498,2000,13.0,273.0,1051.74,1
499,2000,13.0,275.0,2113.11,1
500,2000,13.0,277.0,1624.2,1
501,2000,13.0,279.0,1662.45,1
502,2000,13.0,281.0,550.24,1
503,2000,13.0,283.0,880.8,1
504,2000,13.0,285.0,2009.76,1
505,2000,13.0,287.0,1135.68,1
506,2000,13.0,289.0,919.36,1
507,2000,13.0,291.0,1148.21,1
508,2000,13.0,293.0,1216.18,1
509,2000,13.0,295.0,1844.14,1
510,2000,13.0,297.0,1815.11,1
511,2000,13.0,299.0,2112.51,1
512,2000,13.0,301.0,898.42,1
513,2000,13.0,303.0,1951.07,1
514,2000,13.0,305.0,1927.91,1
515,2000,13.0,307.0,541.04,1
516,2000,13.0,309.0,851.98,1
517,2000,13.0,311.0,877.2,1
518,2000,13.0,313.0,2074.16,1
519,2000,13.0,315.0,1235.34,1
520,2000,13.0,317.0,1168.73,1
521,2000,13.0,319.0,1053.38,1
522,2000,13.0,321.0,2116.22,1
523,2000,15.0,1.0,2954.54,1
524,2000,15.0,3.0,3840.18,1
525,2000,15.0,7.0,828.94,1
526,2000,15.0,9.0,1632.37,1
527,2000,16.0,1.0,4071.811,1
528,2000,16.0,3.0,2037.1,1
529,2000,16.0,5.0,2468.928,1
530,2000,16.0,7.0,1437.274,1
531,2000,16.0,9.0,1377.526,1
532,2000,16.0,11.0,3777.886,1
533,2000,16.0,13.0,1697.856,1
534,2000,16.0,15.0,1396.819,1
535,2000,16.0,17.0,2757.995,1
536,2000,16.0,19.0,3090.429,1
537,2000,16.0,21.0,1215.068,1
538,2000,16.0,23.0,1089.204,1
539,2000,16.0,25.0,985.012,1
540,2000,16.0,27.0,3494.521,1
541,2000,16.0,29.0,2086.586,1
542,2000,16.0,31.0,3225.424,1
543,2000,16.0,33.0,1167.002,1
544,2000,16.0,35.0,2096.708,1
545,2000,16.0,37.0,2301.912,1
546,2000,16.0,39.0,3005.466,1
547,2000,16.0,41.0,1173.066,1
548,2000,16.0,43.0,2314.56,1
549,2000,16.0,45.0,946.962,1
550,2000,16.0,47.0,1413.436,1
551,2000,16.0,49.0,6266.393,1
552,2000,16.0,51.0,1878.028,1
553,2000,16.0,53.0,1570.639,1
554,2000,16.0,55.0,4010.494,1
555,2000,16.0,57.0,2512.791,1
556,2000,16.0,59.0,2168.974,1
557,2000,16.0,61.0,1285.97,1
558,2000,16.0,63.0,1102.888,1
559,2000,16.0,65.0,1118.404,1
560,2000,16.0,67.0,1573.082,1
561,2000,16.0,69.0,1907.763,1
562,2000,16.0,71.0,1466.648,1
563,2000,16.0,73.0,2573.8,1
564,2000,16.0,75.0,1076.714,1
565,2000,16.0,77.0,1937.164,1
566,2000,16.0,79.0,3288.434,1
567,2000,16.0,81.0,844.31,1
568,2000,16.0,83.0,3254.052,1
569,2000,16.0,85.0,3168.622,1
570,2000,16.0,87.0,1544.153,1
571,2000,17.0,1.0,3762.28,1
572,2000,17.0,3.0,884.52,1
573,2000,17.0,5.0,1713.78,1
574,2000,17.0,7.0,1366.26,1
575,2000,17.0,9.0,1038.82,1
576,2000,17.0,11.0,3685.49,1
577,2000,17.0,13.0,712.62,1
578,2000,17.0,15.0,1647.0,1
579,2000,17.0,17.0,1185.78,1
580,2000,17.0,19.0,5602.27,1
581,2000,17.0,21.0,3153.32,1
582,2000,17.0,23.0,2340.66,1
583,2000,17.0,25.0,2011.68,1
584,2000,17.0,27.0,2095.57,1
585,2000,17.0,29.0,2602.34,1
586,2000,17.0,31.0,26027.32,1
587,2000,17.0,33.0,1919.15,1
588,2000,17.0,35.0,1706.08,1
589,2000,17.0,37.0,2863.77,1
590,2000,17.0,39.0,1747.32,1
591,2000,17.0,41.0,1926.78,1
592,2000,17.0,43.0,7132.8,1
593,2000,17.0,45.0,2525.22,1
594,2000,17.0,47.0,911.4,1
595,2000,17.0,49.0,2457.21,1
596,2000,17.0,51.0,3115.7,1
597,2000,17.0,53.0,2112.74,1
598,2000,17.0,55.0,2394.4,1
599,2000,17.0,57.0,3092.08,1
600,2000,17.0,59.0,1071.46,1
601,2000,17.0,61.0,1817.52,1
602,2000,17.0,63.0,1896.56,1
603,2000,17.0,65.0,1862.92,1
604,2000,17.0,67.0,3209.08,1
605,2000,17.0,69.0,550.08,1
606,2000,17.0,71.0,1292.08,1
607,2000,17.0,73.0,3625.2,1
608,2000,17.0,75.0,4899.14,1
609,2000,17.0,77.0,2272.19,1
