STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,97,7602.36,7597.2,7602.12,7602.12,7737.966,7746.926,7813.766,8374.274,8372.054,,8882.386,8897.111,5032.251,5026.404,7984.467,7982.995,7985.265,7983.257,7994.037,7991.681,8001.364
1,99,2192.65,2192.65,2207.17,2207.17,2215.143,2215.915,2267.891,2267.883,2267.883,,2473.726,2525.752,2095.701,2052.929,2288.282,2292.556,2292.36,2292.359,2293.525,2291.865,2297.552
1,101,4049.08,4109.32,4184.39,4184.39,4486.01,4486.966,4513.212,4619.97,4619.97,,4789.287,4866.099,2600.096,2589.952,4677.981,4674.669,4678.954,4677.546,4679.496,4700.865,4722.483
1,103,3723.22,3723.5,3745.76,3745.76,3859.026,3862.346,3875.254,3871.358,3871.358,,4021.62,4045.306,2824.862,2852.672,3854.416,3854.42,3854.98,3854.281,3853.977,3859.113,3894.394
1,105,1666.93,1667.73,1643.51,1643.51,1643.51,1643.51,1724.018,1723.532,1723.052,,1829.835,1827.843,1629.533,1630.927,1717.749,1717.745,1717.447,1717.351,1717.708,1712.656,1748.161
1,107,2292.03,2292.03,2290.93,2290.93,2837.93,2826.55,2283.576,2282.386,2291.794,,2404.345,2422.38,2103.918,2129.368,2275.304,2275.466,2274.87,2275.058,2275.005,2278.007,2369.246
1,109,2078.99,2076.97,2070.95,2070.95,3116.79,3116.79,2143.074,2142.146,2141.926,,2318.97,2323.714,1893.846,1885.907,2209.564,2210.784,2210.912,2212.868,2212.85,2212.266,2211.722
1,111,2326.02,2326.02,2337.2,2337.34,3676.4,3676.4,2396.152,2395.764,2395.764,,2481.182,2474.134,2279.137,2279.425,2460.823,2460.787,2459.881,2459.898,2459.92,2456.696,2455.208
1,113,2417.52,2417.52,2422.13,2422.13,3732.57,3731.87,2602.218,2602.848,2602.848,,2761.129,2813.581,1766.907,1767.89,2158.236,2158.554,2157.971,2158.025,2157.961,2164.267,2794.729
1,115,2610.1,2627.52,2618.5,2620.74,3063.72,3066.48,2868.81,2868.578,2870.078,,3087.841,3087.635,2290.542,2297.783,3276.241,3276.571,3272.714,3288.417,3287.08,3281.382,3415.912
1,117,3219.98,3220.72,3161.58,3161.58,3831.04,3834.714,3295.828,3393.684,3393.404,,3834.606,3884.305,4862.853,2812.654,4714.646,4714.322,4715.658,4716.745,4726.517,4724.775,4778.95
1,119,1918.74,1918.74,1915.18,1915.18,1969.9,1983.954,1925.416,1916.032,1922.072,,2089.272,2092.906,1550.368,1519.466,1675.594,1675.594,1675.272,1675.326,1675.344,1675.3,2063.314
1,121,3340.02,3344.8,3239.08,3239.04,3379.56,3382.84,3285.646,3281.796,3281.796,,4343.061,4401.102,2839.34,2764.998,3507.677,3508.951,3502.572,3508.684,3507.582,3509.226,4644.129
1,123,3115.358,3118.978,3105.558,3105.558,3394.038,3395.168,3197.992,3195.622,3196.102,,3311.168,3313.678,2469.274,2465.346,2956.131,2955.739,2957.317,2962.289,2962.309,2960.632,3591.713
1,125,5345.47,5338.49,5155.39,5155.43,5784.466,5781.844,5799.254,5834.104,5837.224,,6337.274,6354.878,4630.504,4630.694,6131.383,6134.074,6133.277,6135.188,6153.363,6187.473,6183.187
1,127,3442.83,3443.71,3425.79,3425.79,3527.038,3527.038,3638.368,3919.17,3918.434,,4179.582,4226.558,3193.811,3195.711,3761.015,3760.995,3760.289,3760.233,3760.593,3762.506,3756.252
1,129,1848.18,1911.74,1906.84,1906.84,1907.46,1906.526,1958.706,1958.26,1958.26,,2100.674,2100.774,1894.166,1894.22,1992.702,1994.818,1994.678,1994.516,1994.554,1997.76,1994.616
1,131,1691.86,1691.88,1677.84,1677.84,1677.84,1695.23,1688.634,1688.472,1688.472,,1756.18,1758.502,1598.894,1607.394,1720.217,1724.289,1724.024,1724.287,1724.295,1724.391,1734.638
1,132,,,,,,,,,,,0.99,,,,,,,,,,
1,133,2304.93,2302.73,2054.49,2054.49,2051.382,2051.382,2052.612,2073.076,2074.586,,2197.587,2207.66,2146.677,2146.358,2395.197,2395.188,2394.09,2393.994,2394.608,2394.677,2553.427
1,150,,,,,,,,,,,0.468,,,,,,,,,,
1,690,,,,,,,,,,,106.56,,,,,,,,,,
2,1,5286.698,5285.01,5287.976,5389.433,5547.571,12163.933,12699.061,12717.942,13517.916,14780.757,504.372,376.77,485.769,494.79,,,,,,,
2,2,6423.999,6476.135,6477.871,7087.961,7076.673,12359.705,12784.26,12599.966,13733.101,13419.469,106.684,154.16,1222.666,1030.836,,,,,,,
2,3,1142.682,1145.231,1151.851,3044.769,3031.198,4437.174,4393.174,3963.994,3794.829,3693.955,195.361,210.866,357.274,454.267,,,,,,,
2,4,,,,,,,,,,,3558.713,2207.198,3425.333,3444.184,,,,,,,
2,5,,,,,,,,,,,115.241,75.528,104.08,111.801,,,,,,,
2,6,,,,,,,,,,,3402.542,2776.89,4031.717,4005.536,,,,,,,
2,7,,,,,,,,,,,521.046,360.792,480.14,474.533,,,,,,,
2,8,,,,,,,,,,,4289.521,2905.266,4558.541,4526.558,,,,,,,
2,9,,,,,,,,,,,3528.649,2171.13,3478.405,3503.556,,,,,,,
2,10,,,,,,,,,,,400.514,225.026,386.149,392.729,,,,,,,
2,11,,,,,,,,,,,744.362,321.674,639.789,641.357,,,,,,,
2,12,,,,,,,,,,,866.6,898.748,979.334,679.834,,,,,,,
2,13,,,,,,,,,,,197.054,279.744,444.312,348.658,388.18,388.17,224.404,369.004,238.826,365.984,365.984
2,14,,,,,,,,,,,844.646,292.13,627.314,630.547,,,,,,,
2,15,,,,,,,,,,,1129.066,1225.256,598.741,361.561,,,,,,,
2,16,,,,,,,,,,,170.97,262.938,291.592,290.372,755.482,759.498,797.662,655.624,756.046,689.532,702.094
2,17,,,,,,,,,,,,35.216,144.943,100.552,,,,,,,
2,18,,,,,,,,,,,,47.764,105.292,208.783,,,,,,,
2,19,,,,,,,,,,,,,,199.938,,,,,,,
2,20,,,,,,,,,,,,,,,3453.165,3584.276,2924.78,2925.218,3140.998,3086.53,3086.868
2,50,,,,,,,,,,,,,,,939.682,937.258,778.945,870.119,770.34,1323.086,1244.242
2,60,,,,,,,,,,,,,,,310.324,310.32,,,,,
2,68,,,,,,,,,,,,,,,677.798,680.821,541.95,584.454,591.988,601.956,588.756
