YEAR,STATE_CODE,COUNTY_CODE,LNMILES
2000,12.0,57.0,11662.494
2000,12.0,59.0,1757.436
2000,12.0,61.0,1820.414
2000,12.0,63.0,3509.356
2000,12.0,65.0,1502.55
2000,12.0,67.0,991.24
2000,12.0,69.0,4451.49
2000,12.0,71.0,9508.709
2000,12.0,73.0,3190.811
2000,12.0,75.0,2775.774
2000,12.0,77.0,1714.042
2000,12.0,79.0,1822.209
2000,12.0,81.0,3161.501
2000,12.0,83.0,7850.483
2000,12.0,85.0,1679.535
2000,12.0,87.0,1291.942
2000,12.0,89.0,2154.836
2000,12.0,91.0,3227.041
2000,12.0,93.0,1016.176
2000,12.0,95.0,8916.785
2000,12.0,97.0,2860.646
2000,12.0,99.0,9308.906
2000,12.0,101.0,4214.192
2000,12.0,103.0,9022.412
2000,12.0,105.0,8952.346
2000,12.0,107.0,4037.232
2000,12.0,109.0,2229.782
2000,12.0,111.0,3681.798
2000,12.0,113.0,3766.726
2000,12.0,115.0,4944.096
2000,12.0,117.0,3150.7
2000,12.0,119.0,1582.966
2000,12.0,121.0,2925.202
2000,12.0,123.0,1930.302
2000,12.0,125.0,594.782
2000,12.0,127.0,7560.043
2000,12.0,129.0,2104.7
2000,12.0,131.0,2947.244
2000,12.0,133.0,2540.508
2000,13.0,1.0,2237.83
2000,13.0,3.0,1040.18
2000,13.0,5.0,1238.9
2000,13.0,7.0,714.22
2000,13.0,9.0,1202.12
2000,13.0,11.0,923.01
2000,13.0,13.0,1125.54
2000,13.0,15.0,2428.44
2000,13.0,17.0,1031.3
2000,13.0,19.0,1724.84
2000,13.0,21.0,2465.17
2000,13.0,23.0,870.54
2000,13.0,25.0,1302.12
2000,13.0,27.0,1651.5
2000,13.0,29.0,933.61
2000,13.0,31.0,3042.49
2000,13.0,33.0,2134.83
2000,13.0,35.0,845.8
2000,13.0,37.0,700.88
2000,13.0,39.0,1252.1
2000,13.0,43.0,1046.78
2000,13.0,45.0,2886.74
2000,13.0,47.0,1125.15
2000,13.0,49.0,894.04
2000,13.0,51.0,2810.63
2000,13.0,53.0,244.0
2000,13.0,55.0,1117.13
2000,13.0,57.0,2456.88
2000,13.0,59.0,1307.26
2000,13.0,61.0,539.68
2000,13.0,63.0,2215.25
2000,13.0,65.0,1140.68
2000,13.0,67.0,6085.69
2000,13.0,69.0,2356.83
2000,13.0,71.0,2354.6
2000,13.0,73.0,1484.62
2000,13.0,75.0,1177.14
2000,13.0,77.0,2310.96
2000,13.0,79.0,841.23
2000,13.0,81.0,1467.88
2000,13.0,83.0,743.36
2000,13.0,85.0,726.71
2000,13.0,87.0,2139.43
2000,13.0,89.0,5462.45
2000,13.0,91.0,1874.14
2000,13.0,93.0,1624.16
2000,13.0,95.0,1741.19
2000,13.0,97.0,1588.69
2000,13.0,99.0,1463.72
2000,13.0,101.0,543.28
2000,13.0,103.0,1435.52
2000,13.0,105.0,1389.93
2000,13.0,107.0,2517.06
2000,13.0,109.0,749.34
2000,13.0,111.0,1211.838
2000,13.0,113.0,1676.58
2000,13.0,115.0,2315.51
2000,13.0,117.0,1873.65
2000,13.0,119.0,1372.958
2000,13.0,121.0,8348.42
2000,13.0,123.0,1144.17
2000,13.0,125.0,455.9
2000,13.0,127.0,1483.7
2000,13.0,129.0,1622.3
2000,13.0,131.0,1678.38
2000,13.0,133.0,1207.7
2000,13.0,135.0,5993.6
2000,13.0,137.0,1440.17
2000,13.0,139.0,2819.48
2000,13.0,141.0,1188.87
2000,13.0,143.0,1357.74
2000,13.0,145.0,1434.99
2000,13.0,147.0,1402.26
2000,13.0,149.0,884.28
2000,13.0,151.0,2367.1
2000,13.0,153.0,2065.94
2000,13.0,155.0,1214.2
2000,13.0,157.0,1728.53
2000,13.0,159.0,1203.59
2000,13.0,161.0,1303.9
2000,13.0,163.0,1680.4
2000,13.0,165.0,1043.18
