state,fips state code,tribal name,data category,emissions type code,scc,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201510080,A,R,71432,Benzene,.272446,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202420080,A,R,CO,Carbon Monoxide,.00476235,TON,2014NEIV2
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2202610080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.321236,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202000062,A,R,VOC,Volatile Organic Compounds,.0121022,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201510080,A,R,NOX,Nitrogen Oxides,.000441246,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201510080,A,R,CH4,Methane,.00000394656,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201510080,A,R,7439965,Manganese,.0000001927092,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201520080,A,R,71432,Benzene,1.924104,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201320080,A,R,71432,Benzene,1.684454,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202430080,A,R,NOX,Nitrogen Oxides,.00885725,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.0259531,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,NOX,Nitrogen Oxides,0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202320080,A,R,71432,Benzene,.144091,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201110080,A,R,1330207,Xylenes (Mixed Isomers),616.482,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201210080,A,R,107028,Acrolein,65.1694,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202530080,A,R,123386,Propionaldehyde,3.94988,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202530080,A,R,75070,Acetaldehyde,32.665,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202410080,A,R,100425,Styrene,0,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202520080,A,R,107028,Acrolein,91.3022,LB,2014NEIV2
