state_and_county_fips_code,total_emissions,YEAR
51007,94016.072659787,2014
51009,172580.8273216,2014
51011,86193.94702408901,2014
51013,974779.52631099,2014
51015,748425.1267305351,2014
51017,27592.268643370597,2014
51019,362122.248637059,2014
51021,171745.187757846,2014
51023,395152.4110711,2014
51025,204985.77989298102,2014
51027,112665.027028118,2014
51029,80661.87504325209,2014
51031,319995.96112626,2014
51033,581428.93731001,2014
51035,348524.90634374705,2014
51036,40686.553016191,2014
51037,67659.7634840472,2014
51041,1624528.0885918795,2014
51043,151743.29741061252,2014
51045,19027.500489933598,2014
51047,283519.722065141,2014
51049,41680.2693676312,2014
51051,62245.018526957,2014
51053,276835.061339059,2014
51057,79338.3969245946,2014
51059,5355835.238112012,2014
51061,718190.3870854974,2014
51063,69407.38253401386,2014
51065,98014.963184476,2014
51067,288481.617117971,2014
51069,604975.0609180331,2014
51071,105759.761205492,2014
51073,247727.4879310859,2014
51075,385254.92372683994,2014
51077,59800.3526525348,2014
51079,100026.594865465,2014
51081,182838.1729213668,2014
51083,182512.1911232694,2014
51085,985988.01070435,2014
51087,1802346.4655659,2014
51089,285266.16861633357,2014
51091,13813.520710058081,2014
51093,238201.0131316075,2014
51095,405839.329373297,2014
51097,54034.2185190111,2014
51099,171164.19885200993,2014
51101,77336.198230067,2014
51103,56849.622852971996,2014
51105,107535.75155344051,2014
51107,1376385.54226311,2014
51109,329533.003469265,2014
51111,45458.587255489,2014
51113,96865.546199637,2014
51115,37525.143769933005,2014
51117,299420.658721398,2014
51119,67966.2596885856,2014
51121,600294.2256495955,2014
51125,130728.1214298769,2014
51127,416589.064881362,2014
51131,136763.5310679208,2014
51133,57701.2894885296,2014
51135,102553.0731212073,2014
51137,159534.54888898888,2014
51139,93771.837593519,2014
51141,78848.223397193,2014
51143,316109.349336219,2014
51145,183404.48451937,2014
51147,123925.67247666842,2014
51149,332389.104232806,2014
51153,1941820.72620672,2014
51155,294188.402074633,2014
51157,49481.1352514218,2014
51159,60209.711294409004,2014
51161,472883.65966216,2014
51163,425741.673316147,2014
51165,577226.98879412,2014
51167,154755.327022412,2014
51169,144164.49701133298,2014
51171,511693.42888276,2014
51173,248493.640938219,2014
51175,173257.7634153354,2014
51177,741527.66137056,2014
51179,1004340.76208225,2014
51181,33905.6321054757,2014
51183,228532.842438785,2014
51185,218542.88848000398,2014
51187,256488.06933290302,2014
51191,416472.73989444,2014
51193,75480.163655125,2014
51195,229566.2295761,2014
51197,471863.35346693,2014
51199,509907.84026116604,2014
51510,551345.2948799491,2014
51520,115590.39971533699,2014
51530,13030.389032088298,2014
51540,142997.574975542,2014
51550,1275047.41836178,2014
51570,130880.0978010673,2014
51580,20215.9772744928,2014
51590,185302.02250865,2014
51595,33820.98926887136,2014
51600,128824.36290099501,2014
51610,40980.1099183579,2014
51620,19340.193570761,2014
51630,226997.2888515346,2014
51640,29703.4274511232,2014
51650,771354.29602514,2014
51660,180175.17711697164,2014
51670,72164.4709924711,2014
51678,13092.037348208369,2014
51680,325743.0855022387,2014
51683,103077.02543879647,2014
51685,21116.666047502273,2014
51690,49717.628397093,2014
51700,918497.272538646,2014
51710,1304834.275255912,2014
51720,27671.90849594904,2014
51730,183221.4360755303,2014
51735,26118.857828994358,2014
51740,374740.97628058,2014
51750,40991.417626155,2014
51760,1093182.615793424,2014
51770,437915.40047,2014
51775,95065.300760249,2014
51790,73042.37291667207,2014
51800,575925.612891125,2014
51810,1760661.75462538,2014
51820,86176.36019134,2014
51830,55899.657441934796,2014
51840,99864.05767334,2014
54001,67277.524695186,2014
54003,720343.52323198,2014
54005,146340.362209999,2014
54007,247174.973094157,2014
54009,101824.1692130288,2014
54011,546128.67864649,2014
54013,28223.6584834544,2014
54015,57273.896552225604,2014
54017,76858.8972068157,2014
54019,359127.450417646,2014
54021,31223.535335007,2014
54023,62956.2726440677,2014
54025,274429.215882924,2014
54027,110442.371654603,2014
54029,80417.33627371,2014
54031,100149.901183183,2014
54033,516843.1331230453,2014
54035,314545.915421661,2014
54037,256874.88600650502,2014
54039,1575850.75494288,2014
54041,235464.384284836,2014
54043,75713.620326299,2014
54045,160332.771839062,2014
54047,113233.1311825326,2014
54049,327486.5575595268,2014
54051,142267.363633072,2014
54053,157183.07691273218,2014
54055,505758.693106847,2014
54057,101981.762909051,2014
54059,145911.19927446498,2014
54061,674869.58398161,2014
54063,48847.5260483241,2014
54065,71361.70772364932,2014
54067,176894.683415023,2014
54069,351711.22257848,2014
54071,43220.5815311133,2014
54073,41812.41094416071,2014
54075,46748.618838094,2014
54077,208260.43751237,2014
54079,389107.1015350842,2014
54081,370022.68109389,2014
54083,156263.692706382,2014
54085,77454.5961301783,2014
54087,98672.743368019,2014
54089,75942.7772139615,2014
54091,63243.061656271064,2014
54093,36513.757147971395,2014
54095,35283.142751166,2014
54097,92466.39672467,2014
54099,197292.636987,2014
54101,29500.93850091094,2014
54103,80552.66329935989,2014
54105,22375.2701184067,2014
54107,505276.89695121,2014
54109,121568.7517388001,2014
72001,43135.159555813705,2014
72003,91562.2784908106,2014
72005,129919.4268562523,2014
72007,61344.0504311604,2014
72009,52636.1468944952,2014
72011,62980.4833044361,2014
72013,196724.753171101,2014
72015,35948.88642281119,2014
72017,52934.561400302,2014
72019,65058.250711281704,2014
72021,439499.819286352,2014
72023,95765.82374001831,2014
72025,308825.690846448,2014
72027,73086.6699361442,2014
72029,105218.7957471958,2014
72031,374472.88753696403,2014
72033,59739.02943164813,2014
72035,102545.5673958686,2014
72037,23925.08425545897,2014
72039,37872.5022305413,2014
72041,93477.0798051263,2014
72043,95674.0630820802,2014
72045,44017.80803888222,2014
72047,78795.5103925461,2014
72049,3588.461288641714,2014
72051,85230.2390009873,2014
72053,64320.41418923745,2014
72054,23234.80723045631,2014
72055,33418.8881761231,2014
72057,82826.4147342069,2014
72059,37499.1718530882,2014
72061,209556.9378050848,2014
72063,105417.85519501919,2014
72065,90950.8714202211,2014
72067,37081.646586182396,2014
72069,125564.5984019862,2014
