"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","315","C",,5,"G",,710
"01","315","Z",,15,"H",,620
"01","315","S",,318,"G",,5503
"01","315","P",,19,"H",,916
"01","316","-",,64,"G",,2554
"01","316","Z","D",0,"D","D",0
"01","316","S",,59,"G",,2373
"01","316","P","D",0,"D","D",0
"01","3161","-","D",0,"D","D",0
"01","3161","S","D",0,"D","D",0
"01","31611","-","D",0,"D","D",0
"01","31611","S","D",0,"D","D",0
"01","3162","-",,4,"G",,185
"01","3162","S",,4,"G",,185
"01","31621","-",,4,"G",,185
"01","31621","S",,4,"G",,185
"01","3169","-",,47,"G",,1806
"01","3169","Z","D",0,"D","D",0
"01","3169","S",,42,"G",,1625
"01","3169","P","D",0,"D","D",0
"01","31699","-",,47,"G",,1806
"01","31699","Z","D",0,"D","D",0
"01","31699","S",,42,"G",,1625
"01","31699","P","D",0,"D","D",0
"01","321","-",,362,"G",,22080
"01","321","C","D",0,"D","D",0
"01","321","Z",,21,"G",,4353
"01","321","S",,319,"G",,13464
"01","321","P",,20,"H",,4218
"01","322","-",,25,"G",,2093
"01","322","Z","D",0,"D","D",0
"01","322","S",,23,"H",,1287
"01","322","P","D",0,"D","D",0
"01","323","-",,355,"G",,14933
"01","323","C","D",0,"D","D",0
"01","323","Z",,33,"G",,4583
"01","323","S",,293,"G",,7835
"01","323","P",,21,"G",,1435
"01","3231","-",,355,"G",,14933
"01","3231","C","D",0,"D","D",0
"01","3231","Z",,33,"G",,4583
"01","3231","S",,293,"G",,7835
"01","3231","P",,21,"G",,1435
"01","324","-","D",0,"D","D",0
"01","324","Z","D",0,"D","D",0
"01","324","S",,13,"H",,305
"01","324","P","D",0,"D","D",0
"01","3241","-","D",0,"D","D",0
"01","3241","Z","D",0,"D","D",0
"01","3241","S",,13,"H",,305
"01","3241","P","D",0,"D","D",0
"01","325","-",,175,"G",,8183
"01","325","C","D",0,"D","D",0
"01","325","Z",,11,"H",,649
"01","325","S",,153,"G",,5136
"01","325","P",,9,"G",,1923
"01","3251","-","D",0,"D","D",0
"01","3251","S","D",0,"D","D",0
"01","3252","-",,5,"H",,431
"01","3252","Z","D",0,"D","D",0
"01","3252","S","D",0,"D","D",0
"01","3252","P","D",0,"D","D",0
"01","3253","-",,20,"G",,1001
"01","3253","Z","D",0,"D","D",0
"01","3253","S",,18,"H",,711
"01","3253","P","D",0,"D","D",0
"01","3254","-",,26,"G",,2494
"01","3254","C","D",0,"D","D",0
"01","3254","Z","D",0,"D","D",0
"01","3254","S",,20,"G",,1153
"01","3254","P","D",0,"D","D",0
"01","32541","-",,26,"G",,2494
"01","32541","C","D",0,"D","D",0
"01","32541","Z","D",0,"D","D",0
"01","32541","S",,20,"G",,1153
"01","32541","P","D",0,"D","D",0
"01","3255","-",,35,"G",,1370
"01","3255","Z",,4,"H",,212
"01","3255","S",,28,"G",,710
"01","3255","P",,3,"H",,448
