FIPS_CODE,TOTAL_EMISSIONS,YEAR
42087,219719.4801943229,2008
42089,847681.7760765875,2008
42091,3177698.0443078987,2008
42093,190758.416366745,2008
42095,992682.9520556076,2008
42097,426932.3148422372,2008
42099,308853.67896444426,2008
42101,3224177.80171495,2008
42103,389832.5354654636,2008
42105,128797.4567956438,2008
42107,772092.180154542,2008
42109,231930.38775679964,2008
42111,628827.524309549,2008
42113,54015.93481128532,2008
42115,365977.26056993497,2008
42117,309469.7715195079,2008
42119,319791.4009723953,2008
42121,365424.1907331335,2008
42123,229262.7605701385,2008
42125,1095367.0370011514,2008
42127,296445.9267808309,2008
42129,1774354.1584629845,2008
42131,152612.70267206625,2008
