State_Cd,COUNTY_CD,Year,VMT_Total
1,45,2015,234333332.5
1,47,2011,135520112.7
1,47,2012,130736503.0
1,47,2013,124262359.3
1,47,2014,126203727.1
1,47,2015,128947378.9
1,49,2011,324001178.0
1,49,2012,321220498.4
1,49,2013,327094323.0
1,49,2014,336601711.6
1,49,2015,340550741.5
1,51,2011,240628396.20000002
1,51,2012,250005288.96
1,51,2013,144255040.9
1,51,2014,278434223.9
1,51,2015,279410602.6
1,53,2011,301610289.45
1,53,2012,308389144.15999997
1,53,2013,321538059.4
1,53,2014,327066204.45000005
1,53,2015,317673508.7
1,55,2011,639751005.2
1,55,2012,648170964.7
1,55,2013,667356148.7
1,55,2014,625358015.0
1,55,2015,637818312.0
1,57,2011,17241950.3
1,57,2012,17099922.6
1,57,2013,15473806.35
1,57,2014,16864062.15
1,57,2015,17209728.1
1,59,2011,134088736.0
1,59,2012,137124514.3
1,59,2013,130551506.4
1,59,2014,127246614.6
1,59,2015,136690890.4
1,63,2011,266750756.35
1,63,2012,259472512.12
1,63,2013,253355741.85
1,63,2014,253901467.95000002
1,63,2015,276808342.3
1,65,2011,12625882.9
1,65,2012,11423075.94
1,65,2013,11195783.7
1,65,2014,13146668.55
1,65,2015,13314028.35
1,67,2011,115413146.0
1,67,2012,110993196.6
1,67,2013,113660711.7
1,67,2014,111851472.4
1,67,2015,114110260.3
1,69,2011,577499131.0
1,69,2012,602073272.0
1,69,2013,585986008.8
1,69,2014,584337522.8
1,69,2015,584941207.3
1,71,2011,312624489.3
1,71,2012,308739881.9
1,71,2013,294476189.2
1,71,2014,295443351.6
1,71,2015,303563831.5
1,73,2011,4480716060.0
1,73,2012,4580900272.0
1,73,2013,4754039068.0
1,73,2014,4793488910.0
1,73,2015,5018463169.0
1,77,2011,312815939.1
1,77,2012,317180844.4
1,77,2013,362265656.5
1,77,2014,364028125.5
1,77,2015,370123362.7
1,79,2011,251078762.3
1,79,2012,248924900.9
1,79,2013,235494255.1
1,79,2014,227201349.3
1,79,2015,242612839.2
1,81,2011,637678958.5999999
1,81,2012,664904962.0
1,81,2013,683265597.0999999
1,81,2014,691246087.8
1,81,2015,713494864.3
1,83,2011,702849409.4
1,83,2012,717147039.3
1,83,2013,734647650.9
1,83,2014,735962238.6
1,83,2015,778447979.4000001
1,85,2011,261443532.25
1,85,2012,258508771.96
1,85,2013,259021461.65
1,85,2014,260155724.70000002
1,85,2015,269674574.25
1,87,2011,363158425.40000004
1,87,2012,356573289.38
1,87,2013,362622185.65
1,87,2014,371595429.59999996
1,87,2015,406059408.45
1,89,2011,998630542.9
1,89,2012,965444905.2
1,89,2013,992388148.7
1,89,2014,1210791902.9
1,89,2015,1276760484.5
1,91,2011,132158254.7
1,91,2012,128453058.2
1,91,2013,134569397.2
1,91,2014,135284760.7
1,91,2015,135137486.9
1,93,2011,45600512.15
1,93,2012,201757748.19
1,93,2013,194690923.35000002
1,93,2014,200915377.85
1,93,2015,197178485.95
1,95,2011,290340180.8
1,95,2012,294370348.6
1,95,2013,258379044.8
1,95,2014,279420435.6
1,95,2015,289894924.6
1,97,2011,2337978953.0
1,97,2012,2359100112.0
1,97,2013,2441691166.0
1,97,2014,2426192260.0
1,97,2015,2477252808.0
1,99,2011,39137066.6
1,99,2012,40178524.74
1,99,2013,32515752.35
1,99,2014,31275806.1
1,99,2015,33489640.6
1,101,2011,1484721837.0
1,101,2012,1469097867.6
1,101,2013,1727024355.7
1,101,2014,1744972213.4
1,101,2015,1718254735.3000002
1,103,2011,703935430.3
1,103,2012,708380539.1
1,103,2013,733360522.2
1,103,2014,720937438.7
1,103,2015,734261480.9
1,105,2011,33683386.25
