State_Cd,COUNTY_CD,fsystem_cd,VMT,VMT_Total,Year
2,11,3,16263.994,5936357.81,2011
2,11,4,7619.91,2781267.15,2011
2,11,5,12490.356,4558979.94,2011
2,12,5,5352.52,1953669.8,2011
2,13,5,1210.73,441916.45,2011
2,14,1,129540.683,47282349.3,2011
2,14,5,38372.594,14005996.81,2011
2,15,5,4516.04,1648354.6,2011
2,16,5,3834.558,1399613.67,2011
2,17,3,7738.311,2824483.52,2011
2,18,5,9632.614,3515904.11,2011
2,99,1,307682.645,112304165.4,2011
2,99,3,106066.835,38714394.78,2011
2,99,4,111492.991,40694941.72,2011
2,99,5,247036.744,90168411.56,2011
4,1,1,816338.795,297963660.2,2011
4,1,3,264475.744,96533646.56,2011
4,1,4,376867.289,137556560.5,2011
4,1,5,765245.853,279314736.3,2011
4,3,1,1461625.372,533493260.8,2011
4,3,3,836790.794,305428639.8,2011
4,3,4,495007.952,180677902.5,2011
4,3,5,658741.194,240440535.8,2011
4,5,1,2212706.131,807637737.8,2011
4,5,3,1588099.021,579656142.7,2011
4,5,4,641308.564,234077625.9,2011
4,5,5,1057185.767,385872805,2011
4,7,3,732256.499,267273622.1,2011
4,7,4,463377.687,169132855.8,2011
4,7,5,267919.362,97790567.13,2011
4,9,3,98812.433,36066538.05,2011
4,9,4,375101.016,136911870.8,2011
4,9,5,158855.843,57982382.7,2011
4,11,4,26626.555,9718692.58,2011
4,11,5,157388.219,57446699.94,2011
4,12,1,1435120.616,523819024.8,2011
4,12,3,341063.852,124488306,2011
4,12,5,401991.355,146726844.6,2011
4,13,1,14429477.38,5266759243,2011
4,13,2,19825407.62,7236273782,2011
4,13,3,23516230.43,8583424107,2011
4,13,4,14398537.09,5255466036,2011
4,13,5,6098204.441,2225844621,2011
4,15,1,2023585.696,738608779,2011
4,15,3,2634414.902,961561439.2,2011
4,15,4,628699.182,229475201.4,2011
4,15,5,626154.266,228546307.1,2011
4,15,6,161.207,58840.56,2011
4,17,1,946068.897,345315147.4,2011
4,17,3,1023815.069,373692500.2,2011
4,17,4,341916.557,124799543.3,2011
4,17,5,777632.834,283835984.4,2011
4,19,1,5360351.874,1956528434,2011
4,19,2,309675.072,113031401.3,2011
4,19,3,7342198.769,2679902551,2011
4,19,4,4114861.73,1501924531,2011
4,19,5,2308102.808,842457524.9,2011
4,21,1,3011457.832,1099182109,2011
4,21,2,188494.501,68800492.87,2011
4,21,3,1237252.426,451597135.5,2011
4,21,4,2175525.902,794066954.2,2011
4,21,5,1124038.165,410273930.2,2011
4,23,1,572232.641,208864914,2011
4,23,3,163601.594,59714581.81,2011
4,23,4,44691.613,16312438.75,2011
4,23,5,283445.492,103457604.6,2011
4,25,1,2246265.144,819886777.6,2011
4,25,2,223221.343,81475790.2,2011
4,25,3,1976916.832,721574643.7,2011
4,25,4,809585.158,295498582.7,2011
4,25,5,954678.227,348457552.9,2011
4,25,6,1168.12,426363.8,2011
4,27,1,1123187.742,409963525.8,2011
4,27,3,928824.095,339020794.7,2011
4,27,4,846107.693,308829307.9,2011
4,27,5,709235.316,258870890.3,2011
5,1,3,276763.3,101018604.5,2011
5,1,4,64221.16,23440723.4,2011
5,1,5,115141.85,42026775.25,2011
5,3,3,276862.84,101054936.6,2011
5,3,4,47235.3,17240884.5,2011
5,3,5,165012.14,60229431.1,2011
5,5,3,328014.74,119725380.1,2011
5,5,4,183134.74,66844180.1,2011
5,5,5,209240.76,76372877.4,2011
5,7,1,813559.9,296949363.5,2011
5,7,2,224620,81986300,2011
5,7,3,1364216.84,497939146.6,2011
5,7,4,1166165.18,425650290.7,2011
5,7,5,919835.19,335739844.4,2011
5,7,6,57088.93,20837459.45,2011
5,9,3,505139.65,184375972.3,2011
5,9,4,129896.18,47412105.7,2011
5,9,5,224931.78,82100099.7,2011
5,9,6,11.76,4292.4,2011
5,11,3,30687.7,11201010.5,2011
5,11,4,153856.46,56157607.9,2011
5,11,5,67228.64,24538453.6,2011
5,13,3,139006.9,50737518.5,2011
5,13,4,48587.82,17734554.3,2011
5,13,5,73579.24,26856422.6,2011
5,15,3,75075,27402375,2011
5,15,4,327557.03,119558316,2011
5,15,5,184452.93,67325319.45,2011
5,17,3,294096.15,107345094.8,2011
5,17,4,27022.88,9863351.2,2011
5,17,5,64656.12,23599483.8,2011
5,19,1,740199.64,270172868.6,2011
5,19,3,69707.24,25443142.6,2011
5,19,4,183170.64,66857283.6,2011
5,19,5,139616.79,50960128.35,2011
5,21,3,110884.24,40472747.6,2011
5,21,4,100211.72,36577277.8,2011
5,21,5,74060.93,27032239.45,2011
5,23,4,279378.91,101973302.2,2011
5,23,5,365931.86,133565128.9,2011
5,25,3,83870.18,30612615.7,2011
5,25,4,106454.94,38856053.1,2011
5,25,5,68719.61,25082657.65,2011
5,27,3,267032.55,97466880.75,2011
5,27,4,134063.65,48933232.25,2011
5,27,5,106889.34,39014609.1,2011
5,27,6,11492.52,4194769.8,2011
5,29,1,681865.04,248880739.6,2011
5,29,3,52394.29,19123915.85,2011
5,29,4,181711.09,66324547.85,2011
5,29,5,230219.72,84030197.8,2011
5,29,6,347.6,126874,2011
5,31,2,347865.95,126971071.8,2011
5,31,3,861915.54,314599172.1,2011
5,31,4,533771.68,194826663.2,2011
5,31,5,388390.38,141762488.7,2011
5,33,1,1237918.67,451840314.6,2011
5,33,3,110838.61,40456092.65,2011
5,33,4,240701.64,87856098.6,2011
5,33,5,313537.64,114441238.6,2011
5,33,6,6275.2,2290448,2011
5,35,1,1521927.15,555503409.8,2011
5,35,2,33905.84,12375631.6,2011
5,35,3,115102.33,42012350.45,2011
5,35,4,288442.27,105281428.6,2011
5,35,5,176734.86,64508223.9,2011
5,35,6,1802,657730,2011
5,37,3,153113.17,55886307.05,2011
5,37,4,181850.45,66375414.25,2011
5,37,5,78426.22,28625570.3,2011
5,39,3,106636.31,38922253.15,2011
5,39,4,52455.08,19146104.2,2011
5,39,5,72526.76,26472267.4,2011
5,41,3,229906.46,83915857.9,2011
5,41,4,8837.79,3225793.35,2011
5,41,5,119227.71,43518114.15,2011
5,43,3,221490.07,80843875.55,2011
5,43,4,116624.72,42568022.8,2011
5,43,5,200773.36,73282276.4,2011
5,45,1,936200,341713000,2011
5,45,3,943928.59,344533935.4,2011
5,45,4,447824.21,163455836.7,2011
5,45,5,509022.34,185793154.1,2011
5,45,6,672,245280,2011
5,47,1,486289.62,177495711.3,2011
5,47,4,147714.25,53915701.25,2011
5,47,5,137450.75,50169523.75,2011
5,49,3,215050.02,78493257.3,2011
5,49,4,42192.22,15400160.3,2011
5,49,5,56805.46,20733992.9,2011
5,51,2,320018.23,116806654,2011
5,51,3,1042569.49,380537863.9,2011
5,51,4,238673.18,87115710.7,2011
5,51,5,340854.93,124412049.5,2011
5,53,1,28690,10471850,2011
5,53,3,347567.46,126862122.9,2011
5,53,4,25022.52,9133219.8,2011
5,53,5,91950.31,33561863.15,2011
5,55,3,425928.79,155464008.4,2011
5,55,4,224695.42,82013828.3,2011
5,55,5,142994.9,52193138.5,2011
5,57,1,597779.36,218189466.4,2011
5,57,3,77093,28138945,2011
5,57,4,189088.17,69017182.05,2011
5,57,5,226884.93,82812999.45,2011
5,59,1,752097.32,274515521.8,2011
5,59,3,234170.53,85472243.45,2011
5,59,4,179271.61,65434137.65,2011
5,59,5,205788.87,75112937.55,2011
5,59,6,1135.92,414610.8,2011
5,61,4,131745.25,48087016.25,2011
5,61,5,142788.99,52117981.35,2011
5,63,3,403012.41,147099529.7,2011
5,63,4,269542.28,98382932.2,2011
5,63,5,197452.35,72070107.75,2011
5,65,4,146912.28,53622982.2,2011
5,65,5,72842.29,26587435.85,2011
5,67,2,203875.87,74414692.55,2011
5,67,3,79669,29079185,2011
5,67,4,169405,61832825,2011
