YEAR,STATE_CODE,COUNTY_CODE,VMT_TOTAL
2000,13,115,353085690
2000,13,117,357685944
2000,13,119,321190986
2000,13,121,6060260354
2000,13,123,116926020
2000,13,127,497769882
2000,13,129,451410126
2000,13,131,111385878
2000,13,133,163384596
2000,13,135,3243277304
2000,13,137,158345508
2000,13,139,618627108
2000,13,143,153147576
2000,13,145,178192956
2000,13,147,43861074
2000,13,149,36800934
2000,13,151,997657440
2000,13,153,587211864
2000,13,157,510616482
2000,13,161,35686098
2000,13,163,112247442
2000,13,165,39510432
2000,13,169,21038046
2000,13,171,52718640
2000,13,173,6758556
2000,13,175,348168480
2000,13,177,60334368
2000,13,179,286276782
2000,13,183,48462426
2000,13,185,671969412
2000,13,187,73306140
2000,13,189,200401470
2000,13,191,316399680
2000,13,195,50174940
2000,13,199,61239120
2000,13,201,22626852
2000,13,205,98801334
2000,13,207,530310576
2000,13,209,21297174
2000,13,211,302106282
2000,13,213,98261484
2000,13,215,504523314
2000,13,217,293494302
2000,13,219,145247466
2000,13,221,47347590
2000,13,223,212119692
2000,13,225,307381806
2000,13,227,143565330
2000,13,229,76480824
2000,13,233,160817106
2000,13,235,32198118
2000,13,237,82472610
2000,13,239,21724662
2000,13,241,103520172
2000,13,243,41327622
2000,13,245,948427292.4
2000,13,247,361482462
2000,13,251,47894394
2000,13,253,43052946
2000,13,255,260389968
2000,13,257,95818068
2000,13,259,61301706
2000,13,261,97096140
2000,13,263,31996086
2000,13,265,93679164
2000,13,267,17704518
2000,13,269,50387220
2000,13,271,72282804
2000,13,273,115020258
2000,13,275,246739632
2000,13,277,431511072
2000,13,279,101152152
2000,13,281,55372506
2000,13,283,84037260
2000,13,285,487311432
2000,13,287,230673696
2000,13,289,165550950
2000,13,291,96915702
2000,13,293,68642934
2000,13,295,148561962
2000,13,297,40800216
2000,13,299,268280928
2000,13,301,124216008
2000,13,303,37015410
2000,13,305,153772338
2000,13,307,31309104
2000,13,309,31999746
2000,13,311,46640844
2000,13,313,685441872
2000,13,315,21125886
2000,13,317,56364732
2000,13,319,41941770
2000,13,321,163606758
2000,15,1,389297547
2000,15,3,2936794249
2000,15,7,139524177.6
2000,15,9,321500988
2000,16,1,1263668976
2000,16,3,47071910.38
2000,16,5,442136995.2
2000,16,7,72447683.34
2000,16,9,27306050.74
2000,16,11,254044834.3
2000,16,13,27520901.89
2000,16,15,42598707.79
2000,16,17,196706242.9
2000,16,19,316098941.9
2000,16,21,67398311.47
2000,16,23,40320656.45
2000,16,25,14316409.15
2000,16,27,509625869.7
2000,16,29,40806246.95
2000,16,31,184377659.9
2000,16,33,37481620.07
2000,16,35,18684307.69
2000,16,37,25751035.69
2000,16,39,356635188
2000,16,43,92552913.92
2000,16,47,129709316.6
2000,16,49,106534844.8
2000,16,51,90092235.54
2000,16,53,261984980.6
2000,16,55,578313769
2000,16,57,85088685.77
2000,16,59,36490814.88
2000,16,61,31836291.5
2000,16,63,22005813.32
2000,16,65,74120660.92
2000,16,67,101912463.9
2000,16,69,156479806.9
2000,16,71,103174242.7
2000,16,73,22809864.81
2000,16,75,161505641.7
2000,16,77,119507054.9
2000,16,79,120206342.6
2000,16,83,133291030
2000,16,85,76274475.76
2000,16,87,47853632.58
2000,17,1,139674614.6
2000,17,3,52727398.38
2000,17,5,166413699.8
2000,17,7,232739916.1
2000,17,9,24320030.22
2000,17,11,302134445.7
2000,17,13,12455807.16
2000,17,15,34374507.72
2000,17,17,18382024.26
2000,17,19,923984890.1
2000,17,21,75469591.62
2000,17,23,236082356.2
2000,17,25,69166852.02
2000,17,27,140985421.6
2000,17,29,224382939.3
2000,17,31,17785555469
2000,17,33,39115554.6
2000,17,35,207102366.4
2000,17,37,250954854
2000,17,39,114781578.4
2000,17,41,165739311.9
2000,17,43,4811611248
2000,17,45,75522533.52
2000,17,47,4727622
2000,17,49,432647893.6
2000,17,51,305332271.9
2000,17,53,65614368.18
2000,17,55,237019850.5
2000,17,57,94201149.54
2000,17,59,27096444
2000,17,61,48064799.94
2000,17,63,397167820.6
2000,17,67,62089542.96
2000,17,71,38971032.18
2000,17,73,374025450.4
2000,17,75,341967759.2
2000,17,77,201944163.7
2000,17,81,436810627.6
2000,17,83,115071864
2000,17,85,139159897.8
2000,17,87,164193686.6
2000,17,89,1537120959
2000,17,91,460176905.7
2000,17,93,244184864.1
2000,17,95,180183717.8
2000,17,97,2987278634
2000,17,99,687901007.6
2000,17,101,72838571.34
2000,17,103,355059498.7
2000,17,105,339265321.4
2000,17,107,368605367.4
2000,17,109,105861247.1
2000,17,111,1036788835
2000,17,113,1062170372
2000,17,115,502602857.1
2000,17,117,145699801.7
2000,17,119,1672661665
2000,17,121,311380238.9
2000,17,123,99997605
2000,17,125,26856300.42
2000,17,127,110579367.7
2000,17,131,27858404.76
2000,17,133,177267246.8
2000,17,135,313047749.5
2000,17,137,183994784.3
2000,17,139,73967297.04
2000,17,141,318901147.2
2000,17,143,773481759.2
2000,17,145,66396887.16
2000,17,147,127008514.8
2000,17,149,149302460.5
2000,17,153,66484632
2000,17,155,9680696.34
2000,17,157,114174823.6
2000,17,159,51769492.2
2000,17,161,586779123.9
2000,17,163,1390773264
2000,17,165,104026646.5
2000,17,167,1040974773
2000,17,169,52002110.82
2000,17,171,37222822.2
2000,17,173,95255185.62
2000,17,177,179784701
2000,17,179,660340695.3
2000,17,181,155999060
2000,17,183,414146326.4
2000,17,185,38445496.44
2000,17,187,104191079.3
2000,17,189,245997193.7
2000,17,191,126808949.6
2000,17,193,122500148.8
2000,17,195,270206512.6
2000,17,197,2499313277
2000,17,199,417038875.7
2000,17,201,1130333710
2000,17,203,240968749
2000,18,1,107849582.3
2000,18,3,1455227847
2000,18,5,445831619.9
2000,18,7,32891479.38
2000,18,9,21697918.38
2000,18,11,461847263.8
2000,18,13,52835035.32
2000,18,15,30421012.32
2000,18,17,69356000.82
2000,18,19,592905546.7
2000,18,21,196574101.9
2000,18,23,202477315.9
2000,18,25,94120252.56
2000,18,27,109055087.5
2000,18,29,277906720.7
2000,18,31,225059215.7
2000,18,33,254529436.9
2000,18,35,522380007.5
2000,18,37,125147920.9
2000,18,39,740479407.5
2000,18,41,75809331.12
2000,18,43,342177956.7
2000,18,45,92576373.06
2000,18,47,78425923.68
2000,18,49,64934490.24
2000,18,51,262251067
2000,18,53,341540626.3
2000,18,55,71779272.18
2000,18,57,765075507.8
2000,18,59,361045644.6
