YEAR,STATE_CODE,COUNTY_CODE,distributed_UPT
2005,33.0,11.0,39464.98878432711
2005,33.0,11.0,290057.8173834121
2005,9.0,1.0,213721.66381766382
2005,9.0,1.0,275252.05298799404
2005,9.0,1.0,136171.1826165879
2005,36.0,7.0,1807044.737007874
2005,36.0,107.0,1129402.9606299212
2005,42.0,115.0,51764.302362204726
2005,46.0,103.0,836337.0
2005,46.0,103.0,836337.0
2005,54.0,39.0,0.0
2005,54.0,79.0,2187398.0
2005,48.0,189.0,10014.0
2005,20.0,77.0,1006179.0
2005,25.0,5.0,27511.153065398164
2005,25.0,5.0,1606203.0
2005,48.0,199.0,0.0
2005,48.0,361.0,0.0
2005,18.0,157.0,4251685.0
2005,17.0,19.0,9853845.0
2005,22.0,109.0,176620.0
2005,18.0,39.0,289624.0
2005,12.0,5.0,0.0
2005,1.0,125.0,0.0
2005,8.0,101.0,1026757.0
2005,17.0,113.0,0.0
2005,13.0,59.0,0.0
2005,13.0,157.0,0.0
2005,13.0,195.0,0.0
2005,13.0,219.0,0.0
2005,13.0,221.0,0.0
2005,48.0,135.0,329083.0
2005,26.0,147.0,110314.14195472052
2005,26.0,147.0,657730.0
2005,29.0,19.0,537481.0
2005,5.0,33.0,0.0
2005,5.0,131.0,0.0
2005,40.0,79.0,0.0
2005,40.0,135.0,0.0
2005,47.0,19.0,411686.0
2005,55.0,31.0,2711544.0
2005,8.0,123.0,18227.529411764706
2005,8.0,123.0,464802.0
2005,25.0,27.0,958539.0
2005,22.0,53.0,1069587.0
2005,30.0,111.0,733311.0
2005,8.0,13.0,0.0
2005,19.0,13.0,625421.0
2005,48.0,303.0,618840.0
2005,50.0,7.0,1974652.0
2005,18.0,105.0,2183729.0
2005,42.0,91.0,0.0
2005,42.0,91.0,0.0
2005,27.0,95.0,1344106.0
2005,6.0,25.0,878646.0
2005,19.0,103.0,4341758.0
2005,47.0,73.0,91684.0
2005,31.0,43.0,833234.0
2005,46.0,127.0,833234.0
2005,48.0,39.0,256613.0
2005,40.0,25.0,0.0
2005,55.0,63.0,1028557.0468642316
2005,55.0,123.0,97809.95313576843
2005,16.0,55.0,0.0
2005,24.0,45.0,0.0
2005,13.0,95.0,573331.5
2005,13.0,177.0,106172.5
2005,40.0,27.0,289324.0
2005,17.0,115.0,1074114.0
2005,48.0,451.0,0.0
2005,18.0,167.0,175587.0
2005,18.0,135.0,1584542.0
2005,45.0,31.0,535192.0
2005,45.0,41.0,535192.0
2005,35.0,49.0,636785.0
2005,23.0,27.0,0.0
2005,33.0,15.0,0.0
2005,33.0,15.0,0.0
2005,23.0,31.0,102630.55568958585
2005,33.0,17.0,220665.44431041414
2005,20.0,35.0,0.0
2005,6.0,31.0,0.0
2005,42.0,27.0,6057079.0
2005,26.0,151.0,884182.0
2005,39.0,49.0,0.0
2005,39.0,49.0,0.0
2005,6.0,55.0,788347.0
2005,41.0,17.0,0.0
2005,22.0,43.0,40731.610817468056
2005,22.0,79.0,538638.389182532
2005,30.0,89.0,689928.0
2005,38.0,15.0,0.0
2005,38.0,59.0,0.0
2005,17.0,91.0,172182.0
2005,46.0,103.0,255074.0
2005,46.0,103.0,255074.0
2005,54.0,51.0,166960.66666666666
2005,54.0,69.0,333921.3333333333
2005,20.0,43.0,0.0
2005,29.0,3.0,353707.0
2005,21.0,227.0,0.0
2005,5.0,95.0,0.0
2005,1.0,33.0,0.0
2005,39.0,89.0,2515.8589803941527
2005,39.0,89.0,181750.0
2005,1.0,81.0,0.0
2005,56.0,21.0,195976.0
2005,21.0,93.0,0.0
2005,21.0,163.0,0.0
2005,45.0,85.0,420512.0
2005,39.0,11.0,0.0
2005,4.0,5.0,0.0
2005,47.0,109.0,498091.0
2005,21.0,59.0,0.0
2005,1.0,79.0,0.0
2005,1.0,103.0,0.0
2005,54.0,73.0,0.0
2005,55.0,111.0,517643.0
2005,1.0,57.0,142697.0
2005,17.0,43.0,0.0
2005,17.0,43.0,0.0
2005,36.0,15.0,62640.0
2005,17.0,77.0,0.0
2005,17.0,199.0,0.0
2005,19.0,61.0,90937.0
2005,54.0,77.0,23437.627262652382
2005,39.0,169.0,128832.71813779711
2005,39.0,169.0,242025.3727373476
2005,47.0,11.0,0.0
2005,42.0,129.0,341913.0
2005,36.0,115.0,252523.0
2005,5.0,31.0,0.0
2005,30.0,13.0,270429.0
2005,56.0,25.0,118108.0
2005,2.0,90.0,419602.0
2005,41.0,9.0,365763.0
2005,55.0,105.0,273919.0
2005,18.0,61.0,157605.0
2005,38.0,35.0,226598.0
2005,23.0,19.0,680336.0
2005,26.0,21.0,167554.0
2005,26.0,21.0,167554.0
2005,13.0,115.0,0.0
