fips code,total emissions,YEAR
50013,43137.61774796946,2017
50015,130603.61285366329,2017
50017,212955.9210209074,2017
50019,142394.4031726252,2017
50021,311568.9308280728,2017
50023,344576.5923438316,2017
50025,319695.13739396934,2017
50027,492547.1478663474,2017
51001,228633.25789212974,2017
51003,753087.6948384456,2017
51005,185227.913569927,2017
51007,95674.93471530914,2017
51009,217940.22108775357,2017
51011,92150.22023187733,2017
51013,802435.9070139766,2017
51015,890534.8654927046,2017
51017,25825.8007465745,2017
51019,368950.190182632,2017
51021,199898.19781744166,2017
51023,538136.0267441592,2017
51025,239881.2205046161,2017
51027,100690.6504920661,2017
51029,83626.19110686299,2017
51031,325777.63585768396,2017
51033,585778.0707577014,2017
51035,423107.53862041794,2017
51036,30477.673199643046,2017
51037,78905.97580065268,2017
51041,1571322.6056358616,2017
51043,149396.7776672859,2017
51045,18153.945361049075,2017
51047,289034.37433275697,2017
51049,41030.92100450688,2017
51051,57548.33046352808,2017
51053,302288.56142432056,2017
51057,79987.37472145155,2017
51059,4732242.379769055,2017
51061,737400.92468837,2017
51063,61891.29140417474,2017
51065,95284.0266899093,2017
51067,313154.5444220757,2017
51069,744495.9710621377,2017
51071,110235.86084538382,2017
51073,202922.15295488507,2017
51075,371122.6099335538,2017
51077,61733.70870109193,2017
51079,92874.9993750887,2017
51081,212778.6024699698,2017
51083,216369.22362679307,2017
51085,421784.40557338274,2017
51087,1686348.8912616463,2017
51089,301041.47071092227,2017
51091,14667.279626364088,2017
51093,274072.4532694395,2017
51095,368126.1376634657,2017
51097,57874.19666641965,2017
51099,160979.03050274093,2017
51101,81663.26662065042,2017
51103,52482.325107579185,2017
51105,94465.37931703293,2017
51107,1326788.1720534563,2017
51109,302700.88582891895,2017
51111,48340.74366648547,2017
51113,98246.31932595916,2017
51115,31853.10081819625,2017
51117,327495.1825030653,2017
51119,58916.73124848987,2017
51121,690920.8084707148,2017
51125,142144.16122812414,2017
51127,361933.3737240706,2017
51131,144924.7798566595,2017
51133,53849.53687213671,2017
51135,112533.96706551386,2017
51137,150060.0163043799,2017
51139,88432.15971609231,2017
51141,81254.57546376191,2017
51143,360087.6907156038,2017
51145,165512.70199823534,2017
51147,145857.6289830728,2017
51149,367496.7485414315,2017
51153,1815122.9796865534,2017
51155,352780.6210863022,2017
51157,45018.05286878066,2017
51159,57561.92169680413,2017
51161,535212.3434815756,2017
51163,589352.4547824161,2017
51165,652204.487066111,2017
51167,150469.12935642165,2017
51169,143458.81762999372,2017
51171,607764.3625819156,2017
51173,267260.427982712,2017
51175,233259.29328923684,2017
51177,731432.6294655195,2017
51179,958779.8359003502,2017
51181,31427.872387834268,2017
51183,256054.76856846423,2017
51185,193488.92489670115,2017
51187,290716.95917423844,2017
51191,488947.89006393636,2017
51193,69101.35615644947,2017
51195,201921.96981671656,2017
51197,572091.4900193162,2017
