FIPS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
04019,16626255,17848682,18820665,21532756,21354709,20190229,20563352,20837508,20706526,20971205,18349214,18674970,17199459,16285329,15262673,11391687,15323723.69,15385018.59,15446558.66,15508344.9,15570378.28,15632659.79,15695190.43,15757971.19,15821003.07,15884287.09,15947824.23,16011615.53,16075661.99,16139964.64,16204524.5,16269342.6,16334419.97,16399757.65,16465356.68,16531218.11,16597342.98,16663732.35,16730387.28,16797308.83,16864498.06,16931956.06,16999683.88,17067682.62,17135953.35,17204497.16
05007,1626524.629,2247570.458,1919913.81,2429192.256,2369508.341,2876275.327,1873046.892,500051.0295,261888.2756,324949.1374,525960.0668,362630.7782,374859.5126,365562.2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05031,0,0,56638,90209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05033,0,152402.3721,165083.209,201845.4839,182040.1476,177626.9076,178752.7685,235622.9475,57844.30582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05035,13420624.22,13185857.63,15293087.12,16623147.29,16401754.84,13694052.18,10260091.64,12687958.86,12724628.83,10867071.71,6604949.921,8454588.795,9769761.156,6200220.68,5701245.307,2758717.399,5724050.288,5746946.489,5769934.275,5793014.012,5816186.068,5839450.813,5862808.616,5886259.85,5909804.89,5933444.109,5957177.886,5981006.597,6004930.624,6028950.346,6053066.148,6077278.412,6101587.526,6125993.876,6150497.851,6175099.843,6199800.242,6224599.443,6249497.841,6274495.832,6299593.816,6324792.191,6350091.36,6375491.725,6400993.692,6426597.667
05095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05119,2338781,2372813,2434997,2668590,2532462,2542057,2750455,2996279,2932319,2914502,2743365,2651707,2544065,2351440,2564760,1565366,2575019.04,2585319.116,2595660.393,2606043.034,2616467.206,2626933.075,2637440.807,2647990.571,2658582.533,2669216.863,2679893.731,2690613.305,2701375.759,2712181.262,2723029.987,2733922.107,2744857.795,2755837.226,2766860.575,2777928.018,2789039.73,2800195.889,2811396.672,2822642.259,2833932.828,2845268.559,2856649.633,2868076.232,2879548.537,2891066.731
05131,0,360223.7886,390196.6757,477089.3255,430276.7126,419845.418,422506.5437,556926.9667,136722.9047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05143,2371224.33,1784558.837,2134750.677,1728270.895,2283033.159,2473710.393,3795327.717,358008.1348,539147.7332,537027.7088,367575.1253,574387.2685,386149.4678,354756.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001,,,,,,,,5139509,5216514,5315131,5518672,5426006,5194199,5230369,5421116,2304429,5442800.464,5464571.666,5486429.953,5508375.672,5530409.175,5552530.812,5574740.935,5597039.899,5619428.058,5641905.771,5664473.394,5687131.287,5709879.812,5732719.332,5755650.209,5778672.81,5801787.501,5824994.651,5848294.63,5871687.808,5895174.559,5918755.258,5942430.279,5966200,5990064.8,6014025.059,6038081.159,6062233.484,6086482.418,6110828.347
06007,,,,,,,,1491075,1508086,1538990,1460271,1370915,1265491,1167182,1083564,467664,1087898.256,1092249.849,1096618.848,1101005.324,1105409.345,1109830.982,1114270.306,1118727.388,1123202.297,1127695.106,1132205.887,1136734.71,1141281.649,1145846.776,1150430.163,1155031.884,1159652.011,1164290.619,1168947.782,1173623.573,1178318.067,1183031.339,1187763.465,1192514.519,1197284.577,1202073.715,1206882.01,1211709.538,1216556.376,1221422.601
06013,2525406,2602404,2613491,2880561,2592944,2443061,2570257,2713625,2889520,2984143,2839850,2577582,2401026,2203927,1862486,1072973,1869935.944,1877415.688,1884925.351,1892465.052,1900034.912,1907635.052,1915265.592,1922926.654,1930618.361,1938340.834,1946094.198,1953878.575,1961694.089,1969540.865,1977419.029,1985328.705,1993270.02,2001243.1,2009248.072,2017285.064,2025354.205,2033455.621,2041589.444,2049755.802,2057954.825,2066186.644,2074451.391,2082749.196,2091080.193,2099444.514
06017,0,0,0,0,0,0,0,0,0,0,518750.9167,1057943.657,1280112.608,687131.4919,469077.9854,375560.4092,470954.2973,472838.1145,474729.467,476628.3848,478534.8984,480449.038,482370.8341,484300.3174,486237.5187,488182.4688,490135.1987,492095.7395,494064.1224,496040.3789,498024.5404,500016.6386,502016.7051,504024.772,506040.871,508065.0345,510097.2947,512137.6838,514186.2346,516242.9795,518307.9514,520381.1832,522462.708,524552.5588,526650.769,528757.3721
06019,11281820,12108951,12736768,14260821,13976342,13132837,11635673,11917850,11614782,11114385,11290622,10208051,9797579,10411765,10868022,6408061,10911494.09,10955140.06,10998960.62,11042956.47,11087128.29,11131476.81,11176002.71,11220706.72,11265589.55,11310651.91,11355894.52,11401318.1,11446923.37,11492711.06,11538681.91,11584836.63,11631175.98,11677700.68,11724411.49,11771309.13,11818394.37,11865667.95,11913130.62,11960783.14,12008626.27,12056660.78,12104887.42,12153306.97,12201920.2,12250727.88
06025,878646,0,0,0,0,0,682441,658312,804783,909359,896743,830628,810154,806272,769107,332052,772183.428,775272.1617,778373.2504,781486.7434,784612.6903,787751.1411,790902.1457,794065.7542,797242.0173,800430.9853,803632.7093,806847.2401,810074.6291,813314.9276,816568.1873,819834.46,823113.7979,826406.2531,829711.8781,833030.7256,836362.8485,839708.2999,843067.1331,846439.4016,849825.1592,853224.4599,856637.3577,860063.9071,863504.1628,866958.1794
06029,,,,,,,,6887388,6013187,5649893,5756420,5357016,5808170,6388980,6321939,3481615,6347226.756,6372615.663,6398106.126,6423698.55,6449393.344,6475190.918,6501091.681,6527096.048,6553204.432,6579417.25,6605734.919,6632157.859,6658686.49,6685321.236,6712062.521,6738910.771,6765866.414,6792929.88,6820101.599,6847382.006,6874771.534,6902270.62,6929879.702,6957599.221,6985429.618,7013371.337,7041424.822,7069590.521,7097868.883,7126260.359
06031,0,791145,794113,1424691,1324273,1536712,2382596,4336956,2774128,2798756,3033476,3401232,3541009,4085990,4291415,3840964,4308580.66,4325814.983,4343118.243,4360490.716,4377932.678,4395444.409,4413026.187,4430678.292,4448401.005,4466194.609,4484059.387,4501995.625,4520003.607,4538083.622,4556235.956,4574460.9,4592758.744,4611129.778,4629574.298,4648092.595,4666684.965,4685351.705,4704093.112,4722909.484,4741801.122,4760768.327,4779811.4,4798930.646,4818126.368,4837398.874
06037,3625891,3798809,6514149,7257214,7052009,6685679,6675486,6984909,7174178,7193107,6616316,5869396,5205309,5138788,5045435,2742736,5065616.74,5085879.207,5106222.724,5126647.615,5147154.205,5167742.822,5188413.793,5209167.448,5230004.118,5250924.135,5271927.831,5293015.543,5314187.605,5335444.355,5356786.133,5378213.277,5399726.13,5421325.035,5443010.335,5464782.376,5486641.506,5508588.072,5530622.424,5552744.914,5574955.893,5597255.717,5619644.74,5642123.319,5664691.812,5687350.579
06041,,,,,,,,63422213.14,46642511.4,60416175.26,52412497.52,46367365.52,53064156.11,58300770.28,46473325.32,18737756.46,46659218.62,46845855.5,47033238.92,47221371.88,47410257.36,47599898.39,47790297.99,47981459.18,48173385.01,48366078.55,48559542.87,48753781.04,48948796.16,49144591.35,49341169.71,49538534.39,49736688.53,49935635.28,50135377.83,50335919.34,50537263.01,50739412.07,50942369.71,51146139.19,51350723.75,51556126.65,51762351.15,51969400.56,52177278.16,52385987.27
06047,,,,,,,,1003055,932726,953003,915046,853013,862468,941911,869294,484633,872771.176,876262.2607,879767.3097,883286.379,886819.5245,890366.8026,893928.2698,897503.9829,901093.9988,904698.3748,908317.1683,911950.437,915598.2387,919260.6317,922937.6742,926629.4249,930335.9426,934057.2864,937793.5155,941544.6896,945310.8684,949092.1118,952888.4803,956700.0342,960526.8343,964368.9417,968226.4174,972099.3231,975987.7204,979891.6713
06053,,,,,,,,4280349,4142439,4268871,4370222,4452812,4478034,4477016,4349795,1647605,4367194.18,4384662.957,4402201.609,4419810.415,4437489.657,4455239.615,4473060.574,4490952.816,4508916.627,4526952.294,4545060.103,4563240.343,4581493.305,4599819.278,4618218.555,4636691.429,4655238.195,4673859.148,4692554.584,4711324.803,4730170.102,4749090.782,4768087.145,4787159.494,4806308.132,4825533.365,4844835.498,4864214.84,4883671.699,4903206.386
06055,788347,128662,839651,796041,751231,672266,712668,590418,778242,932473,1090697,1180261,1130075,1070490,1060138,446602,1064378.552,1068636.066,1072910.61,1077202.253,1081511.062,1085837.106,1090180.455,1094541.176,1098919.341,1103315.018,1107728.279,1112159.192,1116607.828,1121074.26,1125558.557,1130060.791,1134581.034,1139119.358,1143675.836,1148250.539,1152843.541,1157454.915,1162084.735,1166733.074,1171400.006,1176085.606,1180789.949,1185513.109,1190255.161,1195016.182
06059,,,,,,,,680629649,685438307,671374465,634163506,591726495,564173957,548193095,528209879,294134137,530322718.5,532444009.4,534573785.4,536712080.6,538858928.9,541014364.6,543178422.1,545351135.8,547532540.3,549722670.5,551921561.1,554129247.4,556345764.4,558571147.4,560805432,563048653.7,565300848.4,567562051.8,569832300,572111629.2,574400075.7,576697676,579004466.7,581320484.6,583645766.5,585980349.6,588324271,590677568,593040278.3,595412439.4
06065,,,,,,,,31584044.25,35681179.24,32329069.68,30168780.37,26538911.47,27109156.51,26264158.51,26219680.67,12174054.76,26324559.39,26429857.63,26535577.06,26641719.37,26748286.24,26855279.39,26962700.51,27070551.31,27178833.51,27287548.85,27396699.04,27506285.84,27616310.98,27726776.23,27837683.33,27949034.07,28060830.2,28173073.52,28285765.82,28398908.88,28512504.52,28626554.53,28741060.75,28856024.99,28971449.09,29087334.89,29203684.23,29320498.97,29437780.96,29555532.09
06071,,,,,,,,24204612.75,19907384.76,22784682.32,21116357.63,20180214.53,17471166.49,17738598.49,17807241.33,10318938.24,17878470.3,17949984.18,18021784.12,18093871.25,18166246.74,18238911.72,18311867.37,18385114.84,18458655.3,18532489.92,18606619.88,18681046.36,18755770.55,18830793.63,18906116.8,18981741.27,19057668.23,19133898.91,19210434.5,19287276.24,19364425.35,19441883.05,19519650.58,19597729.18,19676120.1,19754824.58,19833843.88,19913179.25,19992831.97,20072803.3
06073,,,,,,,,102030655,103523393,111155177,110066973,103074056,99067646,97629459,98625248,52381276,99019748.99,99415827.99,99813491.3,100212745.3,100613596.2,101016050.6,101420114.8,101825795.3,102233098.5,102642030.9,103052599,103464809.4,103878668.6,104294183.3,104711360,105130205.5,105550726.3,105972929.2,106396820.9,106822408.2,107249697.8,107678696.6,108109411.4,108541849.1,108976016.5,109411920.5,109849568.2,110288966.5,110730122.3,111173042.8
06075,256866570.4,242235405.6,269500673.8,220553081,221987027.2,187289131.4,159092727.2,1145822606,1140480050,1197572005,1211242223,1201371713,1178649838,1154414152,1162009491,433280589.7,1166657529,1171324159,1176009455,1180713493,1185436347,1190178093,1194938805,1199718560,1204517435,1209335504,1214172846,1219029538,1223905656,1228801278,1233716484,1238651349,1243605955,1248580379,1253574700,1258588999,1263623355,1268677848,1273752560,1278847570,1283962960,1289098812,1294255207,1299432228,1304629957,1309848477
