FIPS,Geotype,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1041,C,1920.46,1920.46,1913.32,1913.32,1913.32,1913.32,1913.32,1913.342,1913.382,1926.198,1939.014,1937.408,1616.82,1607.078,1749.368,1745.634,1745.634,1745.634,1744.41,1744.346,1745.586,1748.928175,1752.27675,1755.631736,1758.993145,1762.360991,1765.735284,1769.116039,1772.503266,1775.896978,1779.297188,1782.703909,1786.117152,1789.53693,1792.963256,1796.396142,1799.835601,1803.281645,1806.734287,1810.19354,1813.659416,1817.131927,1820.611088,1824.09691,1827.589406,1831.088588,1834.594471,1838.107066,1841.626386,1845.152445,1848.685255
1043,C,3841.07,3843.68,3849.48,3849.48,3849.48,3849.476,3843.318,3850.69,3850.83,4225.8245,4600.819,4626.333,3856.121,3853.382,4335.188,4335.179,4334.394,4334.725,4333.322,4328.784,4329.813,4338.10305,4346.408972,4354.730797,4363.068556,4371.422278,4379.791995,4388.177737,4396.579534,4404.997418,4413.431419,4421.881568,4430.347897,4438.830435,4447.329214,4455.844266,4464.375621,4472.92331,4481.487365,4490.067817,4498.664698,4507.278038,4515.90787,4524.554226,4533.217135,4541.896632,4550.592746,4559.305511,4568.034957,4576.781117,4585.544022
1045,C,2317.44,2317.44,2538.68,2538.68,2538.68,2538.68,2537.132,2536.676,2539.672,2640.0035,2740.335,2776.313,1739.764,1733.902,2294.842,2294.844,2294.5,2293.416,2293.422,2291.72,2631.514,2636.552412,2641.600471,2646.658195,2651.725603,2656.802713,2661.889544,2666.986114,2672.092443,2677.208548,2682.334449,2687.470164,2692.615712,2697.771112,2702.936383,2708.111544,2713.296613,2718.491609,2723.696553,2728.911461,2734.136355,2739.371252,2744.616173,2749.871135,2755.136159,2760.411263,2765.696468,2770.991791,2776.297254,2781.612874,2786.938672
1047,C,2411.34,2417.28,2437.34,2437.34,2437.34,2437.34,2436.346,2436.922,2436.922,2532.133,2627.344,2628.284,2190.652,2191.938,2487.999,2488.218,2478.626,2488.545,2488.705,2485.605,2408.704,2413.31581,2417.936451,2422.565938,2427.204289,2431.85152,2436.50765,2441.172694,2445.84667,2450.529596,2455.221487,2459.922362,2464.632237,2469.35113,2474.079058,2478.816038,2483.562088,2488.317225,2493.081466,2497.854829,2502.637331,2507.428991,2512.229824,2517.039849,2521.859084,2526.687546,2531.525253,2536.372222,2541.228472,2546.094019,2550.968882
1049,C,4154.36,4158.64,4152.92,4152.92,4152.92,4152.92,4153.752,4184.644,4184.644,4345.696,4506.748,4546.799,3807.799,3802.508,4593.583,4594.425,4596.513,4596.513,4597.775,4593.796,4628.791,4637.653486,4646.532941,4655.429397,4664.342886,4673.273441,4682.221095,4691.185881,4700.167831,4709.166979,4718.183356,4727.216997,4736.267934,4745.3362,4754.421829,4763.524853,4772.645307,4781.783223,4790.938634,4800.111575,4809.302079,4818.51018,4827.735911,4836.979306,4846.240398,4855.519223,4864.815813,4874.130202,4883.462426,4892.812517,4902.18051
1051,F,2541.8,2552.18,2553.78,2553.78,2612.352,2623.144,2617.916,2616.976,2616.584,2705.9625,2795.341,2807.974,2566.562,2530.64,3293.566,3273.81,3293.121,3293.223,3300.423,3304.187,2867.086,2888.669439,2910.415358,2932.324981,2954.399539,2976.640275,2999.04844,3021.625293,3044.372104,3067.290154,3090.380731,3113.645134,3137.084672,3160.700662,3184.494434,3208.467325,3232.620685,3256.955871,3281.474253,3306.177209,3331.066129,3356.142413,3381.407471,3406.862725,3432.509606,3458.349557,3484.384031,3510.614493,3537.042418,3563.669293,3590.496615
1053,C,2877.68,2877.68,2825.76,2825.76,2825.1,2826.364,2824.742,2826.028,2826.028,2932.362,3038.696,3066.019,4698.984,2830.611,2823.138,2826.018,2823.517,2826.563,2827.565,2833.097,2871.933,2877.431729,2882.940986,2888.460791,2893.991165,2899.532127,2905.083698,2910.645899,2916.218749,2921.802269,2927.39648,2933.001402,2938.617055,2944.24346,2949.880637,2955.528608,2961.187393,2966.857012,2972.537487,2978.228837,2983.931085,2989.64425,2995.368354,3001.103417,3006.849462,3012.606507,3018.374576,3024.153688,3029.943865,3035.745129,3041.557499
1055,F,3851.2,3862.56,3846.48,3846.36,3750.916,3750.916,3851.896,3856.182,3848.022,3982.182,4116.342,4117.528,2668.385,2668.389,4016.937,4057.46,4048.005,4048.608,4048.301,4044.828,4045.784,4076.240684,4106.926646,4137.843612,4168.993322,4200.377526,4231.997991,4263.856495,4295.95483,4328.294801,4360.878228,4393.706943,4426.782793,4460.107638,4493.683353,4527.511825,4561.594959,4595.934671,4630.532892,4665.391569,4700.512662,4735.898147,4771.550014,4807.470269,4843.660931,4880.124037,4916.861637,4953.875798,4991.168603,5028.742147,5066.598545
1057,F,2316.12,2314.32,2308.98,2308.98,2308.98,2308.98,2308.96,2321.602,2321.302,2519.807,2718.312,2718.15,2065.82,2046.642,2201.411,2201.411,2200.741,2200.741,2200.739,2199.691,2213.2,2229.860982,2246.647387,2263.560161,2280.600254,2297.768625,2315.06624,2332.494071,2350.0531,2367.744312,2385.568704,2403.527278,2421.621045,2439.851021,2458.218233,2476.723713,2495.368503,2514.153651,2533.080213,2552.149255,2571.361848,2590.719074,2610.222022,2629.871787,2649.669476,2669.616203,2689.713088,2709.961263,2730.361866,2750.916045,2771.624956
1059,F,2273.64,2289.64,2292.2,2292.2,2292.2,2292.2,2293.062,2295.498,2295.358,2414.93,2534.502,2548.322,2077.1,2077.096,2410.34,2409.616,2408.75,2409.558,2409.584,2409.38,2292.366,2309.622944,2327.009798,2344.52754,2362.177156,2379.959639,2397.875988,2415.927212,2434.114325,2452.438351,2470.90032,2489.501271,2508.24225,2527.124312,2546.148517,2565.315937,2584.627649,2604.08474,2623.688305,2643.439444,2663.339271,2683.388904,2703.58947,2723.942106,2744.447957,2765.108176,2785.923926,2806.896376,2828.026707,2849.316108,2870.765775
1061,F,2436.96,2436.96,2447.28,2449.08,2449.08,2449.092,2449.622,2447.986,2447.986,2559.132,2670.278,2664.928,2209.112,2191.652,2459.55,2491.898,2495.822,2495.822,2495.802,2496.014,2496.05,2514.840278,2533.772009,2552.846259,2572.064099,2591.426612,2610.934886,2630.590018,2650.393114,2670.345287,2690.447661,2710.701366,2731.107541,2751.667333,2772.3819,2793.252406,2814.280025,2835.465941,2856.811344,2878.317435,2899.985424,2921.81653,2943.811981,2965.973014,2988.300875,3010.79682,3033.462115,3056.298034,3079.305863,3102.486894,3125.842432
1063,F,1333.46,1333.46,1330.98,1328.58,1276.14,1278.16,1328.914,1329.19,1326.25,1334.371,1342.492,1341.696,1221.308,1221.292,1293.048,1293.154,1292.956,1292.956,1293.108,1292.872,1292.914,1302.647064,1312.453398,1322.333554,1332.288088,1342.31756,1352.422534,1362.603578,1372.861266,1383.196173,1393.608881,1404.099976,1414.670049,1425.319692,1436.049507,1446.860095,1457.752066,1468.726032,1479.782609,1490.922421,1502.146093,1513.454257,1524.847549,1536.326609,1547.892084,1559.544624,1571.284885,1583.113526,1595.031213,1607.038617,1619.136413
1065,E,1623.44,1623.44,1655.86,1655.86,1655.86,1660.548,1684.548,1683.262,1683.702,1644.28,1604.858,1622.988,1511.472,1511.874,1612.279,1612.279,1609.149,1609.153,1609.133,1605.721,1679.852,1684.546456,1689.254032,1693.974763,1698.708686,1703.455839,1708.216258,1712.98998,1717.777043,1722.577483,1727.391339,1732.218647,1737.059446,1741.913772,1746.781664,1751.66316,1756.558297,1761.467114,1766.38965,1771.325941,1776.276028,1781.239947,1786.217739,1791.209441,1796.215093,1801.234734,1806.268403,1811.316138,1816.37798,1821.453967,1826.544139
