YEAR,STATE_CODE,COUNTY_CODE,F_SYSTEM,"AVMT (1,000)",VMT_TOTAL
2000,4,25,11,"36,114",36114246.26
2000,4,25,14,"194,385",194385364.8
2000,4,27,1,"245,797",245797126
2000,4,27,2,"137,065",137064510.1
2000,4,27,11,"100,484",100484215.5
2000,4,27,14,"180,745",180745135.9
2000,5,1,2,"86,946",86946447.6
2000,5,1,14,"23,335",23335076.64
2000,5,3,2,"73,599",73599013.2
2000,5,3,14,"14,160",14159544.48
2000,5,5,2,"69,566",69566183.64
2000,5,5,14,"32,961",32961400.02
2000,5,7,1,"99,574",99573989.28
2000,5,7,2,"180,568",180568332.6
2000,5,7,11,"66,744",66743760
2000,5,7,12,"51,408",51408491.76
2000,5,7,14,"160,132",160131708.8
2000,5,9,2,"121,185",121184642.3
2000,5,9,14,"50,973",50972907.84
2000,5,11,14,"13,938",13938231.6
2000,5,13,2,"57,742",57741763.08
2000,5,15,2,"21,211",21211046.88
2000,5,17,2,"106,903",106902601.3
2000,5,19,1,"219,273",219273015.6
2000,5,19,2,"3,990",3990132
2000,5,19,11,"15,647",15646500
2000,5,19,14,"16,969",16968543.24
2000,5,21,2,"48,791",48790947.6
2000,5,25,2,"36,468",36468174.12
2000,5,27,2,"55,795",55794606.48
2000,5,27,14,"29,180",29180458.98
2000,5,29,1,"199,858",199857960
2000,5,29,11,"25,170",25169820
2000,5,29,14,"20,712",20711610.6
2000,5,31,2,"171,790",171790082.5
2000,5,31,12,"75,714",75714017.4
2000,5,31,14,"119,721",119721114.4
2000,5,33,1,"277,944",277943968.5
2000,5,33,11,"84,941",84941016.48
2000,5,33,14,"40,736",40735858.56
2000,5,35,1,"318,566",318566400
2000,5,35,2,"18,632",18632328
2000,5,35,11,"207,394",207394229.4
2000,5,35,12,"3,879",3879307.2
2000,5,35,14,"30,307",30306970.38
2000,5,37,2,"31,876",31876184.4
2000,5,37,14,"20,541",20541413.28
2000,5,39,2,"41,175",41174692.56
2000,5,41,2,"70,202",70201530.36
2000,5,41,14,"13,753",13752816
2000,5,43,2,"48,171",48171415.74
2000,5,43,14,"36,802",36801691.62
2000,5,45,1,"145,851",145851000
2000,5,45,2,"141,236",141236073.1
2000,5,45,11,"143,899",143898609.6
2000,5,45,14,"154,719",154718989.7
2000,5,47,1,"152,527",152526840
2000,5,49,2,"75,753",75752634.06
2000,5,51,2,"147,182",147182354.3
2000,5,51,12,"83,243",83242966.8
2000,5,51,14,"154,593",154593078.4
2000,5,53,1,"6,076",6075600
2000,5,53,2,"119,316",119316117.1
2000,5,55,2,"69,394",69393600
2000,5,55,14,"70,982",70982395.02
2000,5,57,1,"150,744",150744420
2000,5,57,11,"14,603",14603400
2000,5,57,14,"23,270",23269943.28
