ST_code,ST_name,COUNTY,DVMT,Total_VMT,
8,Colorado,109,"214,417",78262226.9,2011
8,Colorado,111,"62,672",22875134,2011
8,Colorado,113,"192,360",70211341.6,2011
8,Colorado,115,"212,163",77439568,2011
8,Colorado,117,"1,286,343",469515268,2011
8,Colorado,119,"487,823",178055541,2011
8,Colorado,121,"346,934",126630745.8,2011
8,Colorado,123,"6,677,960",2437455276,2011
8,Colorado,125,"292,541",106777490.6,2011
9,Connecticut,1,"17,972,887",6560103719,2011
9,Connecticut,3,"19,622,655",7162269039,2011
9,Connecticut,5,"3,230,733",1179217363,2011
9,Connecticut,7,"4,484,051",1636678433,2011
9,Connecticut,9,"17,724,296",6469368186,2011
9,Connecticut,11,"7,144,639",2607793053,2011
9,Connecticut,13,"3,536,119",1290683435,2011
9,Connecticut,15,"2,358,627",860898672.5,2011
10,Delaware,1,"3,697,921",1349741315,2011
10,Delaware,3,"12,281,161",4482623670,2011
10,Delaware,5,"5,006,990",1827551449,2011
11,District of Columbia,NULL,"7,682,978",2804286884,2011
12,Florida,1,"6,538,994",2386732739,2011
12,Florida,3,"962,725",351394784.1,2011
12,Florida,5,"3,639,787",1328522433,2011
12,Florida,7,"740,645",270335395.8,2011
12,Florida,9,"12,121,531",4424358917,2011
12,Florida,11,"36,024,676",13149006854,2011
12,Florida,13,"325,650",118862142.3,2011
12,Florida,15,"3,694,222",1348390982,2011
12,Florida,17,"2,399,120",875678657.7,2011
12,Florida,19,"2,766,311",1009703517,2011
12,Florida,21,"6,820,220",2489380203,2011
12,Florida,23,"2,734,707",998168108.7,2011
12,Florida,27,"668,487",243997926.6,2011
12,Florida,29,"454,347",165836814.1,2011
12,Florida,31,"21,529,347",7858211704,2011
12,Florida,33,"6,127,201",2236428299,2011
12,Florida,35,"2,292,719",836842570.8,2011
12,Florida,37,"277,460",101272758.4,2011
12,Florida,39,"1,425,409",520274248.1,2011
12,Florida,41,"356,587",130154182,2011
12,Florida,43,"388,776",141903072.1,2011
12,Florida,45,"325,696",118879135.6,2011
12,Florida,47,"1,071,252",391007109.6,2011
12,Florida,49,"637,368",232639393,2011
12,Florida,51,"746,664",272532254.9,2011
12,Florida,53,"3,355,517",1224763597,2011
12,Florida,55,"1,917,028",699715319.6,2011
12,Florida,57,"27,244,436",9944219271,2011
12,Florida,59,"489,076",178512893.3,2011
12,Florida,61,"3,270,523",1193741010,2011
12,Florida,63,"1,807,672",659800448.6,2011
12,Florida,65,"741,224",270546615.8,2011
12,Florida,67,"192,316",70195515.2,2011
12,Florida,69,"6,193,776",2260728135,2011
12,Florida,71,"12,065,435",4403883680,2011
12,Florida,73,"5,423,866",1979711079,2011
12,Florida,75,"968,931",353659709.9,2011
12,Florida,77,"151,406",55263365.93,2011
12,Florida,79,"1,085,911",396357341.6,2011
12,Florida,81,"6,565,221",2396305601,2011
12,Florida,83,"7,901,719",2884127410,2011
12,Florida,85,"4,926,653",1798228434,2011
12,Florida,86,"42,803,900",15623423586,2011
12,Florida,87,"2,391,023",872723403,2011
12,Florida,89,"2,211,564",807220963.3,2011
12,Florida,91,"4,361,844",1592072952,2011
12,Florida,93,"1,022,179",373095268.6,2011
12,Florida,95,"27,561,072",10059791461,2011
12,Florida,97,"7,695,204",2808749491,2011
12,Florida,99,"27,795,467",10145345368,2011
12,Florida,101,"8,139,370",2970870138,2011
12,Florida,103,"16,130,857",5887762969,2011
12,Florida,105,"13,030,760",4756227347,2011
12,Florida,107,"1,263,591",461210678.9,2011
12,Florida,109,"5,076,973",1853095300,2011
12,Florida,111,"6,064,840",2213666515,2011
12,Florida,113,"3,218,688",1174820984,2011
12,Florida,115,"8,212,520",2997569786,2011
12,Florida,117,"7,621,171",2781727573,2011
12,Florida,119,"3,107,127",1134101208,2011
12,Florida,121,"1,476,045",538756427.2,2011
12,Florida,123,"546,234",199375430.1,2011
12,Florida,125,"241,272",88064389.5,2011
12,Florida,127,"11,066,883",4039412384,2011
12,Florida,129,"482,912",176263020.9,2011
12,Florida,131,"2,221,306",810776752.1,2011
12,Florida,133,"803,087",293126753.5,2011
13,Georgia,1,"431,746",157587363,2011
13,Georgia,3,"213,694",77998127.5,2011
13,Georgia,5,"217,466",79375126.5,2011
13,Georgia,7,"116,341",42464319,2011
13,Georgia,9,"838,652",306108126,2011
13,Georgia,11,"561,981",205123101.5,2011
13,Georgia,13,"1,317,153",480760735.5,2011
13,Georgia,15,"3,839,880",1401556200,2011
13,Georgia,17,"263,680",96243127,2011
13,Georgia,19,"336,729",122906048.5,2011
13,Georgia,21,"4,404,242",1607548257,2011
13,Georgia,23,"249,374",91021327.5,2011
13,Georgia,25,"347,658",126895024,2011
13,Georgia,27,"377,087",137636645.5,2011
13,Georgia,29,"1,450,138",529300370,2011
13,Georgia,31,"1,780,142",649751830,2011
13,Georgia,33,"566,480",206765163.5,2011
13,Georgia,35,"765,859",279538462,2011
13,Georgia,37,"119,068",43459929.5,2011
13,Georgia,39,"1,863,865",680310761.5,2011
13,Georgia,43,"495,348",180802129.5,2011
13,Georgia,45,"2,524,732",921527070.5,2011
13,Georgia,47,"1,854,620",676936190.5,2011
13,Georgia,49,"293,978",107302079.5,2011
13,Georgia,51,"6,245,238",2279511943,2011
13,Georgia,53,"176,773",64522218,2011
13,Georgia,55,"393,510",143631259.5,2011
13,Georgia,57,"3,662,990",1336991241,2011
13,Georgia,59,"2,004,776",731743094,2011
13,Georgia,61,"65,968",24078356.5,2011
13,Georgia,63,"5,688,248",2076210411,2011
13,Georgia,65,"222,085",81061171,2011
13,Georgia,67,"13,442,669",4906574003,2011
13,Georgia,69,"705,490",257503886.5,2011
13,Georgia,71,"792,338",289203333.5,2011
