b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"01","54133",,1199,,39128
"01","54134",,374,,6703
"01","54135",,105,,2256
"01","54136",,49,,1217
"01","54137",,160,,4206
"01","54138",,29,,1127
"01","5413-a",,2753,,82621
"01","5414",,1101,,31805
"01","5415",,2069,,67013
"01","54151",,2069,,67013
"01","5416",,3418,,108175
"01","5417",,190,,8621
"01","5418",,966,,48235
"01","5419",,7591,,197912
"01","54191",,133,,2996
"01","54192",,738,,19270
"01","54193",,178,,3160
"01","54194",,171,,5933
"01","54199",,6371,,166553
"01","56",,14947,,274597
"01","561",,14758,,262657
"01","5611",,1200,,16862
"01","56111",,1200,,16862
"01","5612",,277,,5254
"01","56121",,277,,5254
"01","5613",,132,,8972
"01","5614",,1826,,39024
"01","56141",,377,,4475
"01","56142","D",0,"D",0
"01","56143",,148,,5598
"01","56144",,61,,2754
"01","56145","D",0,"D",0
"01","56149",,1138,,25267
"01","5615",,227,,12844
"01","5616",,790,,10778
"01","56171",,191,,6295
"01","56172",,5224,,59175
"01","56173",,3234,,60685
"01","56174",,333,,8888
"01","56179",,699,,19001
"01","5617-a",,9681,,154044
"01","5619",,625,,14879
"01","562",,189,,11940
"01","61",,2948,,31276
"01","611",,2948,,31276
"01","62",,11660,,363703
"01","621",,5872,,292788
"01","6211",,1842,,131330
"01","62111",,1842,,131330
"01","621111",,1594,,117482
"01","621112",,248,,13848
"01","6212",,272,,22405
"01","62121",,272,,22405
"01","6213",,1935,,87376
"01","62131",,134,,6793
"01","62132",,154,,10772
"01","62133",,407,,12173
"01","62134",,368,,22217
"01","62139",,872,,35421
"01","621391",,21,,1204
"01","621399",,851,,34217
"01","6214",,72,,17689
"01","6215",,147,,4042
"01","62151",,147,,4042
"01","6216",,1136,,18185
"01","62161",,1136,,18185
"01","6219",,468,,11761
"01","623",,420,,10170
"01","624",,5368,,60745
"01","6241",,755,,9696
"01","6242",,35,,243
"01","6243",,76,,2085
"01","62431",,76,,2085
"01","6244",,4502,,48721
"01","62441",,4502,,48721
"01","71",,6343,,108611
"01","711",,4622,,60792
"01","7111",,164,,1818
"01","7112",,816,,13292
"01","71121",,816,,13292
"01","7113",,172,,3188
"01","7114",,186,,3237
"01","71141",,186,,3237
"01","7115",,3284,,39257
"01","71151",,3284,,39257
"01","712",,26,,282
"01","7121",,26,,282
"01","713",,1695,,47537
"01","7131",,103,,2992
"01","7132",,62,,3885
"01","7139",,1530,,40660
"01","72",,2479,,173810
"01","721",,467,,31877
"01","7211",,273,,24906
"01","7212",,84,,3362
"01","72121",,84,,3362
"01","7213",,110,,3609
"01","72131",,110,,3609
"01","722",,2012,,141933
"01","7221",,498,,60645
"01","72211",,498,,60645
"01","7222",,413,,52680
"01","72221",,413,,52680
"01","7223",,844,,17645
"01","7224",,257,,10963
"01","72241",,257,,10963
"01","81",,40943,,840332
"01","811",,11052,,363869
"01","8111",,5767,,218462
