,STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
103,4,7,250564411.4,237526288.6,240495063.9,279699608.7,253805481.2,254654803,277380814.1,250087154,262684536.6,,,287108064,258549024,278012288,297668800,299401408,301911758.9,306563781.1,314164476.8,310521237.7,331032062.1
106,4,12,575604252,614062931.5,678816427.4,720516716,834752187.3,778474209.3,769930816.1,660123553.2,619925946.1,,,658113152,673804416,673187840,637058688,644398016,637568576.8,717235555.1,740650328.4,781732192.8,757272732.6
107,4,13,15561462659,15935381828,16760006655,17357797797,19007661255,21310090743,21574089925,21185691308,21179098958,,,15805828096,16168391680,16272100352,16585791488,17558355968,18086586793,18577404338,19339506958,19117191764,17496099198
108,4,15,1527592590,1497085906,1513039364,1537937177,1578668851,1625917943,1630832218,1753654732,1640724608,,,1688913536,1682681088,1609657984,1667142912,1858902016,1843105106,1889981181,1939688117,1968273183,1769610995
109,4,17,683092157.9,638620327.1,600174814.7,550547716.1,773597005.8,774432123.8,764720407.5,764545629.4,715507704.4,,,708760000,711872384,751182976,769418368,806073472,806443825.4,830631820.9,858525554.2,885722394.8,826451589.8
110,4,19,3781811646,3847367901,3873524180,4011044516,4564347405,4851481428,4932374707,4844765697,4907179341,,,4026084864,4076681728,4117644032,4291505664,4527471104,4452022028,4089263623,4047226024,4143085323,3757809928
111,4,21,1138676095,1156743798,1213728390,1239709135,1344200533,1380908623,1467166863,1446455947,1371635568,,,1555593088,1534634880,1523691008,1591070336,1616615296,1672507608,1723508008,1709011583,1949897432,1778973282
112,4,23,154749506,187961777.6,242183127.5,269586855.6,273238600.7,295366154.9,311653315.9,337826426.8,282432025.9,,,270400512,257797520,243356320,241212928,258767568,279256085.5,293235114,264465522,284458447,268515935.5
113,4,25,1291064461,1338128144,1395953775,1351499434,1348962521,1382293592,1405217678,1435596328,1304551950,,,1556396160,1574532992,1628478848,1676900736,1841719680,1818959632,1877726633,1926422487,1978529377,1864533041
114,4,27,664090987.5,679594747.6,638121329.5,600413136.7,798826562.5,804561856.9,766513363,764266033.6,714594374.8,,,776260608,772952960,794901120,897396224,761268416,847289588.6,884642042.6,928103231,925242932.2,834294275.1
115,5,1,110281524.2,106694814.4,103107207.5,98449858.6,106923203.4,104114279,99018422.75,100935041.4,97337985.48,,,90334240,95657360,91629136,94869280,94575928,100350040.7,94223145.83,90510604.9,90883116.24,92666037.57
116,5,3,87758557.68,93283418.65,83838561.85,97194576.15,102759902.2,101171484.8,100790125.5,107794566.7,95432435.76,,,77938952,75668728,77132064,77462168,78284896,74646302.8,71719130.32,78236381.62,77317344.1,70818511.2
117,5,5,102527583.7,102930609.6,109919257.3,113884456.7,120747502.9,122906026.6,126576222.1,123155325.3,121598617.6,,,117270400,121269592,122161480,124089264,126891312,130718514.8,132429011.3,134138292.4,139439356.8,135301377.2
118,5,7,558426282.4,600643160.6,625609149.6,642861772.5,716204311.2,818207287.1,821056557.4,825321819.6,812752984.6,,,742889984,788106816,795656064,848521792,885048192,943217634.5,956673780.4,967500976.6,973967063.2,834590906.8
119,5,9,172157550.1,172913574.3,181232307.6,199348557,196575953.8,186631686.9,204657865.2,198417427.4,193314066.7,,,187537984,191807280,188826512,192250192,197778800,204777494.8,209805518.2,204318083.1,206750507.3,177836903.9
121,5,13,57741763.08,60442324.65,50695185.8,49771173.7,56285990.76,52720329.9,50052990.2,51516924.9,52015111.14,,,53151132,52564648,50666392,52281632,54338344,56181401.87,56267676.21,60109017.24,58809825.29,50399186
122,5,15,21211046.88,24172672.5,23168156,24581618.5,25087726.2,26886557,26695041.5,26992589.5,24193478.4,,,32608922,32172962,32238654,31406640,32220382,33335856.08,34740846.73,36640244.68,36288776.33,34312112.04
123,5,17,106902601.3,111059148.6,106416520.2,105508513.3,113437835,111853479.9,105916827.9,101744695.4,102575829.8,,,103074536,107236240,103000760,110524360,109289416,105646393.4,103989583.7,108325576.4,103055492.5,102168760.2
124,5,19,255878190.8,245398402.4,250577259.6,241661098,265418877.5,281665244,271364703.1,277427272.8,299619180.3,,,290622560,280830592,286490432,303731328,298962080,306328516.2,308726333.4,313286628.5,311375227.8,317598919.3
125,5,21,48790947.6,45932833.7,46919574.7,44324621.8,48108569.88,45070437.25,42624623.35,42779087.7,42395115.9,,,45284020,48516120,49831128,49248280,51675052,50950280.99,57952649.43,57624400.92,57260468.54,59312763.91
127,5,25,36468174.12,38266829.95,37465476.1,35073777.1,37509517.32,30696970.85,33411552.5,32402210.7,32761805.58,,,33891956,35447524,34419836,34040512,33814832,33363315.6,36424238.05,35002574,34618048.32,32237269.02
128,5,27,84975065.46,82368893,82089828.6,82782500.05,84390025.44,97039243.1,93535363.55,100144915,99493483.92,,,60277884,58516128,61618408,60535092,61987284,64884843.07,62045789,64047266.5,60187050.59,62413253.49
129,5,29,245739390.6,247753094,240302896.5,242923998,248235254.4,241044905,252781297.5,258281154,240428437.8,,,260136400,256646288,245603968,254465776,243706032,251688572.7,254171758.1,261670533.4,266776598.4,193608145.1
130,5,31,367225214.3,360820782.9,384886755,406636867.7,420076079.1,397136943.3,427791074.1,443492644.2,434055485.7,,,480208256,491715200,506180864,512573632,543101376,569606518.1,584523902,579148448.8,596080326.2,490063031.7
131,5,33,403620843.5,418192515.8,435298558.4,429877395.9,450704452.4,435390414.3,462983906.9,465168833.4,441629376.2,,,479999232,478831168,475654240,491885312,495055456,503506695.9,532387084.5,522860842.5,531122497.8,473179421
132,5,35,578779235,562862864.7,618315705,620809552.9,661422441.2,680477186.9,659048398.3,686309178.9,628121894.6,,,596443328,621697792,629824640,627476288,622526592,631645084.6,646837268.1,654290968.2,647766077.8,581320897.5
133,5,37,52417597.68,53832163.7,52244515.9,54106848.1,54999939.96,56801540.9,55998935.1,53016578.5,52268218.44,,,57952292,59035716,58266388,57471896,57990412,58978550.65,60702909.83,59504104.56,59854123.14,54511650.94
134,5,39,41174692.56,42296579.6,40222474.4,38693212,39399856.08,39052182.2,39639759.2,36927217.9,37187422.68,,,33233624,31808896,31555504,31670060,34040396,35471880.4,35246309.68,36845986.06,36273734.68,31894764.02
135,5,41,83954346.36,80698390.2,80418281.9,81782637.3,84704013.18,90009098.55,84142256.45,78983514.35,80869233.54,,,87429312,87075560,84959736,89138192,84041984,85871440.45,85352942.11,86501212.4,91133825.25,84833561.81
136,5,43,84973107.36,80783694.35,78391816.5,79443790.3,85643476.62,83624438.25,83150985.8,80102735.75,82188960,,,84087248,81114384,85174568,86378680,91457160,91961531.86,94399046.26,96661095.8,93694784.24,92722680.1
137,5,45,585704672.4,596779537,630676659.9,624029228.8,628480402.6,651641661.3,707233581.3,711707145.4,687084571.5,,,640759808,655666112,637793472,664957568,681182272,705406382.5,714510941.8,726412982.2,722529793.6,653818740
138,5,47,152526840,149566050,154979000,132407400,147564246,152622560,156494480,162972135,154712350.4,,,169631968,160000496,160393552,166485216,161738688,147428177.4,175131807.8,171164649.8,174559125.7,171898488
139,5,49,75752634.06,74089605.3,75649170,73709636.65,78076166.76,77423095.55,75090617.8,70023246.15,76719931.8,,,78326160,79646112,74268832,78026704,78517232,83003666.85,79843322.59,75408272.19,83580864.55,73609604.87
140,5,51,385018399.5,410599242,410368295.5,432662981,424927163.8,437278369.5,441035540.8,455636453.3,469585078.5,,,480142464,487131200,492503616,490386560,518929920,534284837.1,524092294.5,529882656.3,555115840.7,483142469.5
141,5,53,125391717.1,119341790.7,121599217.1,116195950.6,131594304.5,141289441.4,127279292.4,131584073.2,120199564.3,,,127672672,125429888,125362760,128096288,136789632,143837770.9,142948583.2,146916893.5,147309242.2,133517080.7
142,5,55,140375995,138518536.6,139443110.8,140602120.9,154422646.8,147462679.1,148672767.3,158340642.7,150318238.6,,,163679600,174535872,169969232,174471520,170707856,176253989,181052407.4,179326434.5,169781337.8,211780478.1
143,5,57,188617763.3,197515121.8,217616577,211278782.7,222401634.8,231934943,225412955.1,244331467.2,229834538.5,,,228651040,216616624,225977264,228508544,218907664,223337657.1,235808934.7,255539658.3,252075818.6,239560542
144,5,59,312731346.2,321754807.3,322554241.3,331281037.2,352588350.9,340325255.4,352080657.1,337143214.6,341341379.5,,,357003840,346004352,350710912,357688160,357995328,389188379.8,406219978.2,369192734.9,391407569,330052288.9
146,5,63,128914093.8,131732697.5,133440820.9,134636393,133689039.6,143945674.2,147904070,143560993.4,135435181.7,,,138407760,136130688,132374960,139807440,141279936,145643048.3,155420533.9,150775923.5,148871192.6,134532771
148,5,67,93366900.12,91932922.3,88310607.55,88055253.55,93212100.42,98655638.3,94763979.1,91527812.45,90510895.98,,,102579808,109125400,107587120,110966720,110836824,110378277.8,128201000.6,135351993.7,129742554.7,97892416.92
