ST,CO,2016,2017,2018,2019,2020,average
4,21,0.563932897,0.564277835,0.554707949,0.538812108,0.532583624,0.550862883
4,23,0.711081683,0.709177542,0.697930438,0.675917776,0.674194319,0.693660352
4,25,0.655436551,0.68872731,0.705979195,0.692654384,0.689179987,0.686395485
4,27,0.575904591,0.577639337,0.599386945,0.587581698,0.607272409,0.589556996
5,1,0.549717545,0.544500727,0.535220279,0.530225167,0.553302876,0.542593319
5,3,0.43061646,0.426731767,0.443957504,0.435482606,0.446066808,0.436571029
5,5,0.44426388,0.449524238,0.449444351,0.446080991,0.440649876,0.445992667
5,7,0.458959611,0.449484353,0.449088935,0.443597641,0.437700441,0.447766196
5,9,0.593658583,0.602276905,0.592339568,0.592880144,0.58226827,0.592684694
5,11,0,0,0,0,0,0
5,13,0.556171403,0.567726857,0.568266459,0.567516579,0.528106856,0.557557631
5,15,0.146073393,0.150437778,0.15544497,0.157117367,0.151800304,0.152174762
5,17,0.729022782,0.733245201,0.732208607,0.731768236,0.733866209,0.732022207
5,19,0.703147731,0.697526818,0.699576765,0.695255371,0.719237665,0.70294887
5,21,0.417894246,0.440512493,0.433747606,0.430170981,0.453070244,0.435079114
5,23,0,0,0,0,0,0
5,25,0.346072083,0.37195234,0.360593071,0.355895369,0.357738806,0.358450334
5,27,0.321882735,0.317691615,0.316862679,0.317205295,0.315884849,0.317905435
5,29,0.62077075,0.622656874,0.637236941,0.63679166,0.590607476,0.62161274
5,31,0.618999291,0.620171668,0.619285962,0.625106722,0.601975388,0.617107806
5,33,0.680756377,0.693632993,0.689516023,0.690614925,0.689374723,0.688779008
5,35,0.765040442,0.771818057,0.757170612,0.767336155,0.760329476,0.764338948
5,37,0.376539949,0.399112791,0.375932461,0.38924675,0.379551403,0.384076671
5,39,0.386763128,0.384526711,0.396179519,0.39128593,0.406786362,0.39310833
5,41,0.66502596,0.68195431,0.665111683,0.671703457,0.661890347,0.669137151
5,43,0.419672955,0.426432965,0.424384206,0.409728095,0.416747153,0.419393075
5,45,0.617091081,0.615779105,0.621930869,0.617463931,0.620978095,0.618648616
5,47,0.569234933,0.610557022,0.603568359,0.612394195,0.616380837,0.602427069
5,49,0.688916896,0.681262404,0.670096565,0.685063127,0.691215573,0.683310913
5,51,0.677389818,0.672262696,0.674559282,0.674294472,0.66577782,0.672856818
5,53,0.711091257,0.702445226,0.705836569,0.709387214,0.717130332,0.70917812
5,55,0.554621877,0.56980712,0.554662928,0.54551346,0.600662152,0.565053507
5,57,0.539497717,0.559844472,0.588314983,0.578282212,0.60541687,0.574271251
5,59,0.713515977,0.725530135,0.710226412,0.718166004,0.695833456,0.712654397
5,61,0,0,0,0,0,0
