"","YEAR","Full_FIPS_Code","fips_year","Log_predictions","Predictions"
"58",2005,"6083","06083-2005",11.6687275404639,116859.488663296
"59",2005,"6085","06085-2005",12.9394411502643,416416.462508447
"60",2005,"6087","06087-2005",10.7848627904272,48284.3509586556
"61",2005,"6089","06089-2005",9.90599242540285,20050.1602536366
"62",2005,"6095","06095-2005",11.6762145687862,117737.702468068
"63",2005,"6097","06097-2005",11.265036908487,78044.691418053
"64",2005,"6099","06099-2005",10.4599802901736,34890.8637472786
"65",2005,"6101","06101-2005",9.12595656917883,9190.78443516616
"66",2005,"6107","06107-2005",9.65015411360344,15524.1804072319
"67",2005,"6111","06111-2005",11.7618042787916,128258.659188356
"68",2005,"6113","06113-2005",11.4568462718086,94546.4258621736
"69",2005,"6115","06115-2005",8.52359631975856,5032.11836096754
"70",2005,"8001","08001-2005",11.7906732586766,132015.320427271
"71",2005,"8005","08005-2005",12.2985901663274,219386.472104277
"72",2005,"8013","08013-2005",11.768588197026,129131.713461264
"73",2005,"8014","08014-2005",10.1931620402246,26719.850704396
"74",2005,"8031","08031-2005",12.8894191423892,396098.87459405
"75",2005,"8035","08035-2005",10.2711843043728,28888.0791941199
"76",2005,"8041","08041-2005",10.9265138614969,55632.0004032905
"77",2005,"8059","08059-2005",12.1210807790136,183703.951027257
"78",2005,"8069","08069-2005",10.4692657094405,35216.348839952
"79",2005,"8077","08077-2005",8.61114985421629,5492.56069222705
"80",2005,"8101","08101-2005",10.3940060345298,32663.2553192764
"81",2005,"8123","08123-2005",10.1781817589277,26322.5629949972
"82",2005,"9001","09001-2005",12.086045365821,177379.248423115
"83",2005,"9003","09003-2005",12.1073803676971,181204.293604088
"84",2005,"9007","09007-2005",10.2436230883083,28102.7604825027
"85",2005,"9009","09009-2005",11.3562472811152,85497.9160646735
"86",2005,"9011","09011-2005",10.7169289247575,45113.1440219152
"87",2005,"9013","09013-2005",10.1637689860662,25945.9027528947
"88",2005,"9015","09015-2005",9.28296540144782,10753.2724528286
"89",2005,"10001","10001-2005",9.67843619342597,15969.5041746013
"90",2005,"10003","10003-2005",12.4454816195471,254099.606205987
"91",2005,"11001","11001-2005",14.6578501758516,2321792.73501918
"92",2005,"12001","12001-2005",10.6175142139069,40843.9592880068
"93",2005,"12009","12009-2005",10.4061968758313,33063.8849255699
"94",2005,"12011","12011-2005",12.6613426202206,315319.793480218
"95",2005,"12019","12019-2005",8.59833830287486,5422.6413131339
"96",2005,"12021","12021-2005",10.3577687945455,31500.8180571742
"97",2005,"12031","12031-2005",12.0628667134492,173315.118960766
"98",2005,"12033","12033-2005",10.5670133050373,38832.5194618941
"99",2005,"12057","12057-2005",12.4735281516552,261327.098253293
