"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","324","P","D",0,"D","D",0
"01","3241","-",,25,"G",,1648
"01","3241","C",,5,"G",,349
"01","3241","S",,17,"H",,559
"01","3241","P","D",0,"D","D",0
"01","325","-",,156,"G",,6455
"01","325","C",,22,"H",,3402
"01","325","S",,129,"G",,2917
"01","325","P",,5,"H",,136
"01","3251","-","D",0,"D","D",0
"01","3251","C","D",0,"D","D",0
"01","3251","S","D",0,"D","D",0
"01","3252","-",,3,"G",,75
"01","3252","C","D",0,"D","D",0
"01","3252","S","D",0,"D","D",0
"01","3253","-",,16,"H",,1019
"01","3253","C","D",0,"D","D",0
"01","3253","S",,10,"H",,284
"01","3254","-",,17,"H",,601
"01","3254","C","D",0,"D","D",0
"01","3254","S",,13,"G",,205
"01","32541","-",,17,"H",,601
"01","32541","C","D",0,"D","D",0
"01","32541","S",,13,"G",,205
"01","3255","-",,41,"G",,1248
"01","3255","C","D",0,"D","D",0
"01","3255","S",,38,"G",,617
"01","3255","P","D",0,"D","D",0
"01","3256","-",,42,"H",,451
"01","3256","C","D",0,"D","D",0
"01","3256","S",,38,"H",,371
"01","3256","P","D",0,"D","D",0
"01","3259","-",,27,"H",,2600
"01","3259","C","D",0,"D","D",0
"01","3259","S",,20,"G",,1293
"01","3259","P","D",0,"D","D",0
"01","326","-",,56,"G",,2128
"01","326","C",,12,"H",,743
"01","326","S",,43,"G",,1210
"01","326","P","D",0,"D","D",0
"01","327","-",,99,"G",,4457
"01","327","C","D",0,"D","D",0
"01","327","S",,90,"G",,3836
"01","327","P","D",0,"D","D",0
"01","3271","-",,20,"G",,606
"01","3271","C","D",0,"D","D",0
"01","3271","S",,19,"G",,599
"01","3272","-",,21,"G",,1010
"01","3272","C","D",0,"D","D",0
"01","3272","S",,17,"H",,738
"01","3272","P","D",0,"D","D",0
"01","32721","-",,21,"G",,1010
"01","32721","C","D",0,"D","D",0
"01","32721","S",,17,"H",,738
"01","32721","P","D",0,"D","D",0
"01","3273","-",,37,"H",,2215
"01","3273","C","D",0,"D","D",0
"01","3273","S",,33,"H",,1873
"01","3273","P","D",0,"D","D",0
"01","3279","-",,21,"H",,626
"01","3279","S",,21,"H",,626
"01","331","-",,50,"G",,2633
"01","331","C",,9,"G",,802
"01","331","S",,34,"H",,1290
"01","331","P",,7,"G",,541
"01","332","-",,489,"G",,25750
"01","332","C",,71,"G",,10972
"01","332","S",,395,"G",,12694
"01","332","P",,23,"G",,2084
"01","333","-",,229,"G",,9187
"01","333","C",,30,"G",,2998
"01","333","S",,189,"G",,5135
"01","333","P","D",0,"D","D",0
"01","334","-",,99,"G",,4570
"01","334","C",,8,"H",,1280
"01","334","S",,79,"G",,1956
"01","334","P","D",0,"D","D",0
"01","335","-",,74,"G",,3256
"01","335","C",,7,"H",,1603
"01","335","S",,66,"G",,1651
"01","335","P","D",0,"D","D",0
"01","336","-",,97,"G",,7307
"01","336","C",,20,"G",,2525
"01","336","S",,71,"G",,4229
"01","336","P",,6,"H",,553
"01","337","-",,251,"G",,9801
"01","337","C",,12,"H",,1205
"01","337","S",,235,"G",,8313
"01","337","P",,4,"G",,283
"01","339","-",,711,"G",,33102
"01","339","C",,70,"G",,8731
"01","339","S",,603,"G",,21670
"01","339","P",,38,"H",,2701
"01","3391","-",,67,"G",,3539
"01","3391","C",,10,"H",,978
"01","3391","S",,54,"G",,2157
"01","3391","P","D",0,"D","D",0
"01","33911","-",,67,"G",,3539
"01","33911","C",,10,"H",,978
"01","33911","S",,54,"G",,2157
"01","33911","P","D",0,"D","D",0
"01","3399","-",,644,"G",,29563
"01","3399","C",,60,"H",,7753
"01","3399","S",,549,"G",,19513
"01","3399","P","D",0,"D","D",0
"01","42","-",,4818,"G",,373212
"01","42","C",,532,"G",,76675
"01","42","S",,4063,"G",,264714
"01","42","P",,223,"G",,31823
"01","423","-",,2490,"G",,202451
"01","423","C",,300,"G",,44831
"01","423","S",,2066,"G",,140948
"01","423","P",,124,"G",,16672
"01","4231","-",,287,"G",,37971
"01","4231","C",,42,"G",,8926
"01","4231","S",,236,"G",,27914
"01","4231","P",,9,"H",,1131
"01","4232","-",,181,"G",,10715
"01","4232","C",,18,"H",,2426
