ST,CO,YEAR,VMT_Total
6.0,95.0,2016.0,3720581941.38
6.0,97.0,2016.0,411725576.82
6.0,99.0,2016.0,1238741336.22
6.0,101.0,2016.0,312541520.28000003
6.0,103.0,2016.0,592201816.5
6.0,105.0,2016.0,86027183.7
6.0,107.0,2016.0,587149124.28
6.0,109.0,2016.0,230126214.89999998
6.0,111.0,2016.0,1787575593.1200001
6.0,113.0,2016.0,1265652543.96
6.0,115.0,2016.0,228580542.0
8.0,1.0,2016.0,2793304460.4
8.0,3.0,2016.0,130392624.0
8.0,5.0,2016.0,2467677993.6
8.0,7.0,2016.0,110048770.2
8.0,9.0,2016.0,51458209.2
8.0,11.0,2016.0,46111608.0
8.0,13.0,2016.0,631769143.2
8.0,14.0,2016.0,274122654.0
8.0,15.0,2016.0,132506127.60000001
8.0,17.0,2016.0,55871645.81999999
8.0,19.0,2016.0,521185024.8
8.0,21.0,2016.0,40134425.4
8.0,23.0,2016.0,48161647.2
8.0,25.0,2016.0,0.0
8.0,27.0,2016.0,0.0
8.0,29.0,2016.0,114017674.2
8.0,31.0,2016.0,3427949778.0
8.0,33.0,2016.0,34489534.199999996
8.0,35.0,2016.0,1739298721.8
8.0,37.0,2016.0,599734920.0
8.0,39.0,2016.0,150143045.4
8.0,41.0,2016.0,2974732124.4
8.0,43.0,2016.0,134849735.4
8.0,45.0,2016.0,674550773.4
8.0,47.0,2016.0,0.0
8.0,49.0,2016.0,181197047.4
8.0,51.0,2016.0,73210614.0
8.0,53.0,2016.0,0.0
8.0,55.0,2016.0,184049834.4
8.0,57.0,2016.0,3326830.2
8.0,59.0,2016.0,2230276741.7999997
8.0,61.0,2016.0,30397335.78
8.0,63.0,2016.0,234938803.79999998
8.0,65.0,2016.0,0.0
8.0,67.0,2016.0,354547530.59999996
8.0,69.0,2016.0,1289703333.6000001
8.0,71.0,2016.0,170258625.0
8.0,73.0,2016.0,173255689.2
8.0,75.0,2016.0,178682956.8
8.0,77.0,2016.0,617079879.6
8.0,79.0,2016.0,25792020.0
8.0,81.0,2016.0,100472987.75999999
8.0,83.0,2016.0,239607756.0
8.0,85.0,2016.0,162942760.79999998
8.0,87.0,2016.0,252669534.72000003
8.0,89.0,2016.0,90111469.2
8.0,91.0,2016.0,84351544.2
8.0,93.0,2016.0,138271396.20000002
8.0,95.0,2016.0,9172161.299999999
8.0,97.0,2016.0,140838996.0
8.0,99.0,2016.0,111404178.0
8.0,101.0,2016.0,692288231.4000001
8.0,103.0,2016.0,33817119.0
8.0,105.0,2016.0,98286372.0
8.0,107.0,2016.0,134472426.0
8.0,109.0,2016.0,67875175.8
8.0,111.0,2016.0,21055248.0
8.0,113.0,2016.0,56918197.2
8.0,115.0,2016.0,76033044.96
8.0,117.0,2016.0,349640898.0
8.0,119.0,2016.0,85091925.60000001
8.0,121.0,2016.0,102757823.27999999
8.0,123.0,2016.0,1536340533.1799998
8.0,125.0,2016.0,72955530.3
9.0,1.0,2016.0,3147177636.0
9.0,3.0,2016.0,3965585478.0
9.0,5.0,2016.0,414144006.0
9.0,7.0,2016.0,740563302.0
9.0,9.0,2016.0,3597513552.0
9.0,11.0,2016.0,1492953711.0
9.0,13.0,2016.0,849653994.0
9.0,15.0,2016.0,432894552.0
10.0,1.0,2016.0,344085918.36
10.0,3.0,2016.0,2987682057.1800003
10.0,5.0,2016.0,1128843171.36
12.0,1.0,2016.0,1744901731.6200001
12.0,3.0,2016.0,247162918.32
12.0,5.0,2016.0,909471906.72
12.0,7.0,2016.0,170986569.72000003
12.0,9.0,2016.0,3445630183.9200006
12.0,11.0,2016.0,8357257644.4800005
12.0,13.0,2016.0,50258578.31999999
12.0,15.0,2016.0,789497575.2
12.0,17.0,2016.0,539198992.14
12.0,19.0,2016.0,657482927.04
12.0,21.0,2016.0,1385768817.6000001
12.0,23.0,2016.0,738311296.68
12.0,27.0,2016.0,178083053.51999998
12.0,29.0,2016.0,85605313.8
12.0,31.0,2016.0,5341607682.66
12.0,33.0,2016.0,1280417013.2399998
12.0,35.0,2016.0,650886402.9000001
12.0,37.0,2016.0,84856920.66
12.0,39.0,2016.0,367388911.44
12.0,41.0,2016.0,56875594.8
12.0,43.0,2016.0,94625383.8
12.0,45.0,2016.0,45779558.16
12.0,47.0,2016.0,378622472.58
12.0,49.0,2016.0,192966033.60000002
12.0,51.0,2016.0,267715216.44000003
12.0,53.0,2016.0,727047185.5200001
12.0,55.0,2016.0,483368865.36
12.0,57.0,2016.0,7193121986.160001
12.0,59.0,2016.0,103676527.2
12.0,61.0,2016.0,784512633.24
12.0,63.0,2016.0,388869136.68
12.0,65.0,2016.0,236577949.44
12.0,67.0,2016.0,44086555.620000005
12.0,69.0,2016.0,1255136946.72
12.0,71.0,2016.0,2881360319.88
12.0,73.0,2016.0,1050296775.1199999
12.0,75.0,2016.0,219053302.14000002
12.0,77.0,2016.0,33730706.4
12.0,79.0,2016.0,313772810.16
12.0,81.0,2016.0,2054663928.42
12.0,83.0,2016.0,2074026587.4600003
12.0,85.0,2016.0,1183450623.9
12.0,86.0,2016.0,6052893264.839999
12.0,87.0,2016.0,837457534.4399999
12.0,89.0,2016.0,493696744.86
12.0,91.0,2016.0,1158940237.08
12.0,93.0,2016.0,273930504.0
12.0,95.0,2016.0,4043929941.06
12.0,97.0,2016.0,1530591185.58
12.0,99.0,2016.0,7002563222.4
12.0,101.0,2016.0,2131876576.7399998
12.0,103.0,2016.0,3694226511.9599996
12.0,105.0,2016.0,3225340251.96
12.0,107.0,2016.0,329084939.88
12.0,109.0,2016.0,1467416456.28
12.0,111.0,2016.0,1413260753.8799999
12.0,113.0,2016.0,629616602.04
12.0,115.0,2016.0,2249652148.62
12.0,117.0,2016.0,1700750291.52
12.0,119.0,2016.0,827072913.96
12.0,121.0,2016.0,309931248.53999996
12.0,123.0,2016.0,147647254.8
12.0,125.0,2016.0,0.0
12.0,127.0,2016.0,3369306630.12
12.0,129.0,2016.0,129418386.9
12.0,131.0,2016.0,761797930.26
12.0,133.0,2016.0,250417719.71999997
13.0,1.0,2016.0,98473416.3
13.0,3.0,2016.0,66289722.36
13.0,5.0,2016.0,35572498.92
13.0,7.0,2016.0,0.0
13.0,9.0,2016.0,160308340.38
13.0,11.0,2016.0,184293864.9
13.0,13.0,2016.0,256963293.0
13.0,15.0,2016.0,1385314886.1000001
13.0,17.0,2016.0,10688854.32
13.0,19.0,2016.0,35594144.16
13.0,21.0,2016.0,1060012160.9399999
13.0,23.0,2016.0,13553346.0
13.0,25.0,2016.0,74333534.94
13.0,27.0,2016.0,53359740.24
13.0,29.0,2016.0,477757411.92
13.0,31.0,2016.0,452097920.52
13.0,33.0,2016.0,102107027.7
13.0,35.0,2016.0,156560899.32
13.0,37.0,2016.0,0.0
13.0,39.0,2016.0,617504706.78
13.0,43.0,2016.0,139882638.0
13.0,45.0,2016.0,530194147.74000007
13.0,47.0,2016.0,478991585.88
13.0,49.0,2016.0,46792770.6
13.0,51.0,2016.0,1857865677.18
13.0,53.0,2016.0,66040944.839999996
13.0,55.0,2016.0,76456631.39999999
13.0,57.0,2016.0,933049637.7
13.0,59.0,2016.0,239171912.22000003
13.0,61.0,2016.0,7203143.5200000005
13.0,63.0,2016.0,1786536687.48
13.0,65.0,2016.0,59662443.24
13.0,67.0,2016.0,3186354221.1
13.0,69.0,2016.0,96164746.85999998
13.0,71.0,2016.0,145569666.77999997
13.0,73.0,2016.0,529159945.2
13.0,75.0,2016.0,359928806.64
13.0,77.0,2016.0,780369268.0200001
13.0,79.0,2016.0,12610753.26
13.0,81.0,2016.0,353324622.12
13.0,83.0,2016.0,278670570.0
13.0,85.0,2016.0,126870829.25999999
13.0,87.0,2016.0,130806921.35999998
13.0,89.0,2016.0,4269264297.3
13.0,91.0,2016.0,65133641.82000001
13.0,93.0,2016.0,322182663.0
13.0,95.0,2016.0,278557739.52
13.0,97.0,2016.0,926019227.8800001
13.0,99.0,2016.0,40820302.08
13.0,101.0,2016.0,1160000.4000000001
13.0,103.0,2016.0,128211798.36000001
13.0,105.0,2016.0,81032934.36
13.0,107.0,2016.0,144823700.22000003
13.0,109.0,2016.0,22191970.8
13.0,111.0,2016.0,131994862.2
13.0,113.0,2016.0,335169294.59999996
13.0,115.0,2016.0,402004748.58
13.0,117.0,2016.0,321711943.08
13.0,119.0,2016.0,395954516.03999996
13.0,121.0,2016.0,6012728208.900001
13.0,123.0,2016.0,151421834.76
13.0,125.0,2016.0,0.0
13.0,127.0,2016.0,649094466.9
13.0,129.0,2016.0,585433590.78
13.0,131.0,2016.0,113314946.88
13.0,133.0,2016.0,170373732.0
13.0,135.0,2016.0,3512080734.0
13.0,137.0,2016.0,203837679.3
13.0,139.0,2016.0,943524283.2
13.0,141.0,2016.0,0.0
13.0,143.0,2016.0,182631240.36
13.0,145.0,2016.0,225498639.0
13.0,147.0,2016.0,52384386.839999996
13.0,149.0,2016.0,48928391.58
13.0,151.0,2016.0,1197620866.56
13.0,153.0,2016.0,643619147.16
13.0,155.0,2016.0,0.0
13.0,157.0,2016.0,696391490.34
13.0,159.0,2016.0,0.0
13.0,161.0,2016.0,33322762.8
13.0,163.0,2016.0,98994259.92
13.0,165.0,2016.0,52617777.720000006
13.0,167.0,2016.0,0.0
13.0,169.0,2016.0,58967142.06
13.0,171.0,2016.0,70683018.0
13.0,173.0,2016.0,5895110.76
13.0,175.0,2016.0,414673692.18
13.0,177.0,2016.0,38369474.58
13.0,179.0,2016.0,419670979.32
13.0,181.0,2016.0,0.0
13.0,183.0,2016.0,76816779.06
13.0,185.0,2016.0,782966019.72
13.0,187.0,2016.0,99211323.54
13.0,189.0,2016.0,192280164.24
13.0,191.0,2016.0,417850854.0
13.0,193.0,2016.0,0.0
13.0,195.0,2016.0,57293299.61999999
13.0,197.0,2016.0,0.0
13.0,199.0,2016.0,83595315.0
13.0,201.0,2016.0,22240136.400000002
13.0,205.0,2016.0,0.0
13.0,207.0,2016.0,759396198.0
13.0,209.0,2016.0,20855726.76
13.0,211.0,2016.0,381360738.18
13.0,213.0,2016.0,58927478.64
13.0,215.0,2016.0,752843696.34
13.0,217.0,2016.0,380219875.92
13.0,219.0,2016.0,202606308.89999998
13.0,221.0,2016.0,55156653.839999996
13.0,223.0,2016.0,284600099.4
13.0,225.0,2016.0,385946809.68
13.0,227.0,2016.0,194094440.88000003
13.0,229.0,2016.0,81687668.10000001
13.0,231.0,2016.0,184559785.86
13.0,233.0,2016.0,169009108.32
13.0,235.0,2016.0,35099729.4
13.0,237.0,2016.0,72738532.56
13.0,239.0,2016.0,16948823.16
13.0,241.0,2016.0,128906477.34
13.0,243.0,2016.0,38140003.56
13.0,245.0,2016.0,1139430995.04
13.0,247.0,2016.0,497412611.1
13.0,249.0,2016.0,7012790.579999999
13.0,251.0,2016.0,42590867.34
13.0,253.0,2016.0,31064670.9
13.0,255.0,2016.0,351278199.0
13.0,257.0,2016.0,107409236.75999999
13.0,259.0,2016.0,55160851.86
13.0,261.0,2016.0,140956815.06
13.0,263.0,2016.0,65972861.52
13.0,265.0,2016.0,103245123.0
13.0,267.0,2016.0,19693471.8
13.0,269.0,2016.0,183092711.46
13.0,271.0,2016.0,66230701.2
13.0,273.0,2016.0,92209794.78
13.0,275.0,2016.0,213525563.87999997
13.0,277.0,2016.0,470784844.74000007
13.0,279.0,2016.0,102215769.96
13.0,281.0,2016.0,67745611.8
13.0,283.0,2016.0,135008616.0
13.0,285.0,2016.0,617333920.2
13.0,287.0,2016.0,252936195.0
13.0,289.0,2016.0,238486767.54
13.0,291.0,2016.0,122970707.63999999
13.0,293.0,2016.0,89644083.54
13.0,295.0,2016.0,138973936.85999998
13.0,297.0,2016.0,250002723.3
13.0,299.0,2016.0,225913686.66
13.0,301.0,2016.0,135925629.0
13.0,303.0,2016.0,27983726.82
13.0,305.0,2016.0,161201329.14
13.0,307.0,2016.0,26753655.72
13.0,309.0,2016.0,28139847.78
13.0,311.0,2016.0,55513642.92
13.0,313.0,2016.0,742980109.8000001
13.0,315.0,2016.0,19529503.8
13.0,317.0,2016.0,59814486.96
13.0,319.0,2016.0,64508451.6
13.0,321.0,2016.0,151727444.76
15.0,1.0,2016.0,586973232.0
15.0,3.0,2016.0,3157409499.06
15.0,7.0,2016.0,187088179.73999998
15.0,9.0,2016.0,529646648.34
16.0,1.0,2016.0,1894065463.5
16.0,3.0,2016.0,37453548.6
16.0,5.0,2016.0,513455397.59999996
16.0,7.0,2016.0,62663226.0
16.0,9.0,2016.0,34667556.6
16.0,11.0,2016.0,339037402.20000005
16.0,13.0,2016.0,26331613.8
16.0,15.0,2016.0,59620009.2
16.0,17.0,2016.0,110697761.4
16.0,19.0,2016.0,390085398.59999996
16.0,21.0,2016.0,88636708.8
16.0,23.0,2016.0,43873408.199999996
16.0,25.0,2016.0,17873793.0
16.0,27.0,2016.0,963949751.34
16.0,29.0,2016.0,37124551.199999996
16.0,31.0,2016.0,211613257.8
16.0,33.0,2016.0,45194338.800000004
16.0,35.0,2016.0,19464063.0
16.0,37.0,2016.0,25961474.340000004
16.0,39.0,2016.0,480352527.6
16.0,41.0,2016.0,0.0
16.0,43.0,2016.0,94378846.2
16.0,45.0,2016.0,27897069.0
16.0,47.0,2016.0,185292624.0
16.0,49.0,2016.0,115187428.5
16.0,51.0,2016.0,56459672.4
16.0,53.0,2016.0,361688154.0
16.0,55.0,2016.0,812520878.4
16.0,57.0,2016.0,44996442.599999994
16.0,59.0,2016.0,36116158.98
16.0,61.0,2016.0,37779581.4
16.0,63.0,2016.0,30068913.0
16.0,65.0,2016.0,45804321.72
16.0,67.0,2016.0,101177223.0
16.0,69.0,2016.0,133430826.6
16.0,71.0,2016.0,146853108.0
16.0,73.0,2016.0,29520352.2
16.0,75.0,2016.0,198076491.6
16.0,77.0,2016.0,144552907.79999998
16.0,79.0,2016.0,149205426.6
16.0,81.0,2016.0,0.0
16.0,83.0,2016.0,119327419.2
16.0,85.0,2016.0,104046736.2
16.0,87.0,2016.0,55698721.8
17.0,1.0,2016.0,200028311.04
17.0,3.0,2016.0,40623119.58
17.0,5.0,2016.0,164218054.85999998
17.0,7.0,2016.0,338574448.8
17.0,9.0,2016.0,22022377.38
17.0,11.0,2016.0,332007599.94000006
17.0,13.0,2016.0,0.0
17.0,15.0,2016.0,29091100.080000002
17.0,17.0,2016.0,10569406.56
17.0,19.0,2016.0,1020457424.64
17.0,21.0,2016.0,119139353.75999999
17.0,23.0,2016.0,258901325.22000003
17.0,25.0,2016.0,60275694.54
17.0,27.0,2016.0,142283850.54000002
17.0,29.0,2016.0,248211142.32
17.0,31.0,2016.0,18071733248.1
17.0,33.0,2016.0,30616540.5
17.0,35.0,2016.0,218679729.6
17.0,37.0,2016.0,302850594.23999995
17.0,39.0,2016.0,45136111.86
17.0,41.0,2016.0,162838981.5
17.0,43.0,2016.0,5197225898.16
17.0,45.0,2016.0,58583716.8
17.0,47.0,2016.0,15820251.180000002
17.0,49.0,2016.0,426037673.75999993
17.0,51.0,2016.0,307739358.72
17.0,53.0,2016.0,58800432.71999999
17.0,55.0,2016.0,290660682.41999996
17.0,57.0,2016.0,111319079.34
17.0,59.0,2016.0,23250131.7
17.0,61.0,2016.0,46365143.52
17.0,63.0,2016.0,460920032.1
17.0,65.0,2016.0,0.0
17.0,67.0,2016.0,66379527.779999994
17.0,69.0,2016.0,0.0
17.0,71.0,2016.0,40515727.86
17.0,73.0,2016.0,374677032.84
17.0,75.0,2016.0,289029178.86
