"","YEAR","Full_FIPS_Code","fips_year","Log_predictions","Predictions"
"51",2005,"6069","06069-2005",8.51202676727762,4974.23449438289
"52",2005,"6071","06071-2005",11.7445489635069,126064.500477772
"53",2005,"6073","06073-2005",13.1948958048168,537613.836188054
"54",2005,"6075","06075-2005",13.7206384671395,909489.259049626
"55",2005,"6077","06077-2005",11.1113831730335,66928.7013657118
"56",2005,"6079","06079-2005",10.182763577641,26443.4449247799
"57",2005,"6081","06081-2005",12.6579028967838,314237.043843704
"58",2005,"6083","06083-2005",11.4916078766308,97890.8025422525
"59",2005,"6085","06085-2005",12.6599370408792,314876.897827969
"60",2005,"6087","06087-2005",10.562502715584,38657.7563477951
"61",2005,"6089","06089-2005",9.77522244217451,17592.4030362796
"62",2005,"6095","06095-2005",11.6474447273651,114398.669471364
"63",2005,"6097","06097-2005",11.1028061699835,66357.1084710678
"64",2005,"6099","06099-2005",9.95409299943254,21038.1555583518
"65",2005,"6101","06101-2005",9.33819098810201,11363.8323268708
"66",2005,"6107","06107-2005",9.39540009889586,12032.9030680499
"67",2005,"6111","06111-2005",11.5931392179603,108351.864827447
"68",2005,"6113","06113-2005",11.3050687979339,81232.346109713
"69",2005,"6115","06115-2005",8.6544304314235,5735.50127157298
"70",2005,"8001","08001-2005",11.6227232930631,111605.241320399
"71",2005,"8005","08005-2005",12.1355205059522,186375.83009469
"72",2005,"8013","08013-2005",11.5517752140291,103961.426889243
"73",2005,"8014","08014-2005",10.2135545878324,27270.3302960428
"74",2005,"8031","08031-2005",12.7686387195329,351034.124855542
"75",2005,"8035","08035-2005",10.3093301254888,30011.3260828013
"76",2005,"8041","08041-2005",10.864720480202,52298.3698421985
"77",2005,"8059","08059-2005",12.0179429211276,165701.444531329
"78",2005,"8069","08069-2005",10.2858508389893,29314.8894706689
"79",2005,"8077","08077-2005",8.44216070791817,4638.56675232134
"80",2005,"8101","08101-2005",9.96872978789396,21348.3511868845
"81",2005,"8123","08123-2005",10.0133994762036,22323.5951421995
"82",2005,"9001","09001-2005",12.1471301636344,188552.198684536
"83",2005,"9003","09003-2005",11.8426421855445,139057.415161655
"84",2005,"9007","09007-2005",9.93775717516176,20697.2718350974
"85",2005,"9009","09009-2005",11.0835126164519,65089.1154254586
"86",2005,"9011","09011-2005",10.6170766494441,40826.0913323792
"87",2005,"9013","09013-2005",9.83122269251845,18605.6893603514
"88",2005,"9015","09015-2005",9.06966155882559,8687.68303845341
"89",2005,"10001","10001-2005",9.56012306755819,14187.5921244814
"90",2005,"10003","10003-2005",12.0980538868586,179522.151657414
"91",2005,"11001","11001-2005",14.2358615665233,1522495.87092023
"92",2005,"12001","12001-2005",10.6063714667778,40391.3715958086
"93",2005,"12009","12009-2005",10.1993902329063,26886.7863972141
"94",2005,"12011","12011-2005",12.3039873006922,220573.731389002
"95",2005,"12019","12019-2005",8.61657549840985,5522.44236260657
"96",2005,"12021","12021-2005",10.0532887145986,23232.0649793923
"97",2005,"12031","12031-2005",11.7926613476993,132278.039704762
"98",2005,"12033","12033-2005",10.509685153394,36668.9326372235
"99",2005,"12057","12057-2005",12.0876294052023,177660.44679389
