Sum of Capital Funding,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,(blank),Grand Total
13121,,,,,,,,1584491470,2077536548,2556733828,1934509349,1850034909,1802189048,2557587923,2832498103,3720432549,2165723985,,23081737713
13135,,,,,,,,163130973.6,270857526.8,423009685,377045994.1,284255171.7,199206301.3,399248042.9,363233630.5,366580710.6,411196369.2,,3257764406
13139,932856206.2,1622170851,1328674517,1232255573,1382058263,990363294.8,557402709.4,114341914.6,180652927.1,188905851.7,220100301,124157258.9,147097747.4,338676700.9,235414076.3,303407770.5,285586599.2,,10184122562
13145,124116.6491,449628.0793,202385.8517,901670.8143,840669.2246,694797.9077,864488.7483,196843.7847,838748.5833,252916.4224,243078.1122,928189.6427,358771.9208,289532.5809,483989.662,496479.5891,957454.0171,,9123761.59
13151,,,,,,,,39707354.36,35673529.21,36984179.13,44494101.62,14631516.21,23751295.52,16963716.71,45732639.79,44668910.07,47822750.22,,350429992.8
13157,1528032.073,2230467.451,622109.455,1691310.431,2954861.117,3903512.636,2481541.122,3691842.863,2962402.09,3965297.584,1650123.264,1870572.321,1242931.367,1401419.787,3044773.94,8944588.188,9384991.85,,53570777.54
13177,155523.125,106593.125,293420,430618.75,104656.5625,201993.4375,94434.375,838385,109610.9375,375171.25,136142.1875,239488.75,1081651.875,990000.9375,161409.6875,2335584.375,321767.8125,,7976452.188
13195,394533.5935,785183.3202,377025.2114,453088.6879,1167971.194,1527629.935,727356.0623,2725270.933,1916859.849,1760244.52,1124819.006,1210824.783,699551.6759,1242550.663,1329547.141,2702043.973,8749585.588,,28894086.14
13215,405472.0333,2063698.614,2044335.203,5167517.523,3993223.171,4775528.861,2505747.5,3060865.907,9597897.119,3543686.557,3526333.796,11654004.82,4741874.727,4447616.192,7697614.092,9196589.385,12537124.86,,90959130.36
13217,127978731.3,225567706.5,180624834.3,199350946,230781501.2,123368169,131674051.3,48167231.22,43085703.58,81971492.11,30191321.53,83997778.25,46551810.66,43538247.67,71878719.51,45531832.2,56902579.33,,1771162656
13219,394533.5935,785183.3202,377025.2114,453088.6879,1167971.194,1527629.935,727356.0623,2725270.933,1916859.849,1760244.52,1124819.006,1210824.783,699551.6759,1242550.663,1329547.141,2702043.973,8749585.588,,28894086.14
13221,263022.3957,523455.5468,251350.1409,302059.1253,778647.4628,1018419.956,484904.0416,1816847.289,1277906.566,1173496.347,749879.3376,807216.522,466367.7839,828367.109,886364.7608,1801362.649,5833057.058,,19262724.09
13223,,,,,,,,14925639.89,42307676.25,57156461.7,19231573.78,14202758.4,36291153.85,44495132.24,94985156.47,70852070.31,24779299.95,,419226922.8
13231,16131539.82,54304681.18,28001335.41,39297008.1,51248523.17,22100763.18,27343262.25,10262106.27,17908571.79,38517365.63,22779855.38,25910471.41,19695603.96,21924407.74,19290323.7,33378407.97,29961241.1,,478055468.1
13245,2196008.172,343396.4551,70664.35153,130182.4502,832136.5587,2837782.081,4109798.044,1334790.196,1245229.761,226457.3305,395671.9059,5001957.193,6229323.487,22666079.47,14725931.99,3406122.192,486333.492,,66237865.13
13247,147667766.9,260270430.5,208413270.3,230020322.3,266286347.5,142347887.4,151931597.6,55577574.48,49714273.37,94582490.9,34836140.23,96920513.37,53713627.68,50236439.62,82936984.05,52536729.46,65656822.3,,2043649218
13255,48394619.47,162914043.5,84004006.22,117891024.3,153745569.5,66302289.54,82029786.75,30786318.8,53725715.37,115552096.9,68339566.13,77731414.24,59086811.87,65773223.21,57870971.1,100135223.9,89883723.3,,1434166404
