,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,County_name,State_name
1425,3.0,6.0,28.0,0.0,Mississippi,Mississippi,2848353.0,2852994.0,2858681.0,2868312.0,2889010.0,2905943.0,2904978.0,2928350.0,2947806.0,2958774.0,,,,,,,,,,,,,,,,
1508,2.0,4.0,29.0,0.0,Missouri,Missouri,5607285.0,5641142.0,5674825.0,5709403.0,5747741.0,5790300.0,5842704.0,5887612.0,5923916.0,5961088.0,,,,,,,,,,,,,,,,
1624,4.0,8.0,30.0,0.0,Montana,Montana,903773.0,906961.0,911667.0,919630.0,930009.0,940102.0,952692.0,964706.0,976415.0,983982.0,,,,,,,,,,,,,,,,
1681,2.0,4.0,31.0,0.0,Nebraska,Nebraska,1713820.0,1719836.0,1728292.0,1738643.0,1749370.0,1761497.0,1772693.0,1783440.0,1796378.0,1812683.0,,,,,,,,,,,,,,,,
1775,4.0,8.0,32.0,0.0,Nevada,Nevada,2018741.0,2098399.0,2173791.0,2248850.0,2346222.0,2432143.0,2522658.0,2601072.0,2653630.0,2684665.0,,,,,,,,,,,,,,,,
1793,1.0,1.0,33.0,0.0,New Hampshire,New Hampshire,1239882.0,1255517.0,1269089.0,1279840.0,1290121.0,1298492.0,1308389.0,1312540.0,1315906.0,1316102.0,,,,,,,,,,,,,,,,
1804,1.0,2.0,34.0,0.0,New Jersey,New Jersey,8430621.0,8492671.0,8552643.0,8601402.0,8634561.0,8651974.0,8661679.0,8677885.0,8711090.0,8755602.0,,,,,,,,,,,,,,,,
1826,4.0,8.0,35.0,0.0,New Mexico,New Mexico,1821204.0,1831690.0,1855309.0,1877574.0,1903808.0,1932274.0,1962137.0,1990070.0,2010662.0,2036802.0,,,,,,,,,,,,,,,,
1860,1.0,2.0,36.0,0.0,New York,New York,19001780.0,19082838.0,19137800.0,19175939.0,19171567.0,19132610.0,19104631.0,19132335.0,19212436.0,19307066.0,,,,,,,,,,,,,,,,
1923,3.0,5.0,37.0,0.0,North Carolina,North Carolina,8081614.0,8210122.0,8326201.0,8422501.0,8553152.0,8705407.0,8917270.0,9118037.0,9309449.0,9449566.0,,,,,,,,,,,,,,,,
2024,2.0,4.0,38.0,0.0,North Dakota,North Dakota,642023.0,639062.0,638168.0,638817.0,644705.0,646089.0,649422.0,652822.0,657569.0,664968.0,,,,,,,,,,,,,,,,
2029,2.0,4.0,38.0,9.0,North Dakota,Bottineau County,7126.0,6995.0,6835.0,6789.0,6690.0,6650.0,6526.0,6428.0,6370.0,6390.0,"Bottineau County, North Dakota",,,,,,,,,,,"6,384","6,437","6,376",Bottineau County,North Dakota
2078,2.0,3.0,39.0,0.0,Ohio,Ohio,11363543.0,11387404.0,11407889.0,11434788.0,11452251.0,11463320.0,11481213.0,11500468.0,11515391.0,11528896.0,,,,,,,,,,,,,,,,
2167,3.0,7.0,40.0,0.0,Oklahoma,Oklahoma,3454365.0,3467100.0,3489080.0,3504892.0,3525233.0,3548597.0,3594090.0,3634349.0,3668976.0,3717572.0,,,,,,,,,,,,,,,,
2245,4.0,9.0,41.0,0.0,Oregon,Oregon,3429708.0,3467937.0,3513424.0,3547376.0,3569463.0,3613202.0,3670883.0,3722417.0,3768748.0,3808600.0,,,,,,,,,,,,,,,,
2282,1.0,2.0,42.0,0.0,Pennsylvania,Pennsylvania,12284173.0,12298970.0,12331031.0,12374658.0,12410722.0,12449990.0,12510809.0,12563937.0,12612285.0,12666858.0,,,,,,,,,,,,,,,,
2350,1.0,1.0,44.0,0.0,Rhode Island,Rhode Island,1050268.0,1057142.0,1065995.0,1071342.0,1074579.0,1067916.0,1063096.0,1057315.0,1055003.0,1053646.0,,,,,,,,,,,,,,,,
2356,3.0,5.0,45.0,0.0,South Carolina,South Carolina,4024223.0,4064995.0,4107795.0,4150297.0,4210921.0,4270150.0,4357847.0,4444110.0,4528996.0,4589872.0,,,,,,,,,,,,,,,,
2403,2.0,4.0,46.0,0.0,South Dakota,South Dakota,755844.0,757972.0,760020.0,763729.0,770396.0,775493.0,783033.0,791623.0,799124.0,807067.0,,,,,,,,,,,,,,,,
2459,2.0,4.0,46.0,113.0,South Dakota,Shannon County,12542.0,12602.0,12872.0,12993.0,12983.0,13150.0,13404.0,13345.0,13368.0,13425.0,,,,,,,,,,,,,,,,
2470,3.0,6.0,47.0,0.0,Tennessee,Tennessee,5703719.0,5750789.0,5795918.0,5847812.0,5910809.0,5991057.0,6088766.0,6175727.0,6247411.0,6306019.0,,,,,,,,,,,,,,,,
2566,3.0,7.0,48.0,0.0,Texas,Texas,20944499.0,21319622.0,21690325.0,22030931.0,22394023.0,22778123.0,23359580.0,23831983.0,24309039.0,24801761.0,,,,,,,,,,,,,,,,
2821,4.0,8.0,49.0,0.0,Utah,Utah,2244502.0,2283715.0,2324815.0,2360137.0,2401580.0,2457719.0,2525507.0,2597746.0,2663029.0,2723421.0,,,,,,,,,,,,,,,,
2851,1.0,1.0,50.0,0.0,Vermont,Vermont,609618.0,612223.0,615442.0,617858.0,619920.0,621215.0,622892.0,623481.0,624151.0,624817.0,,,,,,,,,,,,,,,,
2866,3.0,5.0,51.0,0.0,Virginia,Virginia,7105817.0,7198362.0,7286873.0,7366977.0,7475575.0,7577105.0,7673725.0,7751000.0,7833496.0,7925937.0,,,,,,,,,,,,,,,,
2963,3.0,5.0,51.0,515.0,Virginia,Bedford city,6425.0,6400.0,6320.0,6237.0,6198.0,6186.0,6147.0,6169.0,6150.0,6174.0,,,,,,,,,,,,,,,,
3001,4.0,9.0,53.0,0.0,Washington,Washington,5910512.0,5985722.0,6052349.0,6104115.0,6178645.0,6257305.0,6370753.0,6461587.0,6562231.0,6667426.0,,,,,,,,,,,,,,,,
3041,3.0,5.0,54.0,0.0,West Virginia,West Virginia,1807021.0,1801481.0,1805414.0,1812295.0,1816438.0,1820492.0,1827912.0,1834052.0,1840310.0,1847775.0,,,,,,,,,,,,,,,,
3097,2.0,3.0,55.0,0.0,Wisconsin,Wisconsin,5373999.0,5406835.0,5445162.0,5479203.0,5514026.0,5546166.0,5577655.0,5610775.0,5640996.0,5669264.0,,,,,,,,,,,,,,,,
3170,4.0,8.0,56.0,0.0,Wyoming,Wyoming,494300.0,494657.0,500017.0,503453.0,509106.0,514157.0,522667.0,534876.0,546043.0,559851.0,,,,,,,,,,,,,,,,
3194,,,,,,,,,,,,,,,,,"Kusilvak Census Area, Alaska","7,467","7,651","7,794","7,974","8,100","8,194","8,181","8,236","8,323","8,314","8,373","8,398","8,278",Kusilvak Census Area,Alaska
3195,,,,,,,,,,,,,,,,,"Petersburg Borough, Alaska","3,219","3,255","3,277","3,291","3,261","3,253","3,260","3,264","3,244","3,266","3,405","3,373","3,360",Petersburg Borough,Alaska
3196,,,,,,,,,,,,,,,,,"LaSalle Parish, Louisiana","14,908","14,941","14,862","14,821","14,875","14,979","15,022","14,887","14,901","14,892","14,822","14,793","14,729",LaSalle Parish,Louisiana
3197,,,,,,,,,,,,,,,,,"ottineau County, North Dakota","6,440","6,499","6,606","6,738","6,684","6,734","6,573","6,522","6,398","6,282",,,,ottineau County,North Dakota
3198,,,,,,,,,,,,,,,,,"Oglala Lakota County, South Dakota","13,636","13,896","14,037","14,126","14,213","14,358","14,425","14,384","14,331","14,177","13,645","13,549","13,519",Oglala Lakota County,South Dakota
3199,,,,,,,,,,,,,,,,,"ote: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,,,ote: The estimates are based on the 2010 Census and reflect changes to the April 1,2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1
3200,,,,,,,,,,,,,,,,,"ote: The 6,222 people in Bedford city, Virginia, which was an independent city as of the 2010 Census, are not included in the April 1, 2010 Census enumerated population presented in the county estimates. In July 2013, the legal status of Bedford changed from a city to a town and it became dependent within (or part of) Bedford County, Virginia. This population of Bedford town is now included in the April 1, 2010 estimates base and all July 1 estimates for Bedford County. Because it is no longer an independent city, Bedford town is not listed in this table. As a result, the sum of the April 1, 2010 census values for Virginia counties and independent cities does not equal the 2010 Census count for Virginia, and the sum of April 1, 2010 census values for all counties and independent cities in the United States does not equal the 2010 Census count for the United States. Substantial geographic changes to counties can be found on the Census Bureau website at https://www.census.gov/programs-surveys/geography/technical-documentation/county-changes.html.",,,,,,,,,,,,,,"ote: The 6,222 people in Bedford city",Virginia
3201,,,,,,,,,,,,,,,,,uggested Citation:,,,,,,,,,,,,,,uggested Citation:,
3202,,,,,,,,,,,,,,,,,"nnual Estimates of the Resident Population for Counties in the United States: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES)",,,,,,,,,,,,,,nnual Estimates of the Resident Population for Counties in the United States: April 1,2010 to July 1
3203,,,,,,,,,,,,,,,,,"ource: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,ource: U.S. Census Bureau,Population Division
3204,,,,,,,,,,,,,,,,,elease Date: March 2020,,,,,,,,,,,,,,elease Date: March 2020,
3205,,,,,,,,,,,,,,,,,"Chugach Census Area, Alaska",,,,,,,,,,,"7,077","6,943","6,874",Chugach Census Area,Alaska
3206,,,,,,,,,,,,,,,,,"Copper River Census Area, Alaska",,,,,,,,,,,"2,616","2,611","2,589",Copper River Census Area,Alaska
3207,,,,,,,,,,,,,,,,,"Capitol Planning Region, Connecticut",,,,,,,,,,,"973,159","980,757","981,447",Capitol Planning Region,Connecticut
3208,,,,,,,,,,,,,,,,,"Greater Bridgeport Planning Region, Connecticut",,,,,,,,,,,"324,932","327,229","327,286",Greater Bridgeport Planning Region,Connecticut
3209,,,,,,,,,,,,,,,,,"Lower Connecticut River Valley Planning Region, Connecticut",,,,,,,,,,,"173,927","176,095","176,622",Lower Connecticut River Valley Planning Region,Connecticut
3210,,,,,,,,,,,,,,,,,"Naugatuck Valley Planning Region, Connecticut",,,,,,,,,,,"449,896","452,894","454,083",Naugatuck Valley Planning Region,Connecticut
3211,,,,,,,,,,,,,,,,,"Northeastern Connecticut Planning Region, Connecticut",,,,,,,,,,,"95,274","95,708","96,196",Northeastern Connecticut Planning Region,Connecticut
3212,,,,,,,,,,,,,,,,,"Northwest Hills Planning Region, Connecticut",,,,,,,,,,,"112,269","112,974","113,234",Northwest Hills Planning Region,Connecticut
3213,,,,,,,,,,,,,,,,,"South Central Connecticut Planning Region, Connecticut",,,,,,,,,,,"569,237","573,562","573,244",South Central Connecticut Planning Region,Connecticut
3214,,,,,,,,,,,,,,,,,"Southeastern Connecticut Planning Region, Connecticut",,,,,,,,,,,"279,522","280,117","280,403",Southeastern Connecticut Planning Region,Connecticut
3215,,,,,,,,,,,,,,,,,"Western Connecticut Planning Region, Connecticut",,,,,,,,,,,"619,146","624,019","623,690",Western Connecticut Planning Region,Connecticut
