Year,ST,CO,VMT
2016,13,69,96164746.86
2016,13,71,145569666.8
2016,13,73,529159945.2
2016,13,75,359928806.6
2016,13,77,780369268
2016,13,79,12610753.26
2016,13,81,353324622.1
2016,13,83,278670570
2016,13,85,126870829.3
2016,13,87,151658810.6
2016,13,89,4702581323
2016,13,91,65133641.82
2016,13,93,322182663
2016,13,95,393478663.3
2016,13,97,926019227.9
2016,13,99,40820300.25
2016,13,101,1160000.4
2016,13,103,128211798.4
2016,13,105,81032932.53
2016,13,107,144823696.6
2016,13,109,22191970.8
2016,13,111,131994862.2
2016,13,113,335169294.6
2016,13,115,430530861.8
2016,13,117,683611645.1
2016,13,119,395954516
2016,13,121,7409074974
2016,13,123,151421834.8
2016,13,125,0
2016,13,127,649094466.9
2016,13,129,585433590.8
2016,13,131,113314946.9
2016,13,133,170373732
2016,13,135,3970714931
2016,13,137,203837679.3
2016,13,139,956424685.2
2016,13,141,0
2016,13,143,182631238.5
2016,13,145,225498639
2016,13,147,52384386.84
2016,13,149,48928391.58
2016,13,151,1197620867
2016,13,153,643619145.3
2016,13,155,0
2016,13,157,696391490.3
2016,13,159,0
2016,13,161,33322762.8
2016,13,163,98994259.92
2016,13,165,52617777.72
2016,13,167,0
2016,13,169,58967140.23
2016,13,171,70683018
2016,13,173,5895110.76
2016,13,175,414673692.2
2016,13,177,38369474.58
2016,13,179,419670979.3
2016,13,181,0
2016,13,183,76816779.06
2016,13,185,782966017.9
2016,13,187,99211323.54
2016,13,189,192280164.2
2016,13,191,417850854
2016,13,193,0
2016,13,195,57293297.79
2016,13,197,0
2016,13,199,83595315
2016,13,201,22240136.4
2016,13,205,0
2016,13,207,759396198
2016,13,209,20855724.93
2016,13,211,381360738.2
2016,13,213,58927478.64
2016,13,215,880614479.3
2016,13,217,380219875.9
2016,13,219,251149913.7
2016,13,221,55156653.84
2016,13,223,284600099.4
2016,13,225,385946807.9
2016,13,227,194094440.9
2016,13,229,81687666.27
2016,13,231,184559785.9
2016,13,233,169009108.3
2016,13,235,35099729.4
2016,13,237,72738532.56
2016,13,239,16948823.16
2016,13,241,128906477.3
2016,13,243,38140003.56
2016,13,245,1206396350
2016,13,247,497412611.1
2016,13,249,7012790.58
2016,13,251,42590865.51
2016,13,253,31064670.9
2016,13,255,371647672.8
2016,13,257,107409236.8
2016,13,259,55160851.86
2016,13,261,140956813.2
2016,13,263,65972861.52
2016,13,265,103245123
2016,13,267,19693471.8
2016,13,269,183092711.5
2016,13,271,66230701.2
2016,13,273,92209794.78
2016,13,275,213525563.9
2016,13,277,470784844.7
2016,13,279,102215768.1
2016,13,281,67745611.8
2016,13,283,135008616
2016,13,285,617333918.4
