ST,PUMA,YEAR,TMS
8,815,2005,0.04151064215
24,300,2005,0.01556268424
17,3412,2007,0.11578271850
17,3005,2007,0.01175696647
17,101,2007,0.00233014944
17,200,2007,0.01487544764
17,3203,2007,0.07539743788
17,800,2007,0.00129297484
17,3513,2007,0.17960694352
48,2308,2007,0.04187535499
48,3504,2007,0.00606311456
48,100,2007,0.00210208592
48,5304,2007,0.03108176405
48,4613,2007,0.05539159288
48,3801,2007,0.00688537870
17,1600,2008,0.00061120830
17,3411,2008,0.07448325800
17,103,2008,0.01145637764
17,600,2008,0.00630560771
17,2600,2008,0.03506228831
17,3506,2008,0.14957710406
51,501,2008,0.04321190453
51,3500,2008,0.00694503987
51,1000,2008,0.03173385797
51,3400,2008,0.00392316978
42,4301,2010,0.03695540088
17,600,2010,0.00000000000
17,3515,2010,0.31937172775
17,3006,2010,0.02001238609
17,3516,2010,0.27133110931
17,3004,2010,0.03795909106
28,800,2009,0.00490976287
29,600,2010,0.00434851264
29,2400,2010,0.00157385681
31,100,2010,0.00000000000
31,902,2010,0.00671343739
31,702,2010,0.00161560345
49,11002,2013,0.02928604760
51,51045,2013,0.00358662479
51,51080,2013,0.00142984064
51,55001,2013,0.01333964529
51,51105,2013,0.00023213579
13,1200,2014,0.00115863667
13,4200,2014,0.00046967100
13,4001,2014,0.01146958213
13,4002,2014,0.01045485150
13,4400,2014,0.01011965480
26,2800,2015,0.00263707886
26,2907,2015,0.01033554292
26,3100,2015,0.00944327596
41,1316,2016,0.07369591589
41,1301,2016,0.14036111981
42,3603,2016,0.00195778357
42,4002,2016,0.00111848293
48,4607,2015,0.03591263263
48,2504,2015,0.00000000000
48,5700,2015,0.00079589545
48,2315,2015,0.02567848851
48,2308,2015,0.05306639545
48,4630,2015,0.02036781686
48,5913,2015,0.01981581329
48,2005,2015,0.01307836196
48,1300,2015,0.00000000000
49,49002,2015,0.01976534296
49,49004,2015,0.01503120513
49,53001,2015,0.02197319270
49,35003,2015,0.01272711314
51,1302,2015,0.23730092320
34,905,2016,0.13427821330
34,1800,2016,0.15329595343
36,500,2015,0.00028885916
36,1102,2015,0.00223138685
6,2602,2009,0.00484635072
48,5201,2010,0.00327461931
27,1302,2007,0.13733376309
42,2900,2011,0.00000000000
17,2801,2012,0.01614035909
28,300,2016,0.00505845860
1,2500,2016,0.00017853499
1,2703,2016,0.00000000000
4,207,2016,0.04848037652
9,1300,2018,0.01258554236
42,1200,2018,0.04460269865
6,4300,2005,0.02093922652
6,6400,2005,0.00978581323
24,503,2005,0.05883757826
48,3900,2007,0.00240787589
48,4604,2007,0.06365528367
48,5401,2007,0.00406920783
17,3502,2008,0.41521171396
17,3101,2008,0.02951968892
51,900,2008,0.03815100608
42,903,2010,0.00271205094
17,3001,2010,0.03307211158
17,3203,2010,0.05463922622
28,200,2009,0.00426693584
13,2500,2014,0.00426354386
26,2905,2015,0.00000000000
26,2400,2015,0.01073466267
42,3503,2016,0.00093911237
42,2803,2016,0.04664814924
48,4635,2015,0.01349804269
48,1502,2015,0.00195150689
49,35005,2015,0.03212236164
34,1403,2016,0.15749836891
34,502,2016,0.07032078005
36,401,2015,0.00351171845
17,3104,2010,0.04161076211
48,2900,2015,0.00000000000
21,1901,2005,0.01759537123
21,2200,2005,0.00190047305
22,1803,2005,0.15489437337
48,5000,2005,0.00000000000
48,4608,2005,0.04409698270
48,2313,2005,0.00172811060
48,5900,2005,0.00750840833
48,2700,2005,0.00171611447
48,4620,2005,0.01412756256
48,3504,2005,0.00316636733
48,3703,2005,0.00000000000
48,1000,2005,0.00443140219
48,4200,2005,0.00000000000
48,5611,2005,0.00103307119
48,4609,2005,0.05041465100
48,4300,2005,0.00919193904
48,4605,2005,0.03680434022
12,3602,2005,0.02354781690
12,2608,2005,0.01288219469
12,702,2005,0.00129203359
12,3200,2005,0.00427232635
12,3502,2005,0.06750548089
12,2502,2005,0.00000000000
12,2605,2005,0.00415234822
12,2603,2005,0.01325797967
12,2104,2005,0.00969869391
12,3508,2005,0.00224440094
12,4008,2005,0.09214315097
2,300,2007,0.02503119064
4,600,2007,0.00732685298
4,106,2007,0.01989994441
34,304,2007,0.09771990303
34,302,2007,0.14757713265
34,2302,2007,0.07962395664
34,1902,2007,0.10172984018
34,2104,2007,0.11066289466
34,1105,2007,0.11385142292
37,1500,2009,0.00290312876
37,2500,2009,0.00471596537
37,2701,2009,0.00318505433
22,2400,2009,0.00246497146
22,800,2009,0.00782967033
22,1502,2009,0.01039449151
22,1100,2009,0.00288903658
24,601,2009,0.01357807758
24,806,2009,0.13292311915
24,100,2009,0.00161052512
13,2500,2009,0.00169538703
13,3800,2009,0.00879825052
13,3400,2009,0.04656311041
13,2200,2009,0.00154055511
13,2700,2009,0.01049944981
40,1400,2010,0.00159105493
40,1301,2010,0.00886884679
46,300,2008,0.00306065665
47,1100,2008,0.00226399300
36,3704,2009,0.49381140986
36,402,2009,0.01770267200
36,4306,2009,0.03686826843
36,2900,2009,0.00504298797
36,4017,2009,0.57475235416
36,4112,2009,0.47363184080
36,700,2009,0.08075189249
36,3903,2009,0.37875514333
36,3101,2009,0.01876729899
36,4002,2009,0.65092664093
36,4303,2009,0.05573230315
42,1300,2009,0.02614606674
42,1900,2009,0.00648331772
42,1000,2009,0.01660065884
42,4005,2009,0.09157332476
42,300,2009,0.00637958533
42,3903,2009,0.03436355600
17,1101,2009,0.04835510112
17,3508,2009,0.29217711586
17,2600,2009,0.02262607762
17,1500,2009,0.00668233860
,27,2002,0.03667797142
,28,2002,0.00469347380
28,1600,2013,0.00581529060
28,100,2013,0.00129557205
28,1000,2013,0.00287727540
18,1803,2013,0.00382324327
18,103,2013,0.03212885201
18,101,2013,0.03131510417
18,3500,2013,0.00930176188
18,402,2013,0.01163558106
20,602,2013,0.00415236343
20,601,2013,0.00206776716
20,1000,2013,0.00051847568
26,1100,2014,0.00197464016
42,3800,2014,0.00186934118
42,2003,2014,0.00000000000
42,3603,2014,0.00422591435
42,3502,2014,0.01123576719
42,300,2014,0.00271027790
42,1300,2014,0.00347096225
42,2200,2014,0.00677701890
42,2703,2014,0.00346020761
39,908,2015,0.18338731047
39,5503,2015,0.09557668634
39,2500,2015,0.00184173625
39,904,2015,0.00848020758
39,4800,2015,0.00327295552
40,400,2015,0.00000000000
41,1200,2015,0.00489432703
41,500,2015,0.00939052742
48,4624,2015,0.01828746289
55,1601,2016,0.00000000000
55,2500,2016,0.00000000000
13,1001,2016,0.09211466461
13,1700,2016,0.01291535492
13,2200,2016,0.00000000000
13,1400,2016,0.00440273038
13,3001,2016,0.01371101588
16,800,2016,0.00385413578
16,1200,2016,0.04172975215
47,3206,2015,0.00317720275
47,3205,2015,0.00000000000
6,7311,2015,0.01362989949
6,8501,2015,0.04652621879
6,6702,2015,0.05169858954
6,5301,2015,0.03401066080
6,6701,2015,0.01851851852
6,1901,2015,0.00059219487
6,8104,2015,0.08431879773
6,3703,2015,0.01196343056
6,3762,2015,0.02703420538
6,3765,2015,0.01734393320
6,6513,2015,0.00917483231
6,7507,2015,0.31443693732
6,106,2015,0.10194071231
6,3760,2015,0.02299727520
6,9501,2015,0.04212151625
6,7115,2015,0.02613938642
53,11200,2017,0.00256182875
53,11402,2017,0.00519982810
53,11507,2017,0.01764904894
53,10600,2017,0.03159943766
28,800,2017,0.00228755621
28,100,2017,0.00064763947
6,6710,2017,0.01936931163
6,7308,2017,0.01198548237
6,2903,2017,0.02127366846
6,7507,2017,0.34933695051
6,8102,2017,0.12834030440
6,8503,2017,0.06355899814
6,3300,2017,0.00781834684
6,7502,2017,0.33321426209
6,8302,2017,0.02410881995
6,3766,2017,0.08271521214
6,3751,2017,0.12852990033
6,1903,2017,0.02384987893
42,1900,2013,0.00727610839
42,3102,2013,0.01815263798
42,2002,2013,0.00591359426
42,3104,2013,0.03414674226
45,700,2013,0.00000000000
45,602,2013,0.00293627621
1,2600,2014,0.00492649980
1,1301,2014,0.02376359642
42,3211,2017,0.37300888631
42,2001,2017,0.03711569379
