Fips_Txt,True_Fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
02130,2130,710461,697235,701694,691849,729700,735968,796599,817135,844098,834233,856208,844447,857458,838369,846072,818942,819849,817024,832444,722936,755944
02150,2150,604665,591412,625354,630873,641905,645529,644370,657040,671652,709440,743271,748400,766956,768069,739126,689238,713235,697919,707566,684339,685696
02158,2158,111414,114731,124809,124449,120320,114309,116913,119188,122705,124605,133232,137560,134641,146202,137070,142254,139058,141032,142648,133736,137336
02164,2164,70599,72978,66469,67296,68614,75724,139445,89212,69569,73002,77061,77998,80217,80475,79774,74332,80847,87209,78537,69530,93567
02170,2170,1353956,1486309,1591866,1662106,1793524,1761370,1792843,1803125,1892584,2098538,2228241,2289701,2283493,2382920,2408793,2453011,2398912,2440374,2553266,2550450,2683216
02180,2180,295908,317177,326786,334173,342570,344638,401231,427223,349853,408500,418402,387139,391895,408983,407233,375801,411879,407951,406144,388263,397390
02185,2185,7247520,9957947,7752579,8785300,9317057,11553895,12855836,12367570,16169596,13068642,13513935,16032612,13203124,11668277,11501999,11128796,11401011,10235123,10715031,9884533,8652395
02188,2188,621949,536570,554140,580907,587372,768863,861227,669969,667981,742703,704034,596969,630391,653276,576991,592249,700653,692292,654050,650903,588940
02195,2195,0,0,0,0,0,0,0,0,169838,177117,183356,188340,176517,175928,196233,182889,179438,179893,184667,181264,181657
02198,2198,0,0,0,0,0,0,0,0,183100,187759,192674,204593,225245,230631,235104,236215,245238,250708,260999,255877,244443
02201,2201,188115,195903,199762,194861,186768,174896,165251,157909,0,0,0,0,0,0,0,0,0,0,0,0,0
02220,2220,396803,397538,413521,404239,417265,418828,418907,415235,432631,458176,484055,487457,506307,490049,470827,427618,434368,442459,438110,378635,407000
02230,2230,0,0,0,0,0,0,0,59918,72401,74193,70830,88885,88079,84452,87725,99824,102616,98409,98951,64002,67785
02232,2232,152195,155796,151588,135791,137908,141860,139821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02240,2240,420278,302710,337048,357470,498870,727646,915110,780453,792069,827795,776879,620484,647812,639507,581697,617032,691168,661804,593819,658925,687226
02261,2261,589487,1409469,1362052,1357754,1053594,1166106,1295397,863397,697738,590061,550771,1565753,1950894,2080089,2328804,2286114,2134255,2123324,2301526,0,0
02275,2275,0,0,0,0,0,0,0,0,68316,71034,70864,78441,84917,89843,98288,102183,98396,98565,93978,89558,80816
02280,2280,342184,335660,313136,273619,262829,265269,253032,212922,0,0,0,0,0,0,0,0,0,0,0,0,0
02282,2282,29081,29295,29499,31925,32550,34718,38747,34413,30477,32455,33252,34997,46093,44444,37695,26263,25668,26838,28747,29705,35990
02290,2290,438785,302767,303791,295350,288182,294710,345821,322273,317768,373624,426421,394726,290976,242465,235798,251488,260883,274644,271493,271190,277461
04001,4001,1991108,1932663,1994086,1962899,2000348,2095628,2115167,2380841,2400707,2640317,2722509,2595354,2580422,2351123,2312790,2338314,2342785,2380702,2134116,2150183,2166490
04003,4003,3382184,3421990,3663492,3788897,3981115,4050303,4318732,4411343,4422389,4579776,4611396,4429315,4287516,4147943,4223038,4287830,4224501,4256763,4309976,4519163,4488149
04005,4005,4907688,4986423,5050734,5266064,5518909,5707732,6224412,6113771,5803360,6124241,6540368,6303405,6541366,6416167,6509245,6528220,7151723,7094440,6937843,6540762,6855346
04007,4007,1466599,1471916,1502879,1545671,1627381,1784506,2010863,1988726,1986265,2096738,2257401,1895612,2050459,1906484,1721379,1597812,1695155,1721087,1695165,1761052,1879863
04009,4009,543831,571438,606599,613623,656423,708502,841636,765761,698974,750057,807301,865458,711709,736869,715397,791203,870757,903027,940198,1041227,1206104
04011,4011,1205430,1108471,1216406,1349631,1710870,1972205,1996236,2141187,1493460,1592549,1709021,1520807,1622245,1833144,1484704,1334767,1632669,1567892,1531228,1657239,2110512
04012,4012,470895,492117,526282,599884,638906,613063,663101,762034,687786,647902,691574,615459,662369,606368,666059,673416,676754,644313,682023,670437,717494
04013,4013,145994645,151557881,161693115,170280673,183974768,193613132,198481946,195313718,177081491,177816396,182425759,188469324,190122476,193874316,199864567,206462015,214976443,224511791,234318132,235837625,252098319
04015,4015,3795711,4181147,4283744,4635056,4869271,4893318,5009098,4908291,4630478,4628097,4608185,4565666,4783467,4788071,4750691,4964569,4840687,4917125,5095638,5241733,5634375
04017,4017,2670801,2721703,2838052,2767545,2938663,2936089,2999885,2966519,2881524,2855963,2989098,2950138,2832361,2684854,2578973,2613824,2762088,2870371,2649319,2588403,2676086
04019,4019,31708281,31835722,33626186,33324144,34929991,35598690,37046951,37627745,35147543,36033235,35862293,36732534,36231075,36350018,36113379,37220309,38682574,39611524,40383869,39896126,41618243
04021,4021,4265693,4639849,4916077,5106602,5492230,5784250,6806377,7056724,6627432,6734189,7258318,7353695,7285594,7395399,7300604,7557195,7981263,8401815,8616105,9049620,9613026
