,UZA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CountyFIPS,UZA_CODE
35,6.0,25755337.0,68328346.0,231709702.0,252639015.0,253818321.0,146194407.0,202912051.0,265618834.0,414000218.0,338913143.0,269601810.0,172927632.0,161827972.0,143950653.0,194219934.0,429604322.0,614898574.0,850688869.0,701345884.0,440089958.0,337961313.0,287839326.0,241041936.0,230446946.0,223130544.0,327769626.0,401293825.0,456694245.0,279480584.0,321039797.0,321302822.0,48113.0,6.0
36,6.0,25755337.0,68328346.0,231709702.0,252639015.0,253818321.0,146194407.0,202912051.0,265618834.0,414000218.0,338913143.0,269601810.0,172927632.0,161827972.0,143950653.0,194219934.0,429604322.0,614898574.0,850688869.0,701345884.0,440089958.0,337961313.0,287839326.0,241041936.0,230446946.0,223130544.0,327769626.0,401293825.0,456694245.0,279480584.0,321039797.0,321302822.0,48139.0,6.0
37,6.0,25755337.0,68328346.0,231709702.0,252639015.0,253818321.0,146194407.0,202912051.0,265618834.0,414000218.0,338913143.0,269601810.0,172927632.0,161827972.0,143950653.0,194219934.0,429604322.0,614898574.0,850688869.0,701345884.0,440089958.0,337961313.0,287839326.0,241041936.0,230446946.0,223130544.0,327769626.0,401293825.0,456694245.0,279480584.0,321039797.0,321302822.0,48257.0,6.0
38,6.0,25755337.0,68328346.0,231709702.0,252639015.0,253818321.0,146194407.0,202912051.0,265618834.0,414000218.0,338913143.0,269601810.0,172927632.0,161827972.0,143950653.0,194219934.0,429604322.0,614898574.0,850688869.0,701345884.0,440089958.0,337961313.0,287839326.0,241041936.0,230446946.0,223130544.0,327769626.0,401293825.0,456694245.0,279480584.0,321039797.0,321302822.0,48397.0,6.0
39,6.0,25755337.0,68328346.0,231709702.0,252639015.0,253818321.0,146194407.0,202912051.0,265618834.0,414000218.0,338913143.0,269601810.0,172927632.0,161827972.0,143950653.0,194219934.0,429604322.0,614898574.0,850688869.0,701345884.0,440089958.0,337961313.0,287839326.0,241041936.0,230446946.0,223130544.0,327769626.0,401293825.0,456694245.0,279480584.0,321039797.0,321302822.0,48439.0,6.0
40,7.0,71447403.0,189272356.0,110635739.0,115820819.0,132864088.0,141996815.0,143837665.0,177877790.0,179002202.0,293141610.0,230668005.0,292523079.0,233103902.0,185693195.0,147487649.0,256292926.0,277886410.0,236868607.0,346224251.0,400788062.0,491512727.0,556705780.0,370659801.0,259539152.0,132735330.0,101946115.0,137301389.0,176781724.0,148496702.0,95247220.0,109124200.0,48071.0,7.0
41,7.0,71447403.0,189272356.0,110635739.0,115820819.0,132864088.0,141996815.0,143837665.0,177877790.0,179002202.0,293141610.0,230668005.0,292523079.0,233103902.0,185693195.0,147487649.0,256292926.0,277886410.0,236868607.0,346224251.0,400788062.0,491512727.0,556705780.0,370659801.0,259539152.0,132735330.0,101946115.0,137301389.0,176781724.0,148496702.0,95247220.0,109124200.0,48157.0,7.0
42,7.0,71447403.0,189272356.0,110635739.0,115820819.0,132864088.0,141996815.0,143837665.0,177877790.0,179002202.0,293141610.0,230668005.0,292523079.0,233103902.0,185693195.0,147487649.0,256292926.0,277886410.0,236868607.0,346224251.0,400788062.0,491512727.0,556705780.0,370659801.0,259539152.0,132735330.0,101946115.0,137301389.0,176781724.0,148496702.0,95247220.0,109124200.0,48201.0,7.0
43,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,11001.0,8.0
44,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,51013.0,8.0
45,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,51059.0,8.0
46,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,51153.0,8.0
47,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,51510.0,8.0
48,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,51600.0,8.0
49,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,51610.0,8.0
50,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,51683.0,8.0
51,8.0,262737536.0,281931502.0,294853928.0,609598963.0,399963804.0,438794483.0,431722917.0,328860410.0,345302136.0,458802590.0,581721105.0,432063786.0,485749717.0,264430175.0,591002532.0,665400705.0,615901133.0,528627271.0,539870541.0,680735384.0,539412615.0,605946375.0,566121440.0,1192799134.0,1102837035.0,683354730.0,861649345.0,1077597023.0,843597929.0,1779922471.0,2049518921.0,51685.0,8.0
52,9.0,130346703.0,90269738.0,94157511.0,139820248.0,213516499.0,97943293.0,143296648.0,202981563.0,246643461.0,268152021.0,247565097.0,254385897.0,220327692.0,182889424.0,244060866.0,214158097.0,271116884.0,242639547.0,159656981.0,122093000.0,170688617.0,223786988.0,276564087.0,224061062.0,200506148.0,183295457.0,274118889.0,311520144.0,332423115.0,257348487.0,300118287.0,13013.0,9.0
53,9.0,130346703.0,90269738.0,94157511.0,139820248.0,213516499.0,97943293.0,143296648.0,202981563.0,246643461.0,268152021.0,247565097.0,254385897.0,220327692.0,182889424.0,244060866.0,214158097.0,271116884.0,242639547.0,159656981.0,122093000.0,170688617.0,223786988.0,276564087.0,224061062.0,200506148.0,183295457.0,274118889.0,311520144.0,332423115.0,257348487.0,300118287.0,13015.0,9.0
54,9.0,130346703.0,90269738.0,94157511.0,139820248.0,213516499.0,97943293.0,143296648.0,202981563.0,246643461.0,268152021.0,247565097.0,254385897.0,220327692.0,182889424.0,244060866.0,214158097.0,271116884.0,242639547.0,159656981.0,122093000.0,170688617.0,223786988.0,276564087.0,224061062.0,200506148.0,183295457.0,274118889.0,311520144.0,332423115.0,257348487.0,300118287.0,13045.0,9.0
55,9.0,130346703.0,90269738.0,94157511.0,139820248.0,213516499.0,97943293.0,143296648.0,202981563.0,246643461.0,268152021.0,247565097.0,254385897.0,220327692.0,182889424.0,244060866.0,214158097.0,271116884.0,242639547.0,159656981.0,122093000.0,170688617.0,223786988.0,276564087.0,224061062.0,200506148.0,183295457.0,274118889.0,311520144.0,332423115.0,257348487.0,300118287.0,13057.0,9.0
56,9.0,130346703.0,90269738.0,94157511.0,139820248.0,213516499.0,97943293.0,143296648.0,202981563.0,246643461.0,268152021.0,247565097.0,254385897.0,220327692.0,182889424.0,244060866.0,214158097.0,271116884.0,242639547.0,159656981.0,122093000.0,170688617.0,223786988.0,276564087.0,224061062.0,200506148.0,183295457.0,274118889.0,311520144.0,332423115.0,257348487.0,300118287.0,13063.0,9.0
57,9.0,130346703.0,90269738.0,94157511.0,139820248.0,213516499.0,97943293.0,143296648.0,202981563.0,246643461.0,268152021.0,247565097.0,254385897.0,220327692.0,182889424.0,244060866.0,214158097.0,271116884.0,242639547.0,159656981.0,122093000.0,170688617.0,223786988.0,276564087.0,224061062.0,200506148.0,183295457.0,274118889.0,311520144.0,332423115.0,257348487.0,300118287.0,13067.0,9.0
58,9.0,130346703.0,90269738.0,94157511.0,139820248.0,213516499.0,97943293.0,143296648.0,202981563.0,246643461.0,268152021.0,247565097.0,254385897.0,220327692.0,182889424.0,244060866.0,214158097.0,271116884.0,242639547.0,159656981.0,122093000.0,170688617.0,223786988.0,276564087.0,224061062.0,200506148.0,183295457.0,274118889.0,311520144.0,332423115.0,257348487.0,300118287.0,13077.0,9.0
59,9.0,130346703.0,90269738.0,94157511.0,139820248.0,213516499.0,97943293.0,143296648.0,202981563.0,246643461.0,268152021.0,247565097.0,254385897.0,220327692.0,182889424.0,244060866.0,214158097.0,271116884.0,242639547.0,159656981.0,122093000.0,170688617.0,223786988.0,276564087.0,224061062.0,200506148.0,183295457.0,274118889.0,311520144.0,332423115.0,257348487.0,300118287.0,13085.0,9.0
