CountyFIPS,1FTA_UZA_Code,1FTA_UZA_Desc,2FTA_UZA_Code,2FTA_UZA_Desc,3FTA_UZA_Code,3FTA_UZA_Desc,4FTA_UZA_Code,4FTA_UZA_Desc
25027,269,"Leominster-Fitchburg, MA",,,,,,
26017,390,"Bay City, MI",,,,,,
26021,443,"Benton Harbor-St. Joseph-Fair Plain, MI",136,"South Bend, IN-MI",,,,
26037,118,"Lansing, MI",,,,,,
26049,106,"Flint, MI",,,,,,
26075,324,"Jackson, MI",,,,,,
26077,363,"Battle Creek, MI",,,,,,
26093,11,"Detroit, MI",,,,,,
26099,11,"Detroit, MI",,,,,,
26111,450,"Midland, MI",,,,,,
26115,11,"Detroit, MI",490,"Monroe, MI",80,"Toledo, OH-MI",,
26121,207,"Muskegon, MI",,,,,,
26125,11,"Detroit, MI",262,"South Lyon-Howell, MI",,,,
26139,299,"Holland, MI",,,,,,
26147,11,"Detroit, MI",253,"Saginaw, MI",,,,
26151,336,"Port Huron, MI",,,,,,
26159,173,"Kalamazoo, MI",,,,,,
26161,125,"Ann Arbor, MI",,,,,,
26163,125,"Ann Arbor, MI",,,,,,
27003,16,"Minneapolis-St. Paul, MN-WI",,,,,,
27009,281,"St. Cloud, MN",,,,,,
27019,16,"Minneapolis-St. Paul, MN-WI",,,,,,
27027,194,"Fargo, ND-MN",,,,,,
27053,16,"Minneapolis-St. Paul, MN-WI",,,,,,
27061,70,"Grand Rapids, MI",,,,,,
27095,288,"Rochester, MN",,,,,,
27103,456,"Mankato, MN",,,,,,
27123,16,"Minneapolis-St. Paul, MN-WI",,,,,,
28033,41,"Memphis, TN-MS-AR",,,,,,
28035,357,"Hattiesburg, MS",,,,,,
28047,175,"Gulfport, MS",,,,,,
28049,107,"Jackson, MS",,,,,,
28073,357,"Hattiesburg, MS",,,,,,
28121,107,"Jackson, MS",,,,,,
29003,354,"St. Joseph, MO-KS",,,,,,
29019,255,"Columbia, MO",,,,,,
29031,478,"Cape Girardeau, MO-IL",,,,,,
29043,138,"Springfield, MO",,,,,,
29051,452,"Jefferson City, MO",,,,,,
29119,129,"Fayetteville-Springdale-Rogers, AR-MO",,,,,,
29145,347,"Joplin, MO",,,,,,
29165,31,"Kansas City, MO-KS",,,,,,
29189,20,"St. Louis, MO-IL",,,,,,
29510,20,"St. Louis, MO-IL",,,,,,
30013,422,"Great Falls, MT",,,,,,
30089,348,"Missoula, MT",,,,,,
30111,273,"Billings, MT",,,,,,
31043,292,"Sioux City, IA-NE-SD",,,,,,
31055,58,"Omaha, NE-IA",,,,,,
31079,496,"Grand Island, NE",,,,,,
31109,145,"Lincoln, NE",,,,,,
31153,58,"Omaha, NE-IA",,,,,,
32003,23,"Las Vegas-Henderson, NV",,,,,,
32005,454,"Carson City, NV",601,"Lake Tahoe, CA-NV",,,,
32019,454,"Carson City, NV",,,,,,
32510,454,"Carson City, NV",,,,,,
33011,10,"Boston, MA-NH-RI",209,"Manchester, NH",160,"Nashua, NH-MA",,
33015,10,"Boston, MA-NH-RI",329,"Portsmouth, NH-ME",,,,
33017,331,"Dover-Rochester, NH-ME",,,,,,
34001,150,"Atlantic City, NJ",,,,,,
34003,1,"New York-Newark, NY-NJ-CT",,,,,,
34009,150,"Atlantic City, NJ",,,,,,
34013,1,"New York-Newark, NY-NJ-CT",,,,,,
34015,5,"Philadelphia, PA-NJ-DE-MD",,,,,,
34017,1,"New York-Newark, NY-NJ-CT",,,,,,
34019,61,"Allentown, PA-NJ",,,,,,
34021,1,"New York-Newark, NY-NJ-CT",128,"Trenton, NJ",429,"Twin Rivers-Hightstown, NJ",,
34023,1,"New York-Newark, NY-NJ-CT",,,,,,
34033,5,"Philadelphia, PA-NJ-DE-MD",,,,,,
34035,1,"New York-Newark, NY-NJ-CT",,,,,,
34037,472,"East Stroudsburg, PA-NJ",,,,,,
34039,1,"New York-Newark, NY-NJ-CT",,,,,,
34041,61,"Allentown, PA-NJ",,,,,,
35001,56,"Albuquerque, NM",,,,,,
35013,250,"Las Cruces, NM",,,,,,
35043,56,"Albuquerque, NM",,,,,,
35045,477,"Farmington, NM",,,,,,
35049,326,"Santa Fe, NM",,,,,,
36001,67,"Albany-Schenectady, NY",,,,,,
36005,1,"New York-Newark, NY-NJ-CT",,,,,,
36007,210,"Binghamton, NY-PA",,,,,,
36015,407,"Elmira, NY",,,,,,
36027,1,"New York-Newark, NY-NJ-CT",89,"Poughkeepsie-Newburgh, NY-NJ",,,,
36029,46,"Buffalo, NY",,,,,,
36047,1,"New York-Newark, NY-NJ-CT",,,,,,
36055,60,"Rochester, NY",,,,,,
36059,1,"New York-Newark, NY-NJ-CT",,,,,,
36061,1,"New York-Newark, NY-NJ-CT",,,,,,
36063,46,"Buffalo, NY",,,,,,
36067,90,"Syracuse, NY",,,,,,
36071,89,"Poughkeepsie-Newburgh, NY-NJ",,,,,,
36079,201,"Danbury, CT-NY",,,,,,
36081,1,"New York-Newark, NY-NJ-CT",,,,,,
36083,67,"Albany-Schenectady, NY",,,,,,
36085,1,"New York-Newark, NY-NJ-CT",,,,,,
36087,1,"New York-Newark, NY-NJ-CT",,,,,,
36091,67,"Albany-Schenectady, NY",,,,,,
36093,67,"Albany-Schenectady, NY",,,,,,
36103,1,"New York-Newark, NY-NJ-CT",,,,,,
36107,210,"Binghamton, NY-PA",,,,,,
36109,473,"Ithaca, NY",,,,,,
36111,457,"Kingston, NY",,,,,,
36115,419,"Glens Falls, NY",,,,,,
36119,1,"New York-Newark, NY-NJ-CT",,,,,,
37001,261,"Burlington, NC",,,,,,
37003,170,"Hickory, NC",,,,,,
37021,133,"Asheville, NC",,,,,,
37023,170,"Hickory, NC",,,,,,
37025,38,"Charlotte, NC-SC",,,,,,
37027,170,"Hickory, NC",,,,,,
