YEAR,STATE_CODE,COUNTY_CODE,FIPS_CODE,Capital Funding
2006,5.0,131.0,5131.0,142186.8902746451
2006,5.0,143.0,5143.0,482618.07912169804
2006,6.0,13.0,6013.0,1551595.0
2006,6.0,17.0,6017.0,0.0
2006,6.0,19.0,6019.0,14339711.0
2006,6.0,25.0,6025.0,0.0
2006,6.0,31.0,6031.0,47925.0
2006,6.0,37.0,6037.0,8328962.0
2006,6.0,55.0,6055.0,99835.0
2006,6.0,75.0,6075.0,188648097.50612146
2006,6.0,81.0,6081.0,1074152911.4938786
2006,8.0,1.0,8001.0,112477520.16504698
2006,8.0,5.0,8005.0,236721034.45551693
2006,8.0,13.0,8013.0,0.0
2006,8.0,14.0,8014.0,8097096.4806369655
2006,8.0,31.0,8031.0,581143483.005528
2006,8.0,35.0,8035.0,6025956.0
2006,8.0,59.0,8059.0,207595231.15912503
2006,8.0,101.0,8101.0,278750.0
2006,8.0,123.0,8123.0,101245352.73414612
2006,9.0,1.0,9001.0,7094188.75958008
2006,9.0,3.0,9003.0,16057523.0
2006,9.0,5.0,9005.0,4592555.072201952
2006,9.0,9.0,9009.0,6791019.515014993
2006,9.0,11.0,9011.0,116729.76720740412
2006,11.0,1.0,11001.0,5319022788.0
2006,12.0,1.0,12001.0,2844690.0
2006,12.0,5.0,12005.0,77327.0
2006,12.0,11.0,12011.0,511954610.0
2006,12.0,21.0,12021.0,2402098.0
2006,13.0,13.0,13013.0,293332398.1949322
2006,13.0,15.0,13015.0,216274926.79504585
2006,13.0,45.0,13045.0,568306716.5569539
2006,13.0,47.0,13047.0,7606743.587567657
2006,13.0,53.0,13053.0,194688.5484464203
2006,13.0,59.0,13059.0,4419140.361607605
2006,13.0,73.0,13073.0,142865.39356152882
2006,13.0,77.0,13077.0,461831789.52183664
2006,13.0,83.0,13083.0,2766088.57729733
2006,13.0,85.0,13085.0,46463898.3379756
2006,13.0,95.0,13095.0,575602.875
2006,13.0,113.0,13113.0,196116370.9015387
2006,13.0,115.0,13115.0,1413774.0
2006,13.0,117.0,13117.0,923905578.5141838
2006,13.0,139.0,13139.0,1622170850.7245736
2006,13.0,145.0,13145.0,449628.0792541538
2006,13.0,157.0,13157.0,2230467.451251851
2006,13.0,177.0,13177.0,106593.125
2006,13.0,195.0,13195.0,785183.3201777043
2006,13.0,215.0,13215.0,2063698.6135320552
2006,13.0,217.0,13217.0,225567706.46264097
2006,13.0,219.0,13219.0,785183.3201777043
2006,13.0,221.0,13221.0,523455.54678513616
2006,13.0,231.0,13231.0,54304681.18250899
2006,13.0,245.0,13245.0,343396.45506971114
2006,13.0,247.0,13247.0,260270430.53381646
2006,13.0,255.0,13255.0,162914043.54752696
2006,13.0,295.0,13295.0,8989787.87621632
2006,13.0,297.0,13297.0,337879660.72646636
