YEAR,STATE_CODE,COUNTY_CODE,Capital Funding
2005,18.0,43.0,59759.00862490069
2005,21.0,111.0,1650201.8365840304
2005,21.0,185.0,67588.77297469672
2005,21.0,211.0,42881.12645921928
2005,21.0,29.0,84340.25535715274
2005,47.0,147.0,1495082.0
2005,9.0,3.0,0.0
2005,22.0,87.0,0.0
2005,22.0,71.0,0.0
2005,4.0,19.0,0.0
2005,31.0,153.0,0.0
2005,31.0,55.0,0.0
2006,36.0,59.0,151355.3640831816
2006,36.0,47.0,16495746.532845369
2006,34.0,35.0,102046.72942208269
2006,36.0,81.0,11332627.5341569
2006,36.0,85.0,871051.7108204872
2006,34.0,13.0,2210439.117772541
2006,34.0,39.0,379064.79189153155
2006,36.0,61.0,13814799.098987952
2006,34.0,3.0,458312.9493658259
2006,34.0,21.0,340315.09020351834
2006,34.0,23.0,438769.2080650714
2006,36.0,103.0,212993.00208687407
2006,36.0,5.0,7839819.575429604
2006,36.0,119.0,118429.923583211
2006,34.0,17.0,2155824.3712858493
2006,17.0,31.0,13586576.641022284
2006,17.0,43.0,632593.2123093675
2006,17.0,89.0,271629.1466683499
2006,42.0,101.0,897523.5782594836
2006,34.0,15.0,779652.3357347784
2006,42.0,91.0,627272.9362448199
2006,42.0,45.0,2244430.149760918
2006,48.0,257.0,74910.01911440358
2006,48.0,139.0,75105.69617192759
2006,48.0,439.0,635498.5641604485
2006,48.0,397.0,25563.089411798406
2006,48.0,113.0,1442573.6311414219
2006,48.0,157.0,596240.4289194611
2006,48.0,201.0,12628171.910737988
2006,48.0,71.0,99693.66034255254
2006,11.0,1.0,63097691.0
2006,26.0,115.0,121485.90523886969
2006,26.0,147.0,47067.25870342681
2006,26.0,93.0,175416.83605770348
2006,4.0,13.0,3674619.0
2006,27.0,123.0,12112.185824726723
2006,27.0,53.0,8068.150445083854
2006,27.0,19.0,1119.6637301894223
2006,8.0,31.0,1966853.9489628256
2006,8.0,1.0,380675.10206264176
2006,8.0,14.0,27404.2584211898
2006,8.0,123.0,342525.29743129277
2006,8.0,5.0,801171.6814124022
2006,8.0,59.0,702596.7117096481
2006,24.0,27.0,111830.26567445319
2006,24.0,31.0,658007.8288399687
2006,24.0,3.0,174192.1851911175
2006,24.0,13.0,77671.2722927692
2006,24.0,33.0,768000.9721812892
2006,24.0,510.0,2584934.0963403853
2006,24.0,35.0,34586.37948001691
2006,29.0,189.0,3102023.0
2006,41.0,51.0,4718527.0
2006,39.0,35.0,3121043.834956638
2006,39.0,85.0,765353.1650433623
2006,6.0,81.0,7790344.0
2006,18.0,109.0,3146.15621747483
2006,18.0,97.0,78782.27362309035
2006,18.0,63.0,7383.24621521371
2006,18.0,59.0,1440.3239442211134
2006,28.0,33.0,3600422.317732217
2006,5.0,35.0,4696175.682267783
2006,21.0,111.0,389944.44026553544
2006,18.0,43.0,21506.33684201947
2006,21.0,211.0,7788.741963641699
2006,21.0,29.0,18810.00908101764
2006,21.0,185.0,10104.471847785779
2006,47.0,147.0,2853714.0
2006,9.0,3.0,0.0
2006,22.0,87.0,0.0
2006,22.0,71.0,0.0
2006,4.0,19.0,0.0
2006,31.0,153.0,0.0
2006,31.0,55.0,0.0
2007,34.0,17.0,2621891.374312817
2007,36.0,5.0,9228626.693407279
2007,36.0,81.0,13165110.754159564
2007,34.0,21.0,368037.8934292287
2007,34.0,13.0,2561913.984962708
2007,36.0,59.0,151604.03673704635
2007,34.0,3.0,617871.2112362309
2007,36.0,85.0,1058703.4876936758
2007,36.0,119.0,149381.3679724658
2007,34.0,23.0,567307.4778302273
2007,36.0,103.0,286141.86009899346
2007,34.0,39.0,461498.9358928161
2007,36.0,47.0,20511626.30805345
2007,36.0,61.0,16518383.96378211
2007,34.0,35.0,95481.65043138785
2007,17.0,31.0,18771657.74376569
2007,17.0,89.0,298318.2691470395
2007,17.0,43.0,803024.9870872723
2007,42.0,101.0,973077.8448247326
2007,42.0,45.0,2826569.3884677766
2007,42.0,91.0,512700.3111449472
2007,34.0,15.0,729832.4555625435
2007,48.0,257.0,454.3600278380481
